exact_card_id	semantic_family	component_recipe	pass730_reading_de	pass731_reading_de	workflow_roots	registered_surfaces	events	workflow_revision
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	NONE	dchey	1	NO
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	OR	cthoor	1	NO
PROC003	SEM003	AR	QUELLE	QUELLE	NONE	char|dar|sar	5	NO
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	NONE	chety|chty	2	NO
PROC005	SEM005	OS	FACH	FACH	NONE	os	1	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	NONE	chair	1	NO
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	OL+OT	otytchol	1	YES
PROC008	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	choky|oky|qoky	10	NO
PROC011	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	chokchy|okchy|qokchy	3	NO
PROC009	SEM009	AIIN	SOLLMASS	SOLLMASS	NONE	aiin|chaiin|daiin|saiin|taiin	20	NO
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	NONE	etyd	1	NO
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · WEITER	OL+OT	qotchol	1	YES
PROC013	SEM012	OL	FORTSETZEN	WEITER	OL	cheol|chol|ol|qol|sol|tol	19	YES
PROC115	SEM012	OL	FORTSETZEN	WEITER	OL	ls	1	YES
PROC014	SEM013	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	NONE	checthy|cthy|shcthy	7	NO
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	OR	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	OR	chor|or|shor|sor	7	NO
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	NONE	cthaiin	1	NO
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · FORTSETZEN · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	OL	qoctholy	1	YES
PROC019	SEM018	Y	DIES	DIES	NONE	chey|chy|dy|shy|sy|y	18	NO
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	OR+OT	otchor|qotchor	2	NO
PROC021	SEM020	OT+OL	DANACH · FORTSETZEN	DANACH · WEITER	OL+OT	otol	1	YES
