feature_id	feature_label	targets	source_gdts	input_artifacts_or_builder_view	exact_measure	normalization	positive_interpretation	primary_models	warning	default_weight	identity_credit
CF01	CHOR_DIRECT_DRY_MOIST_POLARITY	chor	GDT762|GDT768	GDT768_CORE_FAMILY_ABLATION|experiments/yolo/gdt762_moist_medium_candidate_discrimination/artifacts/DIRECTED_PATTERN_NULL_CENSUS.tsv	At family radii 0,1,2 compute (DRY_D1-MOIST_D1)/(DRY_D1+MOIST_D1); core raw pairs are 45/9, 28/9 and 12/7; retain GDT762's differently gated 29/7 only as a prior comparator	SIGNED_MINUS1_TO_PLUS1_BY_ABLATION_RADIUS	positive means dry-side affinity that survives progressively removing same-family donors; negative means moist-side affinity	M01	State affinity describes a whole-form environment and is not itself flower, seed, fruit, herb or a free ch value	2.0	0
CF02	SHOR_DIRECT_DRY_MOIST_POLARITY	shor	GDT762|GDT768	GDT768_CORE_FAMILY_ABLATION|experiments/yolo/gdt762_moist_medium_candidate_discrimination/artifacts/DIRECTED_PATTERN_NULL_CENSUS.tsv	At family radii 0,1,2 compute (DRY_D1-MOIST_D1)/(DRY_D1+MOIST_D1); core raw pairs are 8/12, 8/5 and 7/2; retain GDT762's differently gated 0/12 only as a prior comparator	SIGNED_MINUS1_TO_PLUS1_BY_ABLATION_RADIUS	negative means moist-side affinity; persistence or reversal under family ablation distinguishes external context from form-family self-confirmation	M01	The inherited 0 dry versus 12 moist contrast made shor a pseudopositive in the medium search; its loss under radius-one or radius-two ablation is direct counterevidence to a portable moist identity	2.0	0
CF03	SAME_LINE_STATE_POLARITY_CONTRAST	chor|shor	GDT762|GDT768	GDT768_CORE_FAMILY_ABLATION|experiments/yolo/gdt762_moist_medium_candidate_discrimination/artifacts/DIRECTED_PATTERN_NULL_CENSUS.tsv	For each target and family radius compute (DRY_LINE-MOIST_LINE)/(DRY_LINE+MOIST_LINE), then compare signs; GDT762's differently gated prior was chor 66/41 and shor 10/29	SIGNED_PAIR_VECTOR_BY_ABLATION_RADIUS	Opposite signs that survive family ablation reinforce a dry/moist same-part model; convergence or reversal weakens it	M01	Line co-presence is weaker than direct attachment and receives half the direct-state weight	1.0	0
CF04	EXACT_PART_STATE_FAMILY_PERSISTENCE	chor|shor	GDT759|GDT762|GDT768	GDT768_CORE_FAMILY_ABLATION_DONOR_SURFACES	At D1 and ED0 ED1 ED2 count complete dry-deck donors chol qokchol cheor and moist-deck donors shol sheol sheor; for M01 take the minimum expected-side ED2/ED0 retention, and for M02/M03 take the ED2 target-normalized six-form weighted Jaccard	CONJUNCTIVE_RETENTION_AND_SYMMETRIC_WEIGHTED_JACCARD	Persistent chor-dry plus shor-moist donors support M01; symmetric surviving state-whole compatibility supports parallel nominal models but gives no flower-versus-seed direction	M01|M02|M03	Only observed exact complete donor forms count; at ED2 the expected shor moist deck is absent, while qokchol remains twice beside chor and once beside shor	2.0	0
CF05	CTHY_PARALLELISM_AND_DISTANCE	chor|shor	GDT625|GDT767|GDT768	GDT768_CORE_PAIR_SUMMARY|GDT768_CORE_FAMILY_ABLATION|experiments/yolo/gdt767_ofch_historical_identity_cofield_tournament/artifacts/CHOR_CTHY_15_PARALLEL_ATLAS.tsv	Count direct, R3 and same-line exact cthy positions and both written orders; core pair rows give chor-cthy 14 lines, 11 pages, 5 direct and shor-cthy 8 lines, 7 pages, 3 direct; normalize by target occurrences and retain raw loci	THREE_RADIUS_RATE_VECTOR	Repeated cthy parallelism supports a non-leaf part or a general-herb-plus-leaf hierarchy; similar exposure-adjusted profiles support a shared reproductive class	M01|M02|M03|M04	Parallelism disfavors identity with cthy but cannot distinguish flower from seed or fruit	1.5	0
CF06	ROOT_CONTROL_PARALLELISM	chor|shor|dair|kooiin|koaiin	GDT623|GDT625|GDT649|GDT768	GDT768_CORE_PAIR_SUMMARY|GDT768_CORE_FAMILY_ABLATION	Count exact direct, R3 and same-line contacts between each primary target and dair, kooiin or koaiin; keep the three controls separate and normalize by opportunities; core chor-dair row gives 5 lines, 5 pages and 2 direct pairs	THREE_RADIUS_RATE_VECTOR	Broader repeated coordination with leaf and rootstock controls can support chor as a general herb or part-list head	M04	Dair is primarily a measured-fraction whole; only kooiin and koaiin carry visual rootstock leads, and koaiin is a singleton	1.0	0
CF07	BROAD_VALUE_AMOUNT_PROXY	chor|shor	GDT759|GDT767|GDT768	GDT768_CORE_FAMILY_ABLATION	At ED2 count target occurrences with any currently clean VALUE_AMOUNT donor at D1 R3 and line; divide by reader-exact target occurrences and report chor-minus-shor deltas	THREE_RADIUS_TARGET_NORMALIZED_PROXY	A large replicated difference would be a weak register-direction clue; the observed broad proxy is deliberately symmetric in the directional model score	M02|M03	This is not a bound s/or/ar plus value formula; flowers herbs roots seeds and fruits are all dosed, so the proxy supplies zero organ-identity and EVA-initial credit	1.0	0
CF08	RECORD_POSITION_PROFILE	chor|shor	GDT737|GDT758|GDT762|GDT768	GDT768_CORE_ROLE_GEOMETRY	Compare line-first, middle, last, paragraph-first and paragraph-last shares with Jensen-Shannon similarity and signed differences; core fixed counts include chor line-first 10 and paragraph-start-line 25 versus shor 16 and 26	PROFILE_SIMILARITY_AND_DELTA	High similarity supports one part with state variants; stable divergence supports separate learned roles or two different part fields	M01|M02|M03|M04|M05	Position is a record role, not a noun translation; frequency-normalized reporting is required	1.5	0
CF09	SECTION_AND_REGISTER_PROFILE	chor|shor	GDT625|GDT737|GDT758|GDT768	GDT768_CORE_ROLE_GEOMETRY	Compare H/P/S/T counts after normalizing each target to a distribution; report Herbal share and Jensen-Shannon similarity	PROFILE_SIMILARITY_AND_DELTA	Shared Herbal concentration supports related plant-part use; broader chor distribution can support general herb or learned-role models	M01|M02|M03|M04|M05	Section labels do not identify a plant part and cached pages are not 179 visually inspected semantic pages	1.0	0
CF10	FAMILY_ABLATED_OUTWARD_COFIELD_SIMILARITY	chor|shor	GDT767|GDT768	GDT768_CORE_FAMILY_ABLATION	At each edit-family radius 0,1,2 compare D1/R3/line vectors over DRY,MOIST,HOT,COLD,STAGE,VALUE_AMOUNT,PREP,PROCESS_CLOSE,H1-H4; omit ANCHOR_* dimensions from semantic similarity and compare cosine plus weighted Jaccard	ZERO_TO_ONE_SIMILARITY_BY_ABLATION_RADIUS	High similarity that survives radius two supports M01 or two parallel part rubrics; low similarity plus stable role differences supports M05	M01|M02|M03|M04|M05	Edit distance is an EVA-shape control only; anchor assumptions, letters, sounds and broad state/form similarity cannot select flower versus seed	2.0	0
