line_no	visible_no	surface	joint_tuple_id	atomic_value_de	corrector_action	source_contribution
1	1	or	7a4bb8136330ee4e6e56	Ansatz	READ_AS_SOURCE	1
1	2	kain	9da1b6ac2c929daea697	Portion	READ_AS_SOURCE	1
1	3	chckhy	2cc8bb3c2af19607888f	durchleiten	READ_AS_SOURCE	1
1	4	cheky	d904bf7b044dd3922781	Kurzwärme	REMOVE_LICENSED_MARGIN_COPY	0
2	1	cheky	d904bf7b044dd3922781	Kurzwärme	READ_AS_SOURCE	1
2	2	oky	276a7c2d74d1143446f4	Einsetzen	READ_AS_SOURCE	1
2	3	aiin	2f1c5e56e8f0ff459065	Sollmaß	DELETE_AND_MARK_SCRIBAL_ERROR	0
3	1	aiin	2f1c5e56e8f0ff459065	Sollmaß	READ_AS_SOURCE	1
3	2	okeey	0275fbf14e07935b0a45	Langkontakt	READ_AS_SOURCE	1
3	3	qokedy	7db18b2f0fb7ed0fcfd3	Kurzkontakt	READ_AS_SOURCE	1
