side	context_surface	preexisting_broad_role	preexisting_working_default_de	primary_source	basis	semantic_status
RIGHT	chor	PART_OR_NOMINAL	Pflanzenteil	GDT759	complete whole occurs in recurrent part-state spans	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	ar	QUANTITY_OR_PART	Anteil- oder Mengenfeld	GDT759	complete whole is an attested head in exact value pairs	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	daiin	VALUE_OR_GRADE	Wert oder Grad III	GDT759	complete whole participates in an ordered value construction	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	shedy	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	GDT730|GDT744	preexisting exact-whole quality/state card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	GDT730|GDT744	preexisting exact-whole quality/state card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	qokeey	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730|GDT744	preexisting exact-whole HOT|VALUE field anchor	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	qokedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	GDT730	preexisting exact-whole quality/state card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	shedy	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	GDT730|GDT744	preexisting exact-whole quality/state card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	qokain	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730	preexisting exact-whole quality/value card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	qokeedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	GDT730	preexisting exact-whole quality/state card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
LEFT	qokar	QUANTITY_QUALITY_RIVAL	Anteil-/Qualitätskompositum	GDT730|GDT759	quantity-head and quality-composite rivals remain open	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	dain	VALUE_OR_GRADE	Wert oder Grad II	GDT759	complete whole participates in an ordered value construction	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	dar	QUANTITY_OR_PART	Anteil- oder Mengenfeld	GDT730|GDT759	preexisting exact-whole amount card; conflicts with a simple side-role split	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
RIGHT	kaiin	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730|GDT744	preexisting exact-whole quality/value card	REPLACEABLE_WORKING_ROLE_NOT_LEXEME
