statement_id	page	record	motif_id	slot	neighbour_card	neighbour_surface	neighbour_reading_de	semantic_classes	has_transition_or_operation	has_payload_configuration	has_anchor_item_or_amount
H1-S001	f10r	H1	M02_SET_ITEM_MEASURE	PRE_BINDER	PROC007	otytchol	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	ADDRESS_ITEM|OPERATION|ORDER	YES	YES	YES
H1-S001	f10r	H1	M02_SET_ITEM_MEASURE	POST_BINDER	PROC010	etyd	KURZ · EINTRAGEN · ARBEITSPOSTEN	ADDRESS_ITEM|OPERATION|STATE_GRADE	YES	YES	YES
H2-S002	f10r	H2	M06_FEED_CONTINUATION	PRE_BINDER	PROC013	chol	FORTSETZEN	ORDER	YES	NO	NO
H2-S002	f10r	H2	M06_FEED_CONTINUATION	POST_BINDER	PROC009	daiin	SOLLMASS	QUANTITY_STAGE	NO	YES	YES
H2-S003	f10r	H2	M03_PREPARATION_ITEM	PRE_BINDER	PROC016	shor	ANSATZ	MATERIAL_PATH	NO	YES	NO
H2-S003	f10r	H2	M03_PREPARATION_ITEM	POST_BINDER	PROC024	kaiiin	ZUDOSIEREN · ARBEITSSTUFE	QUANTITY_STAGE|OPERATION	YES	YES	YES
H4-S004	f55v	H4	M03_PREPARATION_ITEM	PRE_BINDER	PROC049	oltchy	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	ADDRESS_ITEM|OPERATION|ORDER	YES	YES	YES
H4-S004	f55v	H4	M03_PREPARATION_ITEM	POST_BINDER	PROC050	orain	ANSATZ · PORTION	MATERIAL_PATH|QUANTITY_STAGE	NO	YES	YES
B1-S002	f81v	B1	M08_PORTION_TARGET	PRE_BINDER	PROC069	kain	ZUDOSIEREN · PORTION	QUANTITY_STAGE|OPERATION	YES	YES	YES
B1-S002	f81v	B1	M08_PORTION_TARGET	POST_BINDER	PROC013	ol	FORTSETZEN	ORDER	YES	NO	NO
B1-S002	f81v	B1	M06_FEED_CONTINUATION	PRE_BINDER	PROC072	dl	WEITERLEITEN	OPERATION	YES	NO	NO
B1-S002	f81v	B1	M06_FEED_CONTINUATION	POST_BINDER	PROC073	sheckhal	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	MATERIAL_PATH|ADDRESS_ITEM|STATE_GRADE	NO	YES	YES
B1-S004	f81v	B1	M06_FEED_CONTINUATION	POST_BINDER	PROC078	shedy	ABSETZEN; SCHLUSS	STATE_GRADE|CLOSE	NO	YES	NO
B1-S008	f81v	B1	M04_CONTINUE_CLOSE	PRE_CLOSE	PROC083	cheky	WAERMEN · KURZ · ARBEITSPOSTEN	ADDRESS_ITEM|STATE_GRADE	NO	YES	YES
B1-S016	f81v	B1	M04_CONTINUE_CLOSE	PRE_CLOSE	PROC092	okeey	ANSETZEN · LANG · ARBEITSPOSTEN	ADDRESS_ITEM|OPERATION|STATE_GRADE	YES	YES	YES
B3-S007	f83r	B3	M07_TRANSFER_LONG_CLOSE	PRE_CLOSE	PROC038	qokaiin	ANSETZEN · SOLLMASS	QUANTITY_STAGE|OPERATION	YES	YES	YES
B3-S030	f83r	B3	M02_SET_ITEM_MEASURE	POST_BINDER	PROC150	schedair	UMSETZEN · FLUESSIGKEITSLAUF	MATERIAL_PATH|OPERATION	YES	YES	NO
B4-S003	f83r	B4	M04_CONTINUE_CLOSE	PRE_CLOSE	PROC008	qoky	ANSETZEN · ARBEITSPOSTEN	ADDRESS_ITEM|OPERATION	YES	YES	YES
B4-S005	f83r	B4	M07_TRANSFER_LONG_CLOSE	PRE_CLOSE	PROC156	dain	PORTION	QUANTITY_STAGE	NO	YES	YES
B4-S011	f83r	B4	M06_FEED_CONTINUATION	PRE_BINDER	PROC080	okain	ANSETZEN · PORTION	QUANTITY_STAGE|OPERATION	YES	YES	YES
B4-S011	f83r	B4	M06_FEED_CONTINUATION	POST_BINDER	PROC159	lkedy	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	OPERATION|STATE_GRADE|CLOSE	YES	YES	NO
B4-S014	f83r	B4	M03_PREPARATION_ITEM	POST_BINDER	PROC161	qockhey	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	MATERIAL_PATH|ADDRESS_ITEM|STATE_GRADE	NO	YES	YES
B4-S016	f83r	B4	M08_PORTION_TARGET	POST_BINDER	PROC165	skar	ZUDOSIEREN · VORRAT	MATERIAL_PATH|OPERATION	YES	YES	NO
B5-S003	f83r	B5	M06_FEED_CONTINUATION	PRE_BINDER	PROC142	shedal	ABSETZEN · ZIELSTELLE	ADDRESS_ITEM|STATE_GRADE	NO	YES	YES
B5-S003	f83r	B5	M06_FEED_CONTINUATION	POST_BINDER	PROC167	lol	WEITERLEITEN · FORTSETZEN	OPERATION|ORDER	YES	NO	NO
