page	locus	target_positions	target_ordinals	target_surfaces	v59_practical_translation_de	v60_practical_translation_de
f104v	f104v.2	1	6	qokamdy	Miss hiervon drei Dosen der bis zur Mittelstufe getrockneten Droge ab; vollständig abkühlen und abziehen. Arzneikompositum im Trockenansatz auf Anfangsstufe, Kaltansatz auf Stufe III: davon drei Maße. Ein Maß nehmen, erhitzen und fertigstellen. Erste Unterfraktion der kalten Ansatzfraktion, bis zur Mittelstufe getrocknete und abgeschlossene Rohdroge I sowie zweite kalte Ansatzfraktion; als Schlussmenge eine Maßportion.	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Ansatz vollständig abkühlen und abziehen; Arzneikompositum im Trockenansatz am Gradanfang; kalt im Zubereitungsrahmen, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweite kalte Drogenfraktion im Ansatz; eine Maßportion Ansatz.
f105r	f105r.2	3	5|12|13	otchdy|cheody|qody	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.	Dosis oder Charge vollständig eingeweichter Arzneispecies; hieran anschließend; trocken am Ende des Grades; Wurzel, Typ/Charge III; fertiger kalt-trockener Anfangsansatz; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; fertiger Trockenansatz; fertige Zubereitung.
f105r	f105r.31	2	8|10	lkedy|chedy	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Drogenholz; eingeweichtes Gummiharz; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; fertige erhitzte Holzdroge, Mittelstufe; heiße Holzfraktion I; fertige mittlere Trockenstufe; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.
f105v	f105v.1	3	5|7|8	olpchedy|dairody|ypcheddy	Abgeschlossene zweite Pulverstofffraktion: zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II. Dieses auf Stufe III erhitzen; Ergebnis ist fertiges Trockenpulver aus Holzdrogenansatz. Fertiggestellte, abgemessene zweite Ansatzfraktion: drei Dosen des bis zur Mittelstufe getrockneten Pulveransatzes. Hieraus das Pulver der abgeschlossenen zweiten Saatgutfraktion bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen.	Abgeschlossene zweite Pulverstofffraktion; zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II; erhitze hiervon auf Stufe III; fertiges Trockenpulver aus Holzdrogenansatz; drei Dosen bis zur Mittelstufe getrockneter Pulveransatz; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; abgeschlossene zweite Saatgutfraktion.
f105v	f105v.14	2	2|4	chckhdy|olpchedy	Drei Dosen bis zur Mittelstufe getrocknetes Pulver mit dem auf Anfangsstufe angetrockneten und abgeschlossenen Arzneikompositum ansetzen. Die dritte erhitzte Drogenfraktion und das fertige Trockenpulver aus Holzdrogenansatz nehmen; ferner eine abgezogene Portion dieses Ansatzes, Menge IV, und kaltgestellte Rohdroge II. Die erste Ansatzfraktion abmessen, die erste erhitzte Fraktion abziehen und die Droge kalt trocknen sowie leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertiges trockenes Arzneikompositum, Anfangsstufe; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzdrogenansatz; abgezogene Portion Holzdrogenansatz; Menge-/Klassenwert IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.
f106r	f106r.23	4	1|2|5|8	ychedy|qckhedy|qokedy|otedy	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	Eintrag: fertige getrocknete Droge; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; fertige heiße Mittelstufe; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; fertiger kalter Ansatz, Mittelstufe; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.
f107r	f107r.2	2	1|4	dchey|shedy	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Eine Charge des bis zur Mittelstufe gekühlten Ansatzes nehmen, drei Teile; dazu das fertig eingeweichte Zwischenprodukt und den vollständig abgekühlten, abgezogenen Ansatz. Eine Drogenportion nehmen, drei Teile, mit dem trocken angesetzten Arzneikompositum und dem vollständig erhitzten Holzdrogenansatz. Auf Kältestufe II stellen, bis zur mittleren Trockenstufe führen, danach vollständig zu Ende trocknen und abschließen; zuletzt eine Holzportion.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; fertige mittlere Feuchtstufe; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzdrogenansatz vollständig erhitzt; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.
f10r	f10r.2	1	1	dchey	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen: Qualitätsgrad III; anschließend bis zur Mittelstufe kühlen und abschließen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Blatt- oder Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlter Ansatz, abgeschlossen.
f112v	f112v.10	1	3	okchedy	Feuchtgrad II bis zur Endstufe; heiß-trockener Ansatz bis zur Mittelstufe, abgeschlossen; zwei Portionen.	Feuchtgrad II; feucht am Ende des Grades; fertiger heiß-trockener Ansatz, Mittelstufe; zwei Portionen.
f113v	f113v.12	2	1|2	solchedy|otsheody	Getrockneter Saatgutansatz; kalt angefeuchteter Ansatz, abgeschlossen; erste Holzdrogenfraktion; bis zur Mittelstufe getrockneter Holzdrogenansatz — zwei Portionen.	Fertig getrockneter Saatgutstoff; fertiger kalt angefeuchteter Ansatz; erste Holzdrogenfraktion; Holzdrogenansatz, bis Mittelstufe getrocknet; zwei Portionen.
