page	locus	section	language	hand	token_count	new_v50_positions	new_v51_positions	new_v52_positions	new_v53_positions	new_v54_positions	new_v55_positions	new_v56_positions	residual_unknown_positions	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	v54_target_surfaces	v55_target_surfaces	v56_target_surfaces	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	aligned_line_de	practical_translation_de	review_note	v57_semantic_revisions	v57_bound_compounds	v57_ol_decision	v57_reader_support	v58_local_dispatch	v58_patch_basis	v58_semantic_revisions	v58_target_surfaces	v59_value_dispatch	v59_patch_basis	v59_value_confidence	v59_semantic_revisions	v59_target_surfaces	v60_scope_dispatch	v60_patch_basis	v60_semantic_revisions
f102v2	f102v2.3	P	A	1	1	1	0	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	NONE	NONE	NONE	NONE	oror	zwei Portionen	Zwei Portionen.	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	0
f104v	f104v.2	S	B	3	10	1	0	0	0	0	5	0	0	1.000000	1	3	1|2|6	ychedaiin|qoteed|qokamdy	MIXED_RECORD	NONE	ychedaiin|qoteed|qokamdy|otarar|oram	NONE	NONE	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen | Ansatz vollständig abkühlen und abziehen | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | ein Maß nehmen und erhitzen | erste Unterfraktion der kalten Ansatzfraktion I | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | eine Maßportion Ansatz	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen · Ansatz vollständig abkühlen und abziehen · Arzneikompositum im Trockenansatz am Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ein Maß nehmen und erhitzen · erste Unterfraktion der kalten Ansatzfraktion I · Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · eine Maßportion Ansatz.	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Ansatz vollständig abkühlen und abziehen; Arzneikompositum im Trockenansatz am Gradanfang; kalt im Zubereitungsrahmen, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweite kalte Drogenfraktion im Ansatz; eine Maßportion Ansatz.	RF1b exposes yche aiin, qotee, qokam y and otar ar; every split preserves the practical dose, cooling, measure, heat or fraction core.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	qokamdy#6=ACTION_WHOLE_WITH_FINISHED_ENDPOINT	qokamdy#6:V59_WHOLE_TOKEN_ACTION_LICENSE	1
f105r	f105r.2	S	B	3	13	1	0	2	0	0	0	0	0	1.000000	1	2	6|11	qodor|odar	MIXED_RECORD	NONE	NONE	NONE	NONE	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | fertiger kalt-trockener Anfangsansatz | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | fertiger Trockenansatz | fertige Zubereitung	Dosis oder Charge vollständig eingeweichter Arzneispecies · hieran anschließend · trocken am Ende des Grades · Wurzel, Typ/Charge III · fertiger kalt-trockener Anfangsansatz · eine Portion Ansatz abmessen · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken am Ende des Grades · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · fertiger Trockenansatz · fertige Zubereitung.	Dosis oder Charge vollständig eingeweichter Arzneispecies; hieran anschließend; trocken am Ende des Grades; Wurzel, Typ/Charge III; fertiger kalt-trockener Anfangsansatz; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; fertiger Trockenansatz; fertige Zubereitung.	yey remains the sequence link; qodor is the new measure action.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	otchdy#5=NOMINAL_FINISHED_RESULT_STATE | cheody#12=NOMINAL_FINISHED_RESULT_STATE | qody#13=NOMINAL_FINISHED_RESULT_STATE	otchdy#5:V59_WHOLE_TOKEN_NOMINAL_STATE | cheody#12:V59_WHOLE_TOKEN_NOMINAL_STATE | qody#13:V59_WHOLE_TOKEN_NOMINAL_STATE	3
f105r	f105r.31	S	B	3	13	1	0	0	0	0	5	0	0	1.000000	1	1	5	aiijy	MIXED_RECORD	NONE	kodeey|shx|aiijy|cpheesy|fchoky	NONE	NONE	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	vollständig erhitzte und abgeschlossene Zubereitungsdosis | getrocknetes Drogenholz | eingeweichtes Gummiharz | Drogenfraktion I | in drei Bündel abfüllen und schließen | vollständig bereitetes und abgeschlossenes Arzneikompositum | Rohstoffklasse I im Ansatz, heiß am Gradanfang | fertige erhitzte Holzdroge, Mittelstufe | heiße Holzfraktion I | fertige mittlere Trockenstufe | heiß, Grad III | Drogenportion | heiß-trockene Blütenzubereitung in Grundform	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Drogenholz · eingeweichtes Gummiharz · Drogenfraktion I · in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Arzneikompositum · Rohstoffklasse I im Ansatz, heiß am Gradanfang · fertige erhitzte Holzdroge, Mittelstufe · heiße Holzfraktion I · fertige mittlere Trockenstufe · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Drogenholz; eingeweichtes Gummiharz; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; fertige erhitzte Holzdroge, Mittelstufe; heiße Holzfraktion I; fertige mittlere Trockenstufe; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	The line is a material and result register anchored by one new filling action; RF1b todeey keeps a visible cold-dose rival and shx remains an exploratory resin identity.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	lkedy#8=NOMINAL_FINISHED_RESULT_STATE | chedy#10=NOMINAL_FINISHED_RESULT_STATE	lkedy#8:V59_WHOLE_TOKEN_NOMINAL_STATE | chedy#10:V59_WHOLE_TOKEN_NOMINAL_STATE	2
f105v	f105v.1	S	B	3	9	1	0	0	0	0	0	7	0	1.000000	1	2	4|8	ykaiin|ypcheddy	MIXED_RECORD	NONE	NONE	polairy|oair|olpcheey|opchedaiin|dairody|ypcheddy|sairy	NONE	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	abgeschlossene zweite Pulverstofffraktion | zweite Ansatzfraktion | trocken gebundenes Holzdrogenpulver, Form II | erhitze hiervon auf Stufe III | fertiges Trockenpulver aus Holzdrogenansatz | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | fertige abgemessene Ansatzfraktion II | hieraus Pulver bis zur Mittelstufe trocknen | abgeschlossene zweite Saatgutfraktion	abgeschlossene zweite Pulverstofffraktion · zweite Ansatzfraktion · trocken gebundenes Holzdrogenpulver, Form II · erhitze hiervon auf Stufe III · fertiges Trockenpulver aus Holzdrogenansatz · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · fertige abgemessene Ansatzfraktion II · hieraus Pulver bis zur Mittelstufe trocknen · abgeschlossene zweite Saatgutfraktion.	Abgeschlossene zweite Pulverstofffraktion; zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II; erhitze hiervon auf Stufe III; fertiges Trockenpulver aus Holzdrogenansatz; drei Dosen bis zur Mittelstufe getrockneter Pulveransatz; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; abgeschlossene zweite Saatgutfraktion.	All seven new source forms are exact in both alternate readers. The practical binding provisionally treats POLAIRY through DAIRODY as material, dose or result records; inherited YKAIIN heats the wood-drug powder, and YPCHEDDY provisionally acts on following SAIRY as one closed-seed-fraction object. A backward reference to DAIRODY and an independent active closure reading of SAIRY remain named rivals.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	olpchedy#5=NOMINAL_FINISHED_RESULT_STATE | dairody#7=NOMINAL_FINISHED_RESULT_STATE | ypcheddy#8=ACTION_WHOLE_WITH_FINISHED_ENDPOINT	olpchedy#5:V59_WHOLE_TOKEN_NOMINAL_STATE | dairody#7:V59_WHOLE_TOKEN_NOMINAL_STATE | ypcheddy#8:V59_WHOLE_TOKEN_ACTION_LICENSE	3
f105v	f105v.14	S	B	3	10	1	0	0	0	4	0	0	0	1.000000	1	3	3|8|10	qokaiir|odar|chtchy	ACTION_SEQUENCE	pchedaiin|olord|tail|kard	NONE	NONE	NONE	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	drei Dosen bis Mittelstufe getrocknetes Pulver | fertiges trockenes Arzneikompositum, Anfangsstufe | nimm die dritte erhitzte Drogenfraktion | fertiges Trockenpulver aus Holzdrogenansatz | abgezogene Portion Holzdrogenansatz | Menge-/Klassenwert IV | kaltgestellte Rohdroge II | erste Ansatzfraktion abmessen | erste erhitzte Drogenfraktion, abgezogen | Droge kalt trocknen und leicht nachtrocknen	drei Dosen bis Mittelstufe getrocknetes Pulver · fertiges trockenes Arzneikompositum, Anfangsstufe · nimm die dritte erhitzte Drogenfraktion · fertiges Trockenpulver aus Holzdrogenansatz · abgezogene Portion Holzdrogenansatz · Menge-/Klassenwert IV · kaltgestellte Rohdroge II · erste Ansatzfraktion abmessen · erste erhitzte Drogenfraktion, abgezogen · Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertiges trockenes Arzneikompositum, Anfangsstufe; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzdrogenansatz; abgezogene Portion Holzdrogenansatz; Menge-/Klassenwert IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	pchedaiin is reused unchanged from GDT678; IT2a kail leaves a visible hot rival for source tail.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	chckhdy#2=NOMINAL_FINISHED_RESULT_STATE | olpchedy#4=NOMINAL_FINISHED_RESULT_STATE	chckhdy#2:V59_WHOLE_TOKEN_NOMINAL_STATE | olpchedy#4:V59_WHOLE_TOKEN_NOMINAL_STATE	2
f106r	f106r.23	S	B	3	10	1	1	0	0	0	0	0	0	1.000000	1	1	2	qckhedy	MIXED_RECORD	NONE	NONE	NONE	NONE	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Eintrag: fertige getrocknete Droge | das Arzneikompositum bis zur Mittelstufe aufbereiten | abgemessene Fraktion II | Rohstoffklasse I | fertige heiße Mittelstufe | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | fertiger kalter Ansatz, Mittelstufe | abgemessene Fraktion I | eine Portion der ersten Drogenfraktion	Eintrag: fertige getrocknete Droge · das Arzneikompositum bis zur Mittelstufe aufbereiten · abgemessene Fraktion II · Rohstoffklasse I · fertige heiße Mittelstufe · bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß und trocken am Anfang des Grades · fertiger kalter Ansatz, Mittelstufe · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	Eintrag: fertige getrocknete Droge; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; fertige heiße Mittelstufe; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; fertiger kalter Ansatz, Mittelstufe; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	GDT677 closes aror; Nach dar ergibt sich abgemessene Fraktion I gefolgt von einer Portion derselben Fraktion.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	ychedy#1=NOMINAL_FINISHED_RESULT_STATE | qckhedy#2=ACTION_WHOLE_WITH_FINISHED_ENDPOINT | qokedy#5=NOMINAL_FINISHED_RESULT_STATE | otedy#8=NOMINAL_FINISHED_RESULT_STATE	ychedy#1:V59_WHOLE_TOKEN_NOMINAL_STATE | qckhedy#2:V59_WHOLE_TOKEN_ACTION_LICENSE | qokedy#5:V59_WHOLE_TOKEN_NOMINAL_STATE | otedy#8:V59_WHOLE_TOKEN_NOMINAL_STATE	4
f107r	f107r.2	S	B	3	13	1	0	0	3	0	0	0	0	1.000000	1	4	1|2|6|12	dchey|qoteos|qor|qeeey	ACTION_SEQUENCE	NONE	NONE	NONE	NONE	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	Eine abgemessene Portion bis zur Mittelstufe trocknen | eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen | Menge III | fertige mittlere Feuchtstufe | vollständig abgekühlter und abgezogener Ansatz | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | Holzportion	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen · Menge III · fertige mittlere Feuchtstufe · vollständig abgekühlter und abgezogener Ansatz · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · die vorstehende Behandlung bis zur letzten Stufe führen und abschließen · Holzportion.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; fertige mittlere Feuchtstufe; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzdrogenansatz vollständig erhitzt; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	qeeey schließt hier wie in seinen beiden anderen Kontexten den unmittelbar vorstehenden Prozess ab; die Schlussportionslesung bleibt Rivale	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	dchey#1=ACTION_DRY_MEASURED_PORTION_TO_MIDDLE | shedy#4=NOMINAL_FINISHED_RESULT_STATE	dchey#1:LINE_ENTRY_NO_IMMEDIATE_VALUE | shedy#4:V59_WHOLE_TOKEN_NOMINAL_STATE	2
f107r	f107r.40	S	B	3	10	1	1	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	NOMINAL_REGISTER	NONE	NONE	NONE	NONE	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	Holzstoff, heiß auf Stufe III | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	GDT677 closes lolkaiin; Vor Trocken-, Heiß- und Fraktionsfeldern eine direkte Stoff-/Stufenbezeichnung.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	0
f10r	f10r.2	H	A	1	10	1	0	0	0	4	0	0	0	1.000000	1	1	1	dchey	MIXED_RECORD	cthoor|chair|otytchol|etyd	NONE	NONE	NONE	dchey cthoor char chty os chair otytchol oky daiin etyd	Eine abgemessene Portion bis zur Mittelstufe trocknen | eine Portion Blatt- oder Krautansatz | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | zweite Trockenfraktion | nachgekühlter Trockenstoff im Ansatz | heißer Ansatz am Anfang des Grades | Qualitätsgrad III des erhitzten Ansatzes | bis Mittelstufe gekühlter Ansatz, abgeschlossen	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine Portion Blatt- oder Krautansatz · Trockenfraktion I · trocken-kalt am Gradanfang · Ansatzcharge · zweite Trockenfraktion · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz am Anfang des Grades · Qualitätsgrad III des erhitzten Ansatzes · bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Blatt- oder Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlter Ansatz, abgeschlossen.	All four target words are bilateral exact; the new values preserve the dry-fraction and cold-treatment sequence. GDT686: daiin#9=GRADE:LEFT:oky	0	0	NONE	NONE	NONE	NONE	0	NONE	daiin#9=GRADE:LEFT:oky	Der linke heiße Anfangszustand und der rechte Kühlabschluss bilden den engsten Qualitätsrahmen; das alte Abnehmen-Verb hatte keine Tokenlizenz.	AMBER	1	daiin	dchey#1=ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	dchey#1:LINE_ENTRY_NO_IMMEDIATE_VALUE	1
