page	locus	ordinal	line_position	right_surface	reader_support	dispatch_class	v60_reading_de	decision_basis
f107r	f107r.2	1	INITIAL	qoteos	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f10r	f10r.2	1	INITIAL	cthoor	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f115r	f115r.23	1	INITIAL	keey	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f23r	f23r.6	8	MEDIAL	daiidal	BOTH_EXACT	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	MEDIAL_RESULT_SLOT
f24v	f24v.15	1	INITIAL	kchod	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f26r	f26r.2	1	INITIAL	aiin	BOTH_EXACT	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	IMMEDIATE_VALUE_OVERRIDES_LINE_ENTRY
f27r	f27r.9	1	INITIAL	keeod	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f30r	f30r.9	1	INITIAL	qochar	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f49r	f49r.16	3	MEDIAL	qotchody	BOTH_EXACT	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	MEDIAL_RESULT_SLOT
f56r	f56r.6	3	MEDIAL	keey	BOTH_EXACT	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	MEDIAL_RESULT_SLOT
f7r	f7r.2	6	MEDIAL	kchey	BOTH_EXACT	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	MEDIAL_RESULT_SLOT
f81r	f81r.2	1	INITIAL	lshl	ONE_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f86v3	f86v3.19	1	INITIAL	otain	ONE_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f88r	f88r.19	1	INITIAL	chokol	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
f8r	f8r.15	1	INITIAL	ckhol	BOTH_EXACT	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	eine abgemessene Portion bis zur Mittelstufe trocknen	LINE_ENTRY_ACTION
