page	locus	ordinal	surface	target_family	line_position	action_licensed_before	dispatch_class	v59_literal_gloss_de	v60_literal_gloss_de	dy_contribution	confidence	evidence_key	strongest_rival_de	left_surface	right_surface	reader_support	strict_debt_before	strict_debt_after	mechanical_flags_before	mechanical_flags_after	specificity_open_before	specificity_open_after	low_confidence_before	low_confidence_after	four_layer_debt_before	four_layer_debt_after
f104v	f104v.2	6	qokamdy	BOUND_DY	MEDIAL	1	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	ein Maß nehmen, erhitzen und fertigstellen	ein Maß nehmen und erhitzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH	V59_WHOLE_TOKEN_ACTION_LICENSE	dy als selbständiger Befehl innerhalb des Wortes	ydaiin	otarar	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
f105r	f105r.2	5	otchdy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	fertiger kalt-trockener Anfangsansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	raiin	qodor	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	1	0	0	0	1	0
f105r	f105r.2	12	cheody	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	getrockneter Ansatz	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	odar	qody	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	1	0	0	0	1	0
f105r	f105r.2	13	qody	BOUND_DY	FINAL	1	NOMINAL_FINISHED_RESULT_STATE	stelle die Zubereitung fertig	fertige Zubereitung	FINISHED_ENDPOINT_NOT_NEW_VERB	AMBER	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	cheody	<EOS>	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
f105r	f105r.31	8	lkedy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	erhitzte Holzdroge, Mittelstufe, fertig	fertige erhitzte Holzdroge, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	okal	lkar	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
f105r	f105r.31	10	chedy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	trocken in der Mitte des Grades, abgeschlossen	fertige mittlere Trockenstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	lkar	qokaiin	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	STATE_ONLY_NO_OBJECT	STATE_ONLY_NO_OBJECT	1	1	0	0	1	1
f105v	f105v.1	5	olpchedy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	fertiggestelltes Trockenpulver aus Holzdrogenansatz	fertiges Trockenpulver aus Holzdrogenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	ykaiin	opchedaiin	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
f105v	f105v.1	7	dairody	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	fertiggestellte abgemessene Ansatzfraktion II	fertige abgemessene Ansatzfraktion II	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	opchedaiin	ypcheddy	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	1	0	0	0	1	0
f105v	f105v.1	8	ypcheddy	BOUND_DY	MEDIAL	1	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hieraus Pulver bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen	hieraus Pulver bis zur Mittelstufe trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER	V59_WHOLE_TOKEN_ACTION_LICENSE	dy als selbständiger Befehl innerhalb des Wortes	dairody	sairy	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
f105v	f105v.14	2	chckhdy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	Arzneikompositum: trocken, Gradanfang, abgeschlossen	fertiges trockenes Arzneikompositum, Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	pchedaiin	qokaiir	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	1	0	0	0	1	0
f105v	f105v.14	4	olpchedy	BOUND_DY	MEDIAL	0	NOMINAL_FINISHED_RESULT_STATE	fertiggestelltes Trockenpulver aus Holzdrogenansatz	fertiges Trockenpulver aus Holzdrogenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH	V59_WHOLE_TOKEN_NOMINAL_STATE	dy als selbständiger Befehl innerhalb des Wortes	qokaiir	olord	CURRENT_EXACT_SURFACE__FORMAL_DY_PRIOR	0	0	NONE	NONE	0	0	0	0	0	0
