locus	ordinal	surface	dispatch_class	strict_cleared	mechanical_memberships_cleared	specificity_cleared	four_layer_position_cleared	remaining_debt
f104v.2	6	qokamdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f105r.2	5	otchdy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f105r.2	12	cheody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f105r.2	13	qody	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f105r.31	8	lkedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f105r.31	10	chedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f105v.1	5	olpchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f105v.1	7	dairody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f105v.1	8	ypcheddy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f105v.14	2	chckhdy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f105v.14	4	olpchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f106r.23	1	ychedy	NOMINAL_FINISHED_RESULT_STATE	1	1	1	1	NONE
f106r.23	2	qckhedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f106r.23	5	qokedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f106r.23	8	otedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f107r.2	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f107r.2	4	shedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f10r.2	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f112v.10	3	okchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f113v.12	1	solchedy	NOMINAL_FINISHED_RESULT_STATE	1	1	0	1	NONE
f113v.12	2	otsheody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f113v.17	2	shedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f114r.26	8	cheody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.1	4	otedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.1	7	teeedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.1	9	oechedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.1	10	oteedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.1	11	qotchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f115r.23	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f115r.23	4	chody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f115r.23	11	chedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
