surface	positions	lines	action_positions	result_positions	dispatch_class	v60_literal_gloss_de	dy_contribution	confidence
chedy	5	5	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Trockenstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
shedy	5	4	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Feuchtstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
cheody	3	3	0	3	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
kchdy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ldy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertig aufbereitete Holzdroge	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olpchedy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertiges Trockenpulver aus Holzdrogenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otedy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
adeeody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	gleicher abgemessener Teil des fertigen Ansatzes	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
aiindy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	drei fertig abgeteilte Teile	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
chckhdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiges trockenes Arzneikompositum, Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
chdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige Trocken-Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
