exact_card_id	surfaces	component_recipe	events	old_reading_de	new_reading_de
PROC002	cthoor	CTH+O+OR	1	BEREITEN · VORGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ
PROC018	qoctholy	O+CTH+OL+Y	1	VORGANG · BEREITEN · WEITER · POSTEN	ARBEITSGANG · BEREITEN · WEITER · POSTEN
PROC023	oykchor	O+Y+K+OR	1	VORGANG · POSTEN · ZUGEBEN · ANSATZ	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ
PROC025	chodaiin	CH+O+AIIN	1	ENTNEHMEN · VORGANG · SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS
PROC027	schoal	SH+O+AL	1	HALTEN · VORGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE
PROC032	tchody	T+CH+O+DY	1	BEARBEITEN · ENTNEHMEN · VORGANG · SCHLUSS	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS
PROC033	shoyty	SH+O+Y+T+Y	1	HALTEN · VORGANG · POSTEN · BEARBEITEN · POSTEN	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN
PROC041	ody	O+DY	1	VORGANG · SCHLUSS	ARBEITSGANG · SCHLUSS
PROC045	cheoar	CH+E+O+AR	1	ENTNEHMEN · KURZ · VORGANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE
PROC057	cheeckhody	CH+EE+CKH+O+DY	1	ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS
PROC061	chokcheo	OK+CH+E+O	1	ANSETZEN · ENTNEHMEN · KURZ · VORGANG	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG
PROC064	sotodan	OT+O+AIN	1	DANACH · VORGANG · PORTION	DANACH · ARBEITSGANG · PORTION
PROC084	lsho	LSH+O	1	SPUELEN · VORGANG	SPUELEN · ARBEITSGANG
PROC097	oiiin|soiiin	O+IIN	2	VORGANG · STUFE	ARBEITSGANG · STUFE
PROC106	octheol	O+CTH+E+OL	1	VORGANG · BEREITEN · KURZ · WEITER	ARBEITSGANG · BEREITEN · KURZ · WEITER
PROC130	lochedy	L+O+CHD+DY	1	LEITEN · VORGANG · UMSETZEN · SCHLUSS	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS
PROC140	lo	L+O	1	LEITEN · VORGANG	LEITEN · ARBEITSGANG
PROC161	qockhey	O+CKH+E+Y	1	VORGANG · DURCHLASS · KURZ · POSTEN	ARBEITSGANG · DURCHLASS · KURZ · POSTEN
