component_no	component	short_value_de	grammar_tier	exact_cards	events	teaching_rule
C01	OK	ANSETZEN	PARADIGM_CORE33	24	80	compose freely in registered recipe slot
C02	CHD	UMSETZEN	PARADIGM_CORE33	22	48	compose freely in registered recipe slot
C03	SH	HALTEN	PARADIGM_CORE33	20	25	compose freely in registered recipe slot
C04	SHED	STEHENLASSEN	PARADIGM_CORE33	3	15	compose freely in registered recipe slot
C05	CHK	WAERMEN	PARADIGM_CORE33	4	7	compose freely in registered recipe slot
C06	CTH	BEREITEN	PARADIGM_CORE33	8	15	compose freely in registered recipe slot
C07	SOLK	SAMMELN	PARADIGM_CORE33	5	7	compose freely with revised concrete workshop value
C08	P	EINBRINGEN	PARADIGM_CORE33	3	3	compose freely with revised concrete workshop value
C09	LSH	SPUELEN	PARADIGM_CORE33	2	3	compose freely in registered recipe slot
C10	CFH	AUSPRESSEN	PARADIGM_CORE33	1	1	compose freely in registered recipe slot
C11	CH	ENTNEHMEN	PARADIGM_CORE33	15	16	compose freely in registered recipe slot
C12	T	BEARBEITEN	PARADIGM_CORE33	9	10	compose freely with revised concrete workshop value
C13	K	ZUGEBEN	PARADIGM_CORE33	18	21	compose freely in registered recipe slot
C14	S	PROBE	PARADIGM_CORE33	1	1	compose freely in registered recipe slot
C15	L	LEITEN	PARADIGM_CORE33	18	27	compose freely in registered recipe slot
C16	OL	WEITER	PARADIGM_CORE33	25	48	compose freely in registered recipe slot
C17	OT	DANACH	PARADIGM_CORE33	16	26	compose freely in registered recipe slot
C18	AL	ZIELSTELLE	PARADIGM_CORE33	22	39	compose freely in registered recipe slot
C19	AR	QUELLE	PARADIGM_CORE33	10	14	compose freely in registered recipe slot
C20	AIR	WASSER	PARADIGM_CORE33	5	5	compose freely in registered recipe slot
C21	OR	ANSATZ	PARADIGM_CORE33	10	18	compose freely in registered recipe slot
C22	HO	ZUTAT	PARADIGM_CORE33	5	8	compose freely in registered recipe slot
C23	CKH	DURCHLASS	PARADIGM_CORE33	9	14	compose freely in registered recipe slot
C24	O	ARBEITSGANG	PARADIGM_CORE33	18	19	name the current workshop operation as ARBEITSGANG
C25	Y	POSTEN	PARADIGM_CORE33	60	124	name the current work item as POSTEN
C26	AIN	PORTION	PARADIGM_CORE33	8	18	compose freely in registered recipe slot
C27	AIIN	SOLLMASS	PARADIGM_CORE33	10	39	compose freely in registered recipe slot
C28	IIN	STUFE	PARADIGM_CORE33	3	4	compose freely in registered recipe slot
C29	E	KURZ	PARADIGM_CORE33	35	50	compose freely in registered recipe slot
C30	EE	LANG	PARADIGM_CORE33	17	40	compose freely in registered recipe slot
C31	EEE	VOLL	PARADIGM_CORE33	2	2	compose freely in registered recipe slot
C32	R	KUEHLEN	PARADIGM_CORE33	6	6	compose freely in registered recipe slot
C33	AN	NACHGABE	BOUND_COMPONENT	1	1	use only in attested bound frame
C34	DA	ZWEI	BOUND_COMPONENT	1	1	use only in attested bound frame
C35	LD	BEFESTIGEN	BOUND_COMPONENT	1	1	use only in attested bound frame
C36	DY	SCHLUSS	PARADIGM_CORE33	37	89	compose freely in registered recipe slot
C37	OS	DAZU	MEMORIZED_WHOLE_CONNECTOR	1	1	memorize this complete short word
C38	RESUME_CARD	DAVON	MEMORIZED_WHOLE_ANAPHOR	1	2	memorize this complete short word
C39	TALAM	BEISEITESTELLEN	MEMORIZED_WHOLE_OPERATION	1	1	memorize this complete short word
