composition_id	surface	component_recipe	portable_default_de	parts	example_page	example_locus	statement_id	teaching_status
N01	chog	HO+LOCAL_CHAR_G	TEILSTOFF · EINMAL	2	f17r	f17r.1	P1006-S011	ROOT_SUM_NOT_NEW_WORD
N02	dody	D_ADDR+O+DY	TEIL · AUSFÜHREN · SCHLUSS	3	f17r	f17r.1	P1006-S012	ROOT_SUM_NOT_NEW_WORD
N03	ods	O+D_ADDR+S	AUSFÜHREN · TEIL · AUSWÄHLEN	3	f17r	f17r.2	P1006-S014	ROOT_SUM_NOT_NEW_WORD
N04	som	S+O+M_LOCAL	AUSWÄHLEN · AUSFÜHREN · MITTE	3	f17r	f17r.4	P1006-S014	ROOT_SUM_NOT_NEW_WORD
N05	tsho	T+SH+O	STELLEN · HALTEN · AUSFÜHREN	3	f17r	f17r.6	P1006-S016	ROOT_SUM_NOT_NEW_WORD
N06	ksheo	K+SH+E+O	GEBEN · HALTEN · KURZ · AUSFÜHREN	4	f17r	f17r.7	P1006-S016	ROOT_SUM_NOT_NEW_WORD
N07	schar	S+AR	AUSWÄHLEN · QUELLE	2	f17r	f17r.8	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N08	soy	S+O+Y	AUSWÄHLEN · AUSFÜHREN · POSTEN	3	f17r	f17r.9	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N09	chckho	CKH+O	DURCHLASS · AUSFÜHREN	2	f17r	f17r.9	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N10	das	DA+S	ZWEIT · AUSWÄHLEN	2	f17r	f17r.9	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N11	mol	M_LOCAL+OL	MITTE · FORTSETZEN	2	f17r	f17r.10	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N12	cthar	CTH+AR	BEREIT · QUELLE	2	f17r	f17r.11	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N13	ychod	Y+CH+O+D_ADDR	POSTEN · NEHMEN · AUSFÜHREN · TEIL	4	f17r	f17r.12	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N14	chotom	CH+OT+O+M_LOCAL	NEHMEN · DANACH · AUSFÜHREN · MITTE	4	f17r	f17r.12	P1006-S017	ROOT_SUM_NOT_NEW_WORD
N15	cphey	CPH+E+Y	UMLEITEN · KURZ · POSTEN	3	f77r	f77r.24	P1006-S202	ROOT_SUM_NOT_NEW_WORD
N16	shedar	SH+E+D_ADDR+AR	HALTEN · KURZ · TEIL · QUELLE	4	f77r	f77r.25	P1006-S204	ROOT_SUM_NOT_NEW_WORD
N17	daror	D_ADDR+AR+OR	TEIL · QUELLE · ANSATZ	3	f77r	f77r.25	P1006-S204	ROOT_SUM_NOT_NEW_WORD
N18	olcheedy	OL+CH+EE+DY	FORTSETZEN · NEHMEN · LÄNGER · SCHLUSS	4	f77r	f77r.28	P1006-S210	ROOT_SUM_NOT_NEW_WORD
N19	lom	L+O+M_LOCAL	LEITEN · AUSFÜHREN · MITTE	3	f77r	f77r.28	P1006-S211	ROOT_SUM_NOT_NEW_WORD
N20	chealor	AL+OR	ZIEL · ANSATZ	2	f77r	f77r.32	P1006-S215	ROOT_SUM_NOT_NEW_WORD
N21	chealy	AL+Y	ZIEL · POSTEN	2	f77r	f77r.35	P1006-S220	ROOT_SUM_NOT_NEW_WORD
N22	chl	CH+L	NEHMEN · LEITEN	2	f77r	f77r.41	P1006-S231	ROOT_SUM_NOT_NEW_WORD
N23	qepchedy	CARRIER_Q+E+P+CHD+Y	BEGINN · KURZ · EINSETZEN · UMSETZEN · POSTEN	5	f77r	f77r.44	P1006-S237	ROOT_SUM_NOT_NEW_WORD
N24	yfolaiin	Y+LOCAL_CHAR_F+OL+AIIN	POSTEN · NEBENWEG · FORTSETZEN · MASS	4	f88v	f88v.15	P1006-S455	ROOT_SUM_NOT_NEW_WORD
N25	ysheod	Y+SH+E+O+D_ADDR	POSTEN · HALTEN · KURZ · AUSFÜHREN · TEIL	5	f88v	f88v.16	P1006-S455	ROOT_SUM_NOT_NEW_WORD
N26	soteol	S+OT+E+OL	AUSWÄHLEN · DANACH · KURZ · FORTSETZEN	4	f88v	f88v.18	P1006-S457	ROOT_SUM_NOT_NEW_WORD
N27	korain	K+OR+AIN	GEBEN · ANSATZ · PORTION	3	f88v	f88v.21	P1006-S459	ROOT_SUM_NOT_NEW_WORD
N28	daimd	DA+IIN+M_LOCAL+D_ADDR	ZWEIT · STUFE · MITTE · TEIL	4	f88v	f88v.23	P1006-S460	ROOT_SUM_NOT_NEW_WORD
N29	oto	OT+O	DANACH · AUSFÜHREN	2	f71v	f71v.12	P1006-S042	ROOT_SUM_NOT_NEW_WORD
