statement_id	legacy_statement_id	physical_page	register	visible_owner_or_namespace_de	locus_span	locus_count	crosses_physical_line	event_count	surface_sequence	component_sequence	portable_literal_de	fluent_workshop_de	end_mode	boundary_reading_de	reading_source	source_release	event_ids
P1006-S001	P915-C001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1|f10r.2|f10r.3|f10r.4	4	YES	39	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	P+CH+O+CTH+Y | SH+OR | O+CTH+O+D_ADDR+Y | CH+OR+CH+Y | P+CH+O+D_ADDR+OL | CH+O+P+CH+AL | Y+P+CH | K+O+M_LOCAL | CH+E+Y | CTH+O+OR | AR | CH+T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y | OT+OR | O | T+Y | AIIN | CH+O+CTH+Y | OT+Y | OL | OR | Y+T+Y | Y | Y | S+OR | CH+AIIN | CH+CTH+Y | CTH+O | CKH+Y | OR | AIIN | CH+T+CH+OR | D_ADDR+O+IIN+R | O+DY	EINSETZEN · NEHMEN · AUSFÜHREN · BEREIT · POSTEN | HALTEN · ANSATZ | AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN | NEHMEN · ANSATZ · NEHMEN · POSTEN | EINSETZEN · NEHMEN · AUSFÜHREN · TEIL · FORTSETZEN | NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL | POSTEN · EINSETZEN · NEHMEN | GEBEN · AUSFÜHREN · MITTE | NEHMEN · KURZ · POSTEN | BEREIT · AUSFÜHREN · ANSATZ | QUELLE | NEHMEN · STELLEN · POSTEN | DAZU | NEHMEN · LAUF | DANACH · POSTEN · STELLEN · NEHMEN · FORTSETZEN | SETZEN · POSTEN | MASS | KURZ · STELLEN · POSTEN | DANACH · ANSATZ | AUSFÜHREN | STELLEN · POSTEN | MASS | NEHMEN · AUSFÜHREN · BEREIT · POSTEN | DANACH · POSTEN | FORTSETZEN | ANSATZ | POSTEN · STELLEN · POSTEN | POSTEN | POSTEN | AUSWÄHLEN · ANSATZ | NEHMEN · MASS | NEHMEN · BEREIT · POSTEN | BEREIT · AUSFÜHREN | DURCHLASS · POSTEN | ANSATZ | MASS | NEHMEN · STELLEN · NEHMEN · ANSATZ | TEIL · AUSFÜHREN · STUFE · MERKEN | AUSFÜHREN · SCHLUSS	Vom gezeigten Speicherwurzelstock einen Teil entnehmen, im Gefäß nach Sollmaß ansetzen, den ersten Zug auffangen, durch den Durchlass führen und bis zur Gebrauchsbereitschaft bearbeiten; den Teilgang schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0001|P912-E0002|P912-E0003|P912-E0004|P912-E0005|P912-E0006|P912-E0007|P912-E0008|P912-E0009|P912-E0010|P912-E0011|P912-E0012|P912-E0013|P912-E0014|P912-E0015|P912-E0016|P912-E0017|P912-E0018|P912-E0019|P912-E0020|P912-E0021|P912-E0022|P912-E0023|P912-E0024|P912-E0025|P912-E0026|P912-E0027|P912-E0028|P912-E0029|P912-E0030|P912-E0031|P912-E0032|P912-E0033|P912-E0034|P912-E0035|P912-E0036|P912-E0037|P912-E0038|P912-E0039
P1006-S002	P915-C002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5|f10r.6|f10r.7|f10r.8|f10r.9|f10r.10|f10r.11|f10r.12	8	YES	53	qokchy qotchol chol cthy ycheor cthy chor cthaiin qoctholy dy chy taiin shy dchy qokchol y kchaiin yty daiin cth dain dair am qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin oqotor otor cfhy cthor osain ytoiin otchoshor qoty qotor cthyd otar odaiin daiin qotchy qotor	OK+Y | OT+CH+OL | OL | CTH+Y | Y+CHEO+R | CTH+Y | CH+OR | CTH+AIIN | CARRIER_Q+O+CTH+OL+Y | Y | Y | T+AIIN | Y | D_ADDR+Y | OK+OL | Y | K+CH+AIIN | Y+T+Y | AIIN | CTH | AIN | D_ADDR+AIR | AM_ADDR | OT+CH+OR | CH+OR | OT+OL | OL | OL+OR | OL | AIIN | D_ADDR+AR | O+Y+K+CH+OR | SH+OR | CH+OR | Y | K+A_ADDR+LOCAL_CHAR_I+IIN | Y | CH+O+D_ADDR+AIIN | O+OT+OR | OT+OR | CFH+Y | CTH+OR | O+S+AIN | Y+T+O+IIN | OT+CH+O+SH+OR | OT+Y | OT+OR | CTH+Y+D_ADDR | OT+AR | O+D_ADDR+AIIN | AIIN | OT+Y | OT+OR	SETZEN · POSTEN | DANACH · NEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · POSTEN | POSTEN · AUSZUG · MERKEN | BEREIT · POSTEN | NEHMEN · ANSATZ | BEREIT · MASS | BEGINN · AUSFÜHREN · BEREIT · FORTSETZEN · POSTEN | POSTEN | POSTEN | STELLEN · MASS | POSTEN | TEIL · POSTEN | SETZEN · FORTSETZEN | POSTEN | GEBEN · NEHMEN · MASS | POSTEN · STELLEN · POSTEN | MASS | BEREIT | PORTION | TEIL · LAUF | INNEN | DANACH · NEHMEN · ANSATZ | NEHMEN · ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | MASS | TEIL · QUELLE | AUSFÜHREN · POSTEN · GEBEN · NEHMEN · ANSATZ | HALTEN · ANSATZ | NEHMEN · ANSATZ | POSTEN | GEBEN · ORT · UNTERSTUFE · STUFE | POSTEN | NEHMEN · AUSFÜHREN · TEIL · MASS | AUSFÜHREN · DANACH · ANSATZ | DANACH · ANSATZ | TRENNEN · POSTEN | BEREIT · ANSATZ | AUSFÜHREN · AUSWÄHLEN · PORTION | POSTEN · STELLEN · AUSFÜHREN · STUFE | DANACH · NEHMEN · AUSFÜHREN · HALTEN · ANSATZ | DANACH · POSTEN | DANACH · ANSATZ | BEREIT · POSTEN · TEIL | DANACH · QUELLE | AUSFÜHREN · TEIL · MASS | MASS | DANACH · POSTEN | DANACH · ANSATZ	Danach einen weiteren Wurzel-, Blatt- oder Kopfanteil nehmen, anwärmen, pressen und portionsweise in den Topf geben; den Ansatz nach Sollmaß weiterführen, einen Teil trennen und die Fortsetzung offenlassen.	PAGE_END_OPEN	Der Seitenlauf bleibt ohne ergänzte Schlusskarte offen.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0040|P912-E0041|P912-E0042|P912-E0043|P912-E0044|P912-E0045|P912-E0046|P912-E0047|P912-E0048|P912-E0049|P912-E0050|P912-E0051|P912-E0052|P912-E0053|P912-E0054|P912-E0055|P912-E0056|P912-E0057|P912-E0058|P912-E0059|P912-E0060|P912-E0061|P912-E0062|P912-E0063|P912-E0064|P912-E0065|P912-E0066|P912-E0067|P912-E0068|P912-E0069|P912-E0070|P912-E0071|P912-E0072|P912-E0073|P912-E0074|P912-E0075|P912-E0076|P912-E0077|P912-E0078|P912-E0079|P912-E0080|P912-E0081|P912-E0082|P912-E0083|P912-E0084|P912-E0085|P912-E0086|P912-E0087|P912-E0088|P912-E0089|P912-E0090|P912-E0091|P912-E0092
P1006-S003	P915-C003	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r.1	1	NO	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | CPH+Y | SH+E+Y | T+CH+O+DY	STELLEN · HALTEN · FORTSETZEN | HALTEN · AUSFÜHREN · ZIEL | TRENNEN · POSTEN | HALTEN · POSTEN · MASS | UMLEITEN · POSTEN | HALTEN · KURZ · POSTEN | STELLEN · NEHMEN · AUSFÜHREN · SCHLUSS	Vom Blütenkraut einen Sudansatz bilden, auswringen, die vorgeschriebene Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; den Teilgang schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0093|P912-E0094|P912-E0095|P912-E0096|P912-E0097|P912-E0098|P912-E0099
P1006-S004	P915-C004	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r.1|f11r.2|f11r.3|f11r.4|f11r.5|f11r.6|f11r.7	7	YES	52	shoyty socthody qodor y kshy daiin ytchy ytchoky kchol daiin qoty chol cthy dor ykychy choty dain chaiin daiin dod dchol chy kchy dy daiin tchol shor shor dky y daiin cthy d y chodl daiin odl d s y otol chaiin ykchor dair chody cthy s daiin qotchy okchol cthy dy	SH+O+Y+T+Y | S+O+CTH+O+D_ADDR+Y | CARRIER_Q+O+D_ADDR+OR | Y | K+SH+Y | AIIN | Y+T+Y | Y+T+OK+Y | K+OL | AIIN | OT+Y | OL | CTH+Y | D_ADDR+OR | Y+K+Y+CH+Y | CH+OT+Y | AIN | CH+AIIN | AIIN | D_ADDR+O+D_ADDR | D_ADDR+OL | Y | K+Y | Y | AIIN | T+OL | SH+OR | SH+OR | D_ADDR+K+Y | Y | AIIN | CTH+Y | D_ADDR | Y | CH+O+D_ADDR+L | AIIN | O+D_ADDR+L | D_ADDR | S | Y | OT+OL | CH+AIIN | Y+K+CH+OR | D_ADDR+AIR | CH+O+D_ADDR+Y | CTH+Y | S | AIIN | OT+Y | OK+OL | CTH+Y | Y	HALTEN · AUSFÜHREN · POSTEN · STELLEN · POSTEN | AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN | BEGINN · AUSFÜHREN · TEIL · ANSATZ | POSTEN | GEBEN · HALTEN · POSTEN | MASS | POSTEN · STELLEN · POSTEN | POSTEN · STELLEN · SETZEN · POSTEN | GEBEN · FORTSETZEN | MASS | DANACH · POSTEN | FORTSETZEN | BEREIT · POSTEN | TEIL · ANSATZ | POSTEN · GEBEN · POSTEN · NEHMEN · POSTEN | NEHMEN · DANACH · POSTEN | PORTION | NEHMEN · MASS | MASS | TEIL · AUSFÜHREN · TEIL | TEIL · FORTSETZEN | POSTEN | GEBEN · POSTEN | POSTEN | MASS | STELLEN · FORTSETZEN | HALTEN · ANSATZ | HALTEN · ANSATZ | TEIL · GEBEN · POSTEN | POSTEN | MASS | BEREIT · POSTEN | TEIL | POSTEN | NEHMEN · AUSFÜHREN · TEIL · LEITEN | MASS | AUSFÜHREN · TEIL · LEITEN | TEIL | AUSWÄHLEN | POSTEN | DANACH · FORTSETZEN | NEHMEN · MASS | POSTEN · GEBEN · NEHMEN · ANSATZ | TEIL · LAUF | NEHMEN · AUSFÜHREN · TEIL · POSTEN | BEREIT · POSTEN | AUSWÄHLEN | MASS | DANACH · POSTEN | SETZEN · FORTSETZEN | BEREIT · POSTEN | POSTEN	Einen Blütenanteil als Reserve zurücklegen, vom vorigen Ansatz die Sollmenge nehmen, weitere Teile zugeben und den Folgezug halten; einen Teil als Trank oder Gebrauchsauszug weiterleiten, der Artikelzug bleibt offen.	PAGE_END_OPEN	Der Seitenlauf bleibt ohne ergänzte Schlusskarte offen.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0100|P912-E0101|P912-E0102|P912-E0103|P912-E0104|P912-E0105|P912-E0106|P912-E0107|P912-E0108|P912-E0109|P912-E0110|P912-E0111|P912-E0112|P912-E0113|P912-E0114|P912-E0115|P912-E0116|P912-E0117|P912-E0118|P912-E0119|P912-E0120|P912-E0121|P912-E0122|P912-E0123|P912-E0124|P912-E0125|P912-E0126|P912-E0127|P912-E0128|P912-E0129|P912-E0130|P912-E0131|P912-E0132|P912-E0133|P912-E0134|P912-E0135|P912-E0136|P912-E0137|P912-E0138|P912-E0139|P912-E0140|P912-E0141|P912-E0142|P912-E0143|P912-E0144|P912-E0145|P912-E0146|P912-E0147|P912-E0148|P912-E0149|P912-E0150|P912-E0151
P1006-S005	P915-C005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.1|f13r.2|f13r.3|f13r.4|f13r.5	5	YES	42	torshor opchy shol dy qopchy shol opchor dypchy dchg dchol chol dol shkchy ydal shy ykchy qoty daiin s y s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar qodchy ytchy otchor shorodo shy tshy kchol dpchy qopchy otchol cfholdy	T+OR+SH+OR | O+P+Y | SH+OL | Y | O+P+Y | SH+OL | O+P+CH+OR | D_ADDR+Y+P+Y | D_ADDR+CH+LOCAL_CHAR_G | D_ADDR+OL | OL | D_ADDR+OL | SH+K+Y | Y+AL | Y | Y+K+Y | OT+Y | AIIN | S | Y | S | Y | D_ADDR+CH+OR | SH+AIIN | O+EEE+S | Y+K+OR | CH+OR | Y+T+Y | Y+K+Y | K+Y | D_ADDR+AR | O+D_ADDR+Y | Y+T+Y | OT+CH+OR | SH+OR+O+D_ADDR+O | Y | T+Y | K+OL | D_ADDR+P+Y | O+P+Y | OT+CH+OL | CFH+OL+DY	STELLEN · ANSATZ · HALTEN · ANSATZ | AUSFÜHREN · EINSETZEN · POSTEN | HALTEN · FORTSETZEN | POSTEN | AUSFÜHREN · EINSETZEN · POSTEN | HALTEN · FORTSETZEN | AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ | TEIL · POSTEN · EINSETZEN · POSTEN | TEIL · NEHMEN · EINMAL | TEIL · FORTSETZEN | FORTSETZEN | TEIL · FORTSETZEN | HALTEN · GEBEN · POSTEN | POSTEN · ZIEL | POSTEN | POSTEN · GEBEN · POSTEN | DANACH · POSTEN | MASS | AUSWÄHLEN | POSTEN | AUSWÄHLEN | POSTEN | TEIL · NEHMEN · ANSATZ | HALTEN · MASS | AUSFÜHREN · VOLL · AUSWÄHLEN | POSTEN · GEBEN · ANSATZ | NEHMEN · ANSATZ | POSTEN · STELLEN · POSTEN | POSTEN · GEBEN · POSTEN | GEBEN · POSTEN | TEIL · QUELLE | AUSFÜHREN · TEIL · POSTEN | POSTEN · STELLEN · POSTEN | DANACH · NEHMEN · ANSATZ | HALTEN · ANSATZ · AUSFÜHREN · TEIL · AUSFÜHREN | POSTEN | STELLEN · POSTEN | GEBEN · FORTSETZEN | TEIL · EINSETZEN · POSTEN | AUSFÜHREN · EINSETZEN · POSTEN | DANACH · NEHMEN · FORTSETZEN | TRENNEN · FORTSETZEN · SCHLUSS	Die Wurzelkrone aktivieren, ein Brutknöllchen und den ersten Teil abnehmen, im Ansatz halten, nach Sollmaß zugeben und den Blütenanteil mitführen; auspressen und den Teilgang schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0152|P912-E0153|P912-E0154|P912-E0155|P912-E0156|P912-E0157|P912-E0158|P912-E0159|P912-E0160|P912-E0161|P912-E0162|P912-E0163|P912-E0164|P912-E0165|P912-E0166|P912-E0167|P912-E0168|P912-E0169|P912-E0170|P912-E0171|P912-E0172|P912-E0173|P912-E0174|P912-E0175|P912-E0176|P912-E0177|P912-E0178|P912-E0179|P912-E0180|P912-E0181|P912-E0182|P912-E0183|P912-E0184|P912-E0185|P912-E0186|P912-E0187|P912-E0188|P912-E0189|P912-E0190|P912-E0191|P912-E0192|P912-E0193
P1006-S006	P915-C006	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.6|f13r.7	2	YES	16	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	T+CH+OR | D_ADDR+OR | AIIN | OT+CH+OL | OK+Y | OK+CH+OR | O+IIN | CKH+Y | D_ADDR | D_ADDR+Y | OK+Y | OL | Y | O+Y | D_ADDR | OL+DY	STELLEN · NEHMEN · ANSATZ | TEIL · ANSATZ | MASS | DANACH · NEHMEN · FORTSETZEN | SETZEN · POSTEN | SETZEN · NEHMEN · ANSATZ | AUSFÜHREN · STUFE | DURCHLASS · POSTEN | TEIL | TEIL · POSTEN | SETZEN · POSTEN | FORTSETZEN | POSTEN | AUSFÜHREN · POSTEN | TEIL | FORTSETZEN · SCHLUSS	Vom restlichen Wurzelansatz eine Sollmenge nehmen, den Folgeansatz setzen, durch den Durchlass führen, an der Teilstelle fortsetzen und schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0194|P912-E0195|P912-E0196|P912-E0197|P912-E0198|P912-E0199|P912-E0200|P912-E0201|P912-E0202|P912-E0203|P912-E0204|P912-E0205|P912-E0206|P912-E0207|P912-E0208|P912-E0209
P1006-S007	P915-C007	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.7|f13r.8|f13r.9	3	YES	10	okchor doaiin shochy qokchy torchy k s okchey daiin oldy	OK+CH+OR | D_ADDR+O+AIIN | HO+Y | OK+Y | T+OR+Y | K | S | OK+Y | AIIN | OL+DY	SETZEN · NEHMEN · ANSATZ | TEIL · AUSFÜHREN · MASS | TEILSTOFF · POSTEN | SETZEN · POSTEN | STELLEN · ANSATZ · POSTEN | GEBEN | AUSWÄHLEN | SETZEN · POSTEN | MASS | FORTSETZEN · SCHLUSS	Einen Blattanteil nach Sollmaß in den nächsten Ansatz geben, kurz bearbeiten, prüfen und den zweiten Teilgang schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0210|P912-E0211|P912-E0212|P912-E0213|P912-E0214|P912-E0215|P912-E0216|P912-E0217|P912-E0218|P912-E0219
P1006-S008	P915-C008	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.9	1	NO	6	shey chol doiin ykoly okchal daldy	SH+E+Y | OL | D_ADDR+O+IIN | Y+K+OL+Y | OK+CH+AL | AL+DY	HALTEN · KURZ · POSTEN | FORTSETZEN | TEIL · AUSFÜHREN · STUFE | POSTEN · GEBEN · FORTSETZEN · POSTEN | SETZEN · NEHMEN · ZIEL | ZIEL · SCHLUSS	Den angesetzten Posten kurz halten, auf der nächsten Arbeitsstufe fortführen, zur bezeichneten Stelle geben und dort schließen.	LICENSED_DY_CLOSE	Die gelernte Schlusskarte beendet den Teilgang.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0220|P912-E0221|P912-E0222|P912-E0223|P912-E0224|P912-E0225
P1006-S009	P915-C009	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.10	1	NO	3	sotchy kchy okorory	S+OT+Y | K+Y | OK+OR+OR+Y	AUSWÄHLEN · DANACH · POSTEN | GEBEN · POSTEN | SETZEN · ANSATZ · ANSATZ · POSTEN	Den nächsten Pflanzenteil auswählen, zugeben und mit dem vorhandenen Ansatz vereinigen; die Fortsetzung bleibt offen.	PAGE_END_OPEN	Der Seitenlauf bleibt ohne ergänzte Schlusskarte offen.	HERBAL_NATURAL_REWRITE	PASS1002	P912-E0226|P912-E0227|P912-E0228
P1006-S010	P1005-F17R-S001	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	1	NO	1	fshody	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	Bei der abgebildeten Pflanze: über den Nebenweg halten ausführen. Dann den Teilgang schließen.	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	PASS1005_FLUENT_WORKSHOP	PASS1005	P1003-E0001
