page_order	physical_page	register	page_description_de	total_groups	running_groups	address_or_label_groups	statements	licensed_closes	visible_boundary_or_open_ends	cross_line_statements
1	f10r	HERBAL	Pflanzenartikel mit zwei langen Zubereitungsgängen	92	92	0	2	1	1	2
2	f11r	HERBAL	Pflanzenartikel mit Trennen, Stehenlassen und Nachseihen	59	59	0	2	1	1	1
3	f13r	HERBAL	Pflanzenartikel mit offenem Prozesslauf	77	77	0	5	4	1	3
4	f17r	HERBAL	Pflanzenartikel der grossen Blütenpflanze	80	78	2	8	7	1	4
5	f55v	HERBAL	Pflanzen-/Anwendungsartikel mit fünf Teilgängen	106	106	0	5	4	1	4
6	f56r	HERBAL	Pflanzenartikel mit wiederaufgenommenem Bildbesitzer	105	105	0	3	2	1	2
7	f67r2	CELESTIAL	mehrteiliges Himmels- und Wahlregister	190	126	64	11	3	8	10
8	f68r1	CELESTIAL	Sternstations- und Ringregister	65	31	34	3	2	1	2
9	f69v	CELESTIAL	drei lokale Himmelsräder als reines Adressregister	140	0	140	0	0	0	0
10	f70v	CELESTIAL	Widder- und Fischring als reines Adressregister	218	0	218	0	0	0	0
11	f71v	CELESTIAL	drei weitere Ringnamensräume	100	78	22	5	2	3	0
12	f75r	BIOLOGICAL	Becken-, Figuren- und Stationsartikel	418	408	10	111	110	1	23
13	f77r	BIOLOGICAL	langer Körper-/Beckenstationsartikel	332	321	11	82	81	1	28
14	f81v	BIOLOGICAL	gemeinschaftliche Becken- und Anwendungseinträge	255	253	2	54	53	1	19
15	f82r	BIOLOGICAL	mehrere lokale Figuren-/Beckenstationen	291	278	13	62	60	2	25
16	f83r	BIOLOGICAL	lokale Becken-, Bogen- und Verbindungsszenen	345	341	4	91	89	2	27
17	f88r	PHARMA	Gefäss-/Drogenregister mit sechzehn lokalen Etiketten	150	134	16	5	2	3	3
18	f88v	PHARMA	drei Gefäss- und Zutatenpartien	145	131	14	13	11	2	7
