book_event_ordinal	event_id	physical_page	register	locus	kind	surface	component_recipe	portable_default_de	local_contextual_expansion_de	event_role	statement_id	source_release
848	P912-E0848	f75r	BIOLOGICAL	f75r.47	CURRENT_BASE	sal	S+AL	LOKALE ADRESSE KOPIEREN	Zielklasse wählen; am zweiten Grad eintragen und schließen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
849	P912-E0849	f75r	BIOLOGICAL	f75r.47	CURRENT_BASE	okeedy	OK+EE+DY	LOKALE ADRESSE KOPIEREN	Zielklasse wählen; am zweiten Grad eintragen und schließen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
850	P912-E0850	f75r	BIOLOGICAL	f75r.48	CURRENT_BASE	daly	AL+Y	LOKALE ADRESSE KOPIEREN	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	LOCAL_ADDRESS_OR_LABEL		PASS1002
851	P912-E0851	f75r	BIOLOGICAL	f75r.48	CURRENT_BASE	ychey	Y+Y	LOKALE ADRESSE KOPIEREN	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	LOCAL_ADDRESS_OR_LABEL		PASS1002
852	P912-E0852	f75r	BIOLOGICAL	f75r.49	CURRENT_BASE	sols	OL+S	LOKALE ADRESSE KOPIEREN	Dieselbe Klasse an der unteren Quelladresse fortführen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
853	P912-E0853	f75r	BIOLOGICAL	f75r.49	CURRENT_BASE	dara	D_ADDR+AR+A_ADDR	LOKALE ADRESSE KOPIEREN	Dieselbe Klasse an der unteren Quelladresse fortführen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
854	P912-E0854	f75r	BIOLOGICAL	f75r.50	CURRENT_BASE	ychty	Y+CH+T+Y	LOKALE ADRESSE KOPIEREN	Diesen Platz auswählen, markieren und wieder als laufenden Platz setzen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
855	P912-E0855	f75r	BIOLOGICAL	f75r.51	CURRENT_BASE	saino	S+AIN+O	LOKALE ADRESSE KOPIEREN	Eine Einheit auswählen und ihren örtlichen Gang aufrufen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
856	P912-E0856	f75r	BIOLOGICAL	f75r.52	CURRENT_BASE	saldy	S+AL+DY	LOKALE ADRESSE KOPIEREN	Den gewählten Zielplatz schließen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
857	P912-E0857	f75r	BIOLOGICAL	f75r.53	CURRENT_BASE	dainy	AIN+Y	LOKALE ADRESSE KOPIEREN	Eine Einheit gehört zu diesem Platz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1111	P912-E1111	f81v	BIOLOGICAL	f81v.28	CURRENT_BASE	otain	OT+AIN	LOKALE ADRESSE KOPIEREN	gemeinsames Bad- und Beckenfeld: nächster Platz, Einheit.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1112	P912-E1112	f81v	BIOLOGICAL	f81v.28	CURRENT_BASE	olkal	OL+K+AL	LOKALE ADRESSE KOPIEREN	gemeinsames Bad- und Beckenfeld: gleiche Reihe weiter, Wert zuordnen, Zielplatz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1185	P912-E1185	f82r	BIOLOGICAL	f82r.10	CURRENT_BASE	oroldair	OR+OL+D_ADDR+AIR	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Eintragsklasse, gleiche Reihe weiter, Unterplatz, Ringlauf.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1392	P912-E1392	f82r	BIOLOGICAL	f82r.34	CURRENT_BASE	okor	OK+OR	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Eintragsklasse.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1393	P912-E1393	f82r	BIOLOGICAL	f82r.35	CURRENT_BASE	darol	DA+R+OL	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, gleiche Reihe weiter.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1394	P912-E1394	f82r	BIOLOGICAL	f82r.36	CURRENT_BASE	okal	OK+AL	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1395	P912-E1395	f82r	BIOLOGICAL	f82r.37	CURRENT_BASE	okaldy	OK+AL+DY	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz, Eintrag schließen.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1396	P912-E1396	f82r	BIOLOGICAL	f82r.38	CURRENT_BASE	darary	DA+R+AR+Y	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, Quell- oder Bezugsstelle, dieser Platz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1397	P912-E1397	f82r	BIOLOGICAL	f82r.39	CURRENT_BASE	okairady	OK+AIR+A_ADDR+D_ADDR+Y	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Ringlauf, lokale Adresse, Unterplatz, dieser Platz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1398	P912-E1398	f82r	BIOLOGICAL	f82r.40	CURRENT_BASE	sororl	S+OR+OR+L	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Klasse wählen, Eintragsklasse, Verbindung.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1399	P912-E1399	f82r	BIOLOGICAL	f82r.41	CURRENT_BASE	olkoky	OL+K+OK+Y	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: gleiche Reihe weiter, Wert zuordnen, Platz aktivieren, dieser Platz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1400	P912-E1400	f82r	BIOLOGICAL	f82r.42	CURRENT_BASE	sokoly	S+OK+OL+Y	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Klasse wählen, Platz aktivieren, gleiche Reihe weiter, dieser Platz.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1401	P912-E1401	f82r	BIOLOGICAL	f82r.43	CURRENT_BASE	dolol	D_ADDR+OL+OL	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Unterplatz, gleiche Reihe weiter.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1402	P912-E1402	f82r	BIOLOGICAL	f82r.44	CURRENT_BASE	olaiin	OL+AIIN	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: gleiche Reihe weiter, verzeichneter Sollwert.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1403	P912-E1403	f82r	BIOLOGICAL	f82r.45	CURRENT_BASE	okeear	OK+EE+AR	LOKALE ADRESSE KOPIEREN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, zweiter Grad, Quell- oder Bezugsstelle.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1718	P912-E1718	f83r	BIOLOGICAL	f83r.45	CURRENT_BASE	chtorol	CH+T+OR+OL	LOKALE ADRESSE KOPIEREN	lokale Becken-, Figuren- und Verbindungsstationen: Klassenkennung, Platz einstellen, Eintragsklasse, gleiche Reihe weiter.	LOCAL_ADDRESS_OR_LABEL		PASS1002
1719	P912-E1719	f83r	BIOLOGICAL	f83r.46	CURRENT_BASE	olsaiin	OL+S+AIIN	LOKALE ADRESSE KOPIEREN	lokale Becken-, Figuren- und Verbindungsstationen: gleiche Reihe weiter, Klasse wählen, verzeichneter Sollwert.	LOCAL_ADDRESS_OR_LABEL		PASS1002
