book_event_ordinal	event_id	physical_page	register	locus	kind	surface	component_recipe	portable_default_de	local_contextual_expansion_de	event_role	statement_id	source_release
1	P912-E0001	f10r	HERBAL	f10r.1	CURRENT_BASE	pchocthy	P+CH+O+CTH+Y	EINSETZEN · NEHMEN · AUSFÜHREN · BEREIT · POSTEN	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
2	P912-E0002	f10r	HERBAL	f10r.1	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
3	P912-E0003	f10r	HERBAL	f10r.1	CURRENT_BASE	octhody	O+CTH+O+D_ADDR+Y	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
4	P912-E0004	f10r	HERBAL	f10r.1	CURRENT_BASE	chorchy	CH+OR+CH+Y	NEHMEN · ANSATZ · NEHMEN · POSTEN	ENTNEHMEN · ANSATZ · ENTNEHMEN · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
5	P912-E0005	f10r	HERBAL	f10r.1	CURRENT_BASE	pchodol	P+CH+O+D_ADDR+OL	EINSETZEN · NEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	RUNNING_STATEMENT	P1006-S001	PASS1002
6	P912-E0006	f10r	HERBAL	f10r.1	CURRENT_BASE	chopchal	CH+O+P+CH+AL	NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE	RUNNING_STATEMENT	P1006-S001	PASS1002
7	P912-E0007	f10r	HERBAL	f10r.1	CURRENT_BASE	ypch	Y+P+CH	POSTEN · EINSETZEN · NEHMEN	POSTEN · EINSETZEN · ENTNEHMEN	RUNNING_STATEMENT	P1006-S001	PASS1002
8	P912-E0008	f10r	HERBAL	f10r.1	CURRENT_BASE	kom	K+O+M_LOCAL	GEBEN · AUSFÜHREN · MITTE	ZUGEBEN · AUSFÜHREN · MITTE	RUNNING_STATEMENT	P1006-S001	PASS1002
9	P912-E0009	f10r	HERBAL	f10r.2	CURRENT_BASE	dchey	CH+E+Y	NEHMEN · KURZ · POSTEN	Wurzel	RUNNING_STATEMENT	P1006-S001	PASS1002
10	P912-E0010	f10r	HERBAL	f10r.2	CURRENT_BASE	cthoor	CTH+O+OR	BEREIT · AUSFÜHREN · ANSATZ	BEREIT · AUSFÜHREN · ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
11	P912-E0011	f10r	HERBAL	f10r.2	CURRENT_BASE	char	AR	QUELLE	VORRAT	RUNNING_STATEMENT	P1006-S001	PASS1002
12	P912-E0012	f10r	HERBAL	f10r.2	CURRENT_BASE	chty	CH+T+Y	NEHMEN · STELLEN · POSTEN	ENTNEHMEN · STELLEN · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
13	P912-E0013	f10r	HERBAL	f10r.2	CURRENT_BASE	os	OS	DAZU	Gefäß	RUNNING_STATEMENT	P1006-S001	PASS1002
14	P912-E0014	f10r	HERBAL	f10r.2	CURRENT_BASE	chair	CH+AIR	NEHMEN · LAUF	ENTNEHMEN · FLÜSSIGKEITSLAUF	RUNNING_STATEMENT	P1006-S001	PASS1002
15	P912-E0015	f10r	HERBAL	f10r.2	CURRENT_BASE	otytchol	OT+Y+T+CH+OL	DANACH · POSTEN · STELLEN · NEHMEN · FORTSETZEN	auffangen	RUNNING_STATEMENT	P1006-S001	PASS1002
16	P912-E0016	f10r	HERBAL	f10r.2	CURRENT_BASE	oky	OK+Y	SETZEN · POSTEN	ANSETZEN · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
17	P912-E0017	f10r	HERBAL	f10r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S001	PASS1002
18	P912-E0018	f10r	HERBAL	f10r.2	CURRENT_BASE	etyd	E+T+Y	KURZ · STELLEN · POSTEN	Wurzelrest	RUNNING_STATEMENT	P1006-S001	PASS1002
19	P912-E0019	f10r	HERBAL	f10r.3	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
20	P912-E0020	f10r	HERBAL	f10r.3	CURRENT_BASE	o	O	AUSFÜHREN	AUSFÜHREN	RUNNING_STATEMENT	P1006-S001	PASS1002
21	P912-E0021	f10r	HERBAL	f10r.3	CURRENT_BASE	tchy	T+Y	STELLEN · POSTEN	STELLEN · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
22	P912-E0022	f10r	HERBAL	f10r.3	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S001	PASS1002
23	P912-E0023	f10r	HERBAL	f10r.3	CURRENT_BASE	chocthy	CH+O+CTH+Y	NEHMEN · AUSFÜHREN · BEREIT · POSTEN	ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
24	P912-E0024	f10r	HERBAL	f10r.3	CURRENT_BASE	qotchy	OT+Y	DANACH · POSTEN	DANACH · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
25	P912-E0025	f10r	HERBAL	f10r.3	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	RUNNING_STATEMENT	P1006-S001	PASS1002
26	P912-E0026	f10r	HERBAL	f10r.3	CURRENT_BASE	or	OR	ANSATZ	ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
27	P912-E0027	f10r	HERBAL	f10r.3	CURRENT_BASE	yty	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
28	P912-E0028	f10r	HERBAL	f10r.3	CURRENT_BASE	dy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
29	P912-E0029	f10r	HERBAL	f10r.3	CURRENT_BASE	dy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
30	P912-E0030	f10r	HERBAL	f10r.4	CURRENT_BASE	sor	S+OR	AUSWÄHLEN · ANSATZ	AUSWÄHLEN · ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
31	P912-E0031	f10r	HERBAL	f10r.4	CURRENT_BASE	chaiin	CH+AIIN	NEHMEN · MASS	ENTNEHMEN · MASS	RUNNING_STATEMENT	P1006-S001	PASS1002
