moon_station	visible_entry	selected_working_rule	treatment_stage	prior_safety_gate	station_source	status
1	okeey sar	favorable for a warm bath; especially after sunset	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
2	okeo dy	use a cool washing; then stop	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
3	ochoyk	avoid bloodletting	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
4	ykeey	favorable for anointing	F83_LOCAL_APPLICATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
5	ytory	apply to the upper body	F83_LOCAL_APPLICATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
6	oeesy	rest and give no purge	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
7	ytody	complete a single rinse	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
8	okody	draw off excess fluid	F81_F83_PREPARE_AND_TRANSFER	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
9	otody	avoid a hot bath	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
10	okeal	apply below the waist	F83_LOCAL_APPLICATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
11	okeod	favorable for bathing	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
12	oteeys	repeat the wash once	GENERAL_DOSE_OR_PREPARATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
13	oteol	use the same preparation	GENERAL_DOSE_OR_PREPARATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
14	ykeydy	bathe until gently warm	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
15	okeod	favorable for bathing	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
16	saral	anoint the affected place	F83_LOCAL_APPLICATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
17	saiir	keep the patient at rest	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
18	okolar	use a smaller measure	GENERAL_DOSE_OR_PREPARATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
19	ykeody	rinse and finish	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
20	sarydy	avoid a second application	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
21	otchy	use the dried herb	GENERAL_DOSE_OR_PREPARATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
22	okeey dy	favorable for a warm bath; then stop	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
23	okey d	make the ordinary bath; under the stated limit	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
24	okeod	favorable for bathing	F81_F82_BATH_OR_RINSE	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
25	okodchy	strain the herbal liquor	F81_F83_PREPARE_AND_TRANSFER	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
26	okeody	pour and finish	F81_F83_PREPARE_AND_TRANSFER	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
27	okcheys	apply a warm cloth	F83_LOCAL_APPLICATION	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
28	oar alys	observe the mansion; withhold treatment if weak	WITHHOLD_OR_REST	CHECK_F67_BODY_SECTOR_FIRST	F68_SPATIAL_IDENTIFICATION_THEN_LEARNED_ORDINAL	COMPLETE_SPECULATIVE_CONSULTATION_RULE
