frequency_rank	exact_card_id	surfaces	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	events	page_specific_noun	decision
1	PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	nach dem Sollmass	20	NONE	PORTABLE_CARD_READING
2	PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	weiter	19	NONE	PORTABLE_CARD_READING
3	PROC019	chey|chy|dy|shy|sy|y	Y	POSTEN	den aktuellen Posten	18	NONE	PORTABLE_CARD_READING
4	PROC078	cheedy|shedy|tedy	SHED+DY	STEHENLASSEN · SCHLUSS	stehen lassen und schliessen	12	NONE	PORTABLE_CARD_READING
5	PROC042	chdy|chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen	11	NONE	PORTABLE_CARD_READING
6	PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	an der Zielstelle	10	NONE	PORTABLE_CARD_READING
7	PROC008	choky|oky|qoky	OK+Y	ANSETZEN · POSTEN	den Posten ansetzen	10	NONE	PORTABLE_CARD_READING
8	PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	laenger ansetzen und schliessen	10	NONE	PORTABLE_CARD_READING
9	PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	nach Sollmass ansetzen	9	NONE	PORTABLE_CARD_READING
10	PROC120	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	leiten, umsetzen und schliessen	8	NONE	PORTABLE_CARD_READING
