priority	rule	instruction
1	IDENTITY_FIRST	Recognize the learned exact card before splitting its visible surface.
2	WHOLE_OVERRIDES	OS, RESUME_CARD and TALAM remain memorized whole cards.
3	LEFT_TO_RIGHT	Read registered components in card order; do not reorder them silently.
4	ORDER	OL continues; OT advances; OS adds; RESUME_CARD resumes the prior material.
5	ACTION	Read the stable action component before supplying any pictured object.
6	MATERIAL	AIR water, OR batch and HO ingredient remain distinct material values.
7	ADDRESS	AR source, CKH passage and AL target form the local address chain.
8	QUANTITY	AIN portion, AIIN prescribed measure and IIN stage share a learned setting slot.
9	GRADE	E short, EE long and EEE full modify only their own local slot.
10	REFERENT	Y names the current work item even when its visible surface is dy.
11	CLOSE	Only licensed DY constructions close; visible letters dy alone do not.
12	OWNER_LAST	Add plant, basin or station nouns only after the portable card reading.
