statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	full_working_reading_de	owner_noun_not_used_in_portable_sequence
H1-S001	f10r	H1	2	oky | daiin	den Posten ansetzen | nach dem Sollmass	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	YES
H1-S002	f10r	H1	1	chol	weiter	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	YES
H2-S001	f10r	H2	4	dy | chy | taiin | shy	den aktuellen Posten | den aktuellen Posten | nach dem Sollmass | den aktuellen Posten	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.	YES
H2-S002	f10r	H2	3	chol | chol | daiin	weiter | weiter | nach dem Sollmass	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	YES
H2-S003	f10r	H2	2	chy | dy	den aktuellen Posten | den aktuellen Posten	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	YES
H3-S003	f11r	H3	3	chy | dy | daiin	den aktuellen Posten | den aktuellen Posten | nach dem Sollmass	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	YES
H3-S004	f11r	H3	1	dy	den aktuellen Posten	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	YES
H4-S001	f55v	H4	2	qokaiin | chaiin	nach Sollmass ansetzen | nach dem Sollmass	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	YES
H4-S002	f55v	H4	2	daiin | chedy	nach dem Sollmass | den Posten umsetzen	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	YES
H4-S004	f55v	H4	2	aiin | y	nach dem Sollmass | den aktuellen Posten	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.	YES
H5-S001	f56r	H5	3	daiin | choky | dal	nach dem Sollmass | den Posten ansetzen | an der Zielstelle	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	YES
H5-S002	f56r	H5	1	choky	den Posten ansetzen	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	YES
H5-S006	f56r	H5	1	daiin	nach dem Sollmass	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	YES
B1-S002	f81v	B1	7	okaiin | ol | al | ol | ol | daiin | daiin	nach Sollmass ansetzen | weiter | an der Zielstelle | weiter | weiter | nach dem Sollmass | nach dem Sollmass	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	YES
B1-S003	f81v	B1	1	qol	weiter	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	YES
B1-S004	f81v	B1	3	chedy | ol | shedy	den Posten umsetzen | weiter | stehen lassen und schliessen	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	YES
B1-S008	f81v	B1	4	chey | ol | ol | shedy	den aktuellen Posten | weiter | weiter | stehen lassen und schliessen	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	YES
B1-S011	f81v	B1	1	qoky	den Posten ansetzen	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	YES
B1-S014	f81v	B1	2	chedy | qol	den Posten umsetzen | weiter	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	YES
B1-S016	f81v	B1	2	qol | cheedy	weiter | stehen lassen und schliessen	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	YES
B1-S017	f81v	B1	1	sal	an der Zielstelle	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	YES
B1-S019	f81v	B1	1	tedy	stehen lassen und schliessen	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	YES
B1-S021	f81v	B1	1	chal	an der Zielstelle	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	YES
B2-S003	f82r	B2	2	dy | qokeedy	den aktuellen Posten | laenger ansetzen und schliessen	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	YES
B2-S005	f82r	B2	2	qokaiin | qokaiin	nach Sollmass ansetzen | nach Sollmass ansetzen	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	YES
B2-S006	f82r	B2	1	qoky	den Posten ansetzen	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	YES
B2-S008	f82r	B2	1	shedy	stehen lassen und schliessen	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	YES
B2-S010	f82r	B2	1	qoky	den Posten ansetzen	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	YES
B2-S011	f82r	B2	1	qokeedy	laenger ansetzen und schliessen	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	YES
B2-S012	f82r	B2	2	daiin | chey	nach dem Sollmass | den aktuellen Posten	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	YES
B2-S013	f82r	B2	1	lchedy	leiten, umsetzen und schliessen	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	YES
B2-S015	f82r	B2	1	qokeedy	laenger ansetzen und schliessen	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	YES
B2-S016	f82r	B2	3	cheal | aiin | qokaiin	an der Zielstelle | nach dem Sollmass | nach Sollmass ansetzen	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.	YES
B2-S018	f82r	B2	1	qokeedy	laenger ansetzen und schliessen	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	YES
B2-S021	f82r	B2	1	qokeedy	laenger ansetzen und schliessen	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	YES
B3-S003	f83r	B3	4	chey | daiin | chey | lchedy	den aktuellen Posten | nach dem Sollmass | den aktuellen Posten | leiten, umsetzen und schliessen	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	YES
B3-S004	f83r	B3	1	qokaiin	nach Sollmass ansetzen	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	YES
B3-S007	f83r	B3	3	qokaiin | chedy | qokeedy	nach Sollmass ansetzen | den Posten umsetzen | laenger ansetzen und schliessen	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	YES
B3-S008	f83r	B3	1	lchedy	leiten, umsetzen und schliessen	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	YES
B3-S009	f83r	B3	1	qoky	den Posten ansetzen	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	YES
B3-S011	f83r	B3	2	qoky | chedy	den Posten ansetzen | den Posten umsetzen	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	YES
B3-S012	f83r	B3	1	shedy	stehen lassen und schliessen	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	YES
B3-S013	f83r	B3	1	qokaiin	nach Sollmass ansetzen	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	YES
B3-S015	f83r	B3	1	lchedy	leiten, umsetzen und schliessen	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	YES
B3-S017	f83r	B3	1	qokeedy	laenger ansetzen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	YES
B3-S018	f83r	B3	1	shedy	stehen lassen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.	YES
B3-S020	f83r	B3	2	dal | lchedy	an der Zielstelle | leiten, umsetzen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	YES
