endpoint	representation	exploration_pass	all_at_once_confirmation_pass	passing_domains	max_family_p
FUNCTION_WORD	SOURCE_TOKEN_EQUALITY	1	1	4	0.0038910505836575876
FUNCTION_WORD	DOMAIN_LOCAL_OPAQUE_ID	1	1	4	0.0038910505836575876
FUNCTION_WORD	HOST_IDENTITY	1	1	4	0.0038910505836575876
FUNCTION_WORD	COMPOSITE_JOINT_STATE	1	1	3	0.0038910505836575876
FUNCTION_WORD	COMPLETE_RENDERED_GROUP	1	1	3	0.0038910505836575876
FUNCTION_WORD	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
FUNCTION_WORD	PROSPECTIVE_SELECTED=SOURCE_TOKEN_EQUALITY	NA	1	2	PROSPECTIVE_TWO_DOMAIN
ALTERNATIVE_OR	SOURCE_TOKEN_EQUALITY	1	1	5	0.0038910505836575876
ALTERNATIVE_OR	DOMAIN_LOCAL_OPAQUE_ID	1	1	5	0.0038910505836575876
ALTERNATIVE_OR	HOST_IDENTITY	1	1	5	0.0038910505836575876
ALTERNATIVE_OR	COMPOSITE_JOINT_STATE	0	1	3	0.0038910505836575876
ALTERNATIVE_OR	COMPLETE_RENDERED_GROUP	0	0	1	0.0038910505836575876
ALTERNATIVE_OR	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
ALTERNATIVE_OR	PROSPECTIVE_SELECTED=SOURCE_TOKEN_EQUALITY	NA	1	2	PROSPECTIVE_TWO_DOMAIN
POLARITY_EXCLUSION	SOURCE_TOKEN_EQUALITY	1	1	3	0.0038910505836575876
POLARITY_EXCLUSION	DOMAIN_LOCAL_OPAQUE_ID	1	1	3	0.0038910505836575876
POLARITY_EXCLUSION	HOST_IDENTITY	1	1	3	0.0038910505836575876
POLARITY_EXCLUSION	COMPOSITE_JOINT_STATE	0	0	1	0.0038910505836575876
POLARITY_EXCLUSION	COMPLETE_RENDERED_GROUP	0	0	1	0.0038910505836575876
POLARITY_EXCLUSION	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
POLARITY_EXCLUSION	PROSPECTIVE_SELECTED=SOURCE_TOKEN_EQUALITY	NA	0	1	PROSPECTIVE_TWO_DOMAIN
UNTIL_STATE_GATE	SOURCE_TOKEN_EQUALITY	1	1	4	0.0038910505836575876
UNTIL_STATE_GATE	DOMAIN_LOCAL_OPAQUE_ID	1	1	4	0.0038910505836575876
UNTIL_STATE_GATE	HOST_IDENTITY	1	0	2	0.0038910505836575876
UNTIL_STATE_GATE	COMPOSITE_JOINT_STATE	0	0	1	0.0038910505836575876
UNTIL_STATE_GATE	COMPLETE_RENDERED_GROUP	0	0	1	0.0038910505836575876
UNTIL_STATE_GATE	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
UNTIL_STATE_GATE	PROSPECTIVE_SELECTED=SOURCE_TOKEN_EQUALITY	NA	0	1	PROSPECTIVE_TWO_DOMAIN
COORDINATOR	SOURCE_TOKEN_EQUALITY	1	1	4	0.0038910505836575876
COORDINATOR	DOMAIN_LOCAL_OPAQUE_ID	1	1	4	0.0038910505836575876
COORDINATOR	HOST_IDENTITY	1	1	4	0.0038910505836575876
COORDINATOR	COMPOSITE_JOINT_STATE	1	1	3	0.0038910505836575876
COORDINATOR	COMPLETE_RENDERED_GROUP	1	1	3	0.0038910505836575876
COORDINATOR	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
COORDINATOR	PROSPECTIVE_SELECTED=HOST_IDENTITY	NA	1	2	PROSPECTIVE_TWO_DOMAIN
REF_ANAPHORA	SOURCE_TOKEN_EQUALITY	1	1	4	0.0038910505836575876
REF_ANAPHORA	DOMAIN_LOCAL_OPAQUE_ID	1	1	4	0.0038910505836575876
REF_ANAPHORA	HOST_IDENTITY	1	1	3	0.0038910505836575876
REF_ANAPHORA	COMPOSITE_JOINT_STATE	0	0	2	0.0038910505836575876
REF_ANAPHORA	COMPLETE_RENDERED_GROUP	1	0	2	0.0038910505836575876
REF_ANAPHORA	FIELD_CONSTRUCTION_SPAN	0	0	0	1.0
REF_ANAPHORA	PROSPECTIVE_SELECTED=HOST_IDENTITY	NA	0	1	PROSPECTIVE_TWO_DOMAIN
