frequency_rank	surface	residual_unknown_occurrences	split_status	graphemic_cut_count	reading_combination_count	exact_v99r4_routes	selected_gdt734_candidate	selection_reason
1	qokeody	26	MULTI_SPLIT	3	5	qoke#GLOBAL=bis zur Mittelstufe erhitzen + ody#GLOBAL=fertiggestellter Ansatz || qokeo#GLOBAL=bereite einen heißen Auszug + dy#1=[STRUKTUR: SATZSCHLUSS] || qokeo#GLOBAL=bereite einen heißen Auszug + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER] || qokeod#1=heißen Auszug bereiten und abschließen + y#1=[STRUKTUR: SATZSCHLUSS] || qokeod#1=heißen Auszug bereiten und abschließen + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
2	okeody	21	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
3	okeeey	20	UNIQUE_SPLIT	1	1	o#GLOBAL=Ansatzwasser + keeey#1=stark erhitzt, Endstufe III	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
4	olky	20	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + lky#GLOBAL=Holzdroge, leicht erhitzt || ol#V84_1=Ansatz + ky#GLOBAL=heiß am Anfang des Grades || ol#V84_2=Stoffkopf + ky#GLOBAL=heiß am Anfang des Grades	0	NOT_SELECTED_THIS_TRANCHE
5	oteody	20	UNIQUE_SPLIT	1	1	o#GLOBAL=Ansatzwasser + teody#GLOBAL=kühle den Ansatz ab und schließe	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
6	cheeo	19	UNIQUE_SPLIT	1	1	chee#GLOBAL=vollständig getrocknet + o#GLOBAL=Ansatzwasser	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
7	keody	18	MULTI_SPLIT	2	3	ke#GLOBAL=bis zur mittleren Heizstufe erhitzen + ody#GLOBAL=fertiggestellter Ansatz || keo#1=heiße Zubereitung, Mittelstufe + dy#1=[STRUKTUR: SATZSCHLUSS] || keo#1=heiße Zubereitung, Mittelstufe + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER]	0	NOT_SELECTED_THIS_TRANCHE
8	qokeor	18	MULTI_SPLIT	3	3	qo#GLOBAL=nehmen + keor#GLOBAL=heiße Drogenportion || qoke#GLOBAL=bis zur Mittelstufe erhitzen + or#1=Drogenportion || qokeo#GLOBAL=bereite einen heißen Auszug + r#1=Wurzel / Wurzeldroge (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
9	chdaiin	16	MULTI_SPLIT	2	2	ch#GLOBAL=trockne + daiin#V84_CORE=Wert III || chd#GLOBAL=Trocknung abschließen + aiin#1=Menge III	0	NOT_SELECTED_THIS_TRANCHE
10	okeeo	15	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
