cell_id	page	locus	token_ordinal	surface	v99r6_spoken_cell_de	v99r7_semantic_value_de	v99r7_spoken_cell_de	gdt734_dispatch_class	gdt734_authority_id	gdt734_score_0_100_not_probability	gdt734_confidence_level	gdt734_semantic_scope	gdt734_global_export_scope	gdt734_candidate_decision	gdt734_composition_semantic_credit	practical_unit_layer	practical_unit_id	practical_unit_role	v99r6_practical_render_once_de	v99r7_practical_render_once_de	v99r7_changed_from_v99r6	editorial_override_applied	unknown_v99r6	unknown_v99r7	component_export_credit
G733-C00001	f100r	f100r.1	1	chosaroshol	[chosaroshol:?]	[chosaroshol:?]	[chosaroshol:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[chosaroshol:?]	[chosaroshol:?]	0	0	1	1	0
G733-C00002	f100r	f100r.10	1	dakocth	[dakocth:?]	[dakocth:?]	[dakocth:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[dakocth:?]	[dakocth:?]	0	0	1	1	0
G733-C00003	f100r	f100r.11	1	sofam	[sofam:?]	[sofam:?]	[sofam:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[sofam:?]	[sofam:?]	0	0	1	1	0
G733-C00004	f100r	f100r.12	1	pcheol	getrockneter Pulverstoff	getrockneter Pulverstoff	getrockneter Pulverstoff	UNCHANGED_GDT733	pcheol#GLOBAL	73	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	getrockneter Pulverstoff	getrockneter Pulverstoff	0	0	0	0	0
G733-C00005	f100r	f100r.12	2	sheod	[sheod:?]	vom feuchten Ansatz abmessen	vom feuchten Ansatz abmessen	UNIQUE_SPLIT_EXPLORATORY_WHOLE	sheod#G734	59	W2_PROVISIONAL_WORKING	EXPLORATORY_EXACT_WHOLE_READING	GDT734_EXPLORATORY_EXACT_WHOLE_DEFAULT	PROMOTE_COMPOSITIONAL_WHOLE	1	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[sheod:?]	vom feuchten Ansatz abmessen	1	0	1	0	0
G733-C00006	f100r	f100r.12	3	qocpheeckhy	[qocpheeckhy:?]	[qocpheeckhy:?]	[qocpheeckhy:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[qocpheeckhy:?]	[qocpheeckhy:?]	0	0	1	1	0
G733-C00007	f100r	f100r.12	4	shodol	[shodol:?]	[shodol:?]	[shodol:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[shodol:?]	[shodol:?]	0	0	1	1	0
G733-C00008	f100r	f100r.12	5	da	[da:?]	eine Teilmenge abmessen	eine Teilmenge abmessen	ACTIVE_WHOLE_EXPORT_REPAIR	da#1	31	W1_WEAK_WORKING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[da:?]	eine Teilmenge abmessen	1	0	1	0	0
G733-C00009	f100r	f100r.12	6	oto	[oto:?]	[oto:?]	[oto:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[oto:?]	[oto:?]	0	0	1	1	0
G733-C00010	f100r	f100r.12	7	choos	[choos:?]	[choos:?]	[choos:?]	UNCHANGED_GDT733	GDT671_V48_CACHE_CELL	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[choos:?]	[choos:?]	0	0	1	1	0
