rank	page	locus	section	language	hand	token_count	practical_unit_count	gdt734_changed_cell_count	active_whole_repair_count	unique_split_candidate_count	editorial_override_count	unknown_cells_v99r6	unknown_cells_v99r7	unknown_delta	complete_line_v99r6	complete_line_v99r7	newly_complete_line	gdt734_changed_ordinals	gdt734_dispatch_classes	zl3b_line	v99r7_semantic_token_values_de	v99r7_spoken_token_values_de	v99r7_practical_units_de	v99r6_practical_render_de	v99r7_practical_render_de
1	f85r2	f85r2.1	C	B	2	35	35	4	3	1	2	18	14	-4	0	0	0	7|17|21|29	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkechch os aiin oteedy dar otees opaiin chcphdar	[odeedy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [opaees:?] | Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | kalter, fertiger Ansatz | kalte Drogenfraktion I im Ansatz | [chepaiin:?] | Kaltansatz erneut ansetzen und die erste Fraktion abmessen | [otodaiin:?] | [opaiin:?] | kalt im Zubereitungsrahmen, Grad III | [qopchas:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | heiße Drogenbasis, Stufe III | Anteil I des Ansatzes abmessen | [aloees:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | [qotedaiin:?] | Anteil I des Ansatzes abmessen | [octhody:?] | drei Portionen bis zur Mittelstufe eingeweichter Droge | drei Portionen Drogenstoff | [olfor:?] | Menge/Portion III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [lkechch:?] | Zubereitung | Menge III | kalter Ansatz am Ende des Grades, abgeschlossen | abgemessene Fraktion I | [otees:?] | [opaiin:?] | [chcphdar:?]	[odeedy:?] | bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen | [opaees:?] | Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | kalter, fertiger Ansatz | kalte Drogenfraktion I im Ansatz | [chepaiin:?] | Kaltansatz erneut ansetzen und die erste Fraktion abmessen | [otodaiin:?] | [opaiin:?] | kalt im Zubereitungsrahmen, Grad III | [qopchas:?] | kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen | heiße Drogenbasis, Stufe III | Anteil I abmessen | [aloees:?] | kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen | [qotedaiin:?] | Anteil I abmessen | [octhody:?] | drei Portionen bis zur Mittelstufe eingeweichter Droge | drei Portionen Drogenstoff | [olfor:?] | Menge/Portion III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [lkechch:?] | Zubereitung | Menge III | vollständig abgekühlter Ansatz; abgeschlossen | abgemessene Fraktion I | [otees:?] | [opaiin:?] | [chcphdar:?]	[odeedy:?] | bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen | [opaees:?] | Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | kalter, fertiger Ansatz | kalte Drogenfraktion I im Ansatz | [chepaiin:?] | Kaltansatz erneut ansetzen und die erste Fraktion abmessen | [otodaiin:?] | [opaiin:?] | kalt im Zubereitungsrahmen, Grad III | [qopchas:?] | kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen | heiße Drogenbasis, Stufe III | Anteil I abmessen | [aloees:?] | kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen | [qotedaiin:?] | Anteil I abmessen | [octhody:?] | drei Portionen bis zur Mittelstufe eingeweichter Droge | drei Portionen Drogenstoff | [olfor:?] | Menge/Portion III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [lkechch:?] | Zubereitung | Menge III | vollständig abgekühlter Ansatz; abgeschlossen | abgemessene Fraktion I | [otees:?] | [opaiin:?] | [chcphdar:?]	[odeedy:?]; bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen; [opaees:?]; Drogenfraktion I; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; [otody:?]; kalte Drogenfraktion I im Ansatz; [chepaiin:?]; Kaltansatz erneut ansetzen und die erste Fraktion abmessen; [otodaiin:?]; [opaiin:?]; kalt im Zubereitungsrahmen, Grad III; [qopchas:?]; kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen; heiße Drogenbasis, Stufe III; [odar:?]; [aloees:?]; kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen; [qotedaiin:?]; [odar:?]; [octhody:?]; drei Portionen bis zur Mittelstufe eingeweichter Droge; drei Portionen Drogenstoff; [olfor:?]; Menge/Portion III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [lkechch:?]; [os:?]; Menge III; vollständig abgekühlter Ansatz; abgeschlossen; abgemessene Fraktion I; [otees:?]; [opaiin:?]; [chcphdar:?]	[odeedy:?]; bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen; [opaees:?]; Drogenfraktion I; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; kalter, fertiger Ansatz; kalte Drogenfraktion I im Ansatz; [chepaiin:?]; Kaltansatz erneut ansetzen und die erste Fraktion abmessen; [otodaiin:?]; [opaiin:?]; kalt im Zubereitungsrahmen, Grad III; [qopchas:?]; kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen; heiße Drogenbasis, Stufe III; Anteil I abmessen; [aloees:?]; kalt-trockener Ansatz, Mittelstufe erreicht; abgeschlossen; [qotedaiin:?]; Anteil I abmessen; [octhody:?]; drei Portionen bis zur Mittelstufe eingeweichter Droge; drei Portionen Drogenstoff; [olfor:?]; Menge/Portion III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [lkechch:?]; Zubereitung; Menge III; vollständig abgekühlter Ansatz; abgeschlossen; abgemessene Fraktion I; [otees:?]; [opaiin:?]; [chcphdar:?]
2	f113r	f113r.49	S	B	3	13	13	3	0	3	0	4	1	-3	0	0	0	6|7|8	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lcho r aiin otain al	Saatgut, Typ/Charge II | [cheeey:?] | trocken angesetzte Zubereitung | heiß und trocken am Ende des Grades | heiß am Ende des Grades | holziger Pflanzenteil, stark erhitzt, Endstufe | stark erhitzt, Endstufe | holziger Pflanzenteil, heiß-trocken, Mittelstufe | Trockenansatz aus Drogenholz | Wurzel | Menge III | kalt im Zubereitungsrahmen, Grad II | Rohstoffklasse I	Saatgut, Typ/Charge II | [cheeey:?] | trocken angesetzte Zubereitung | heiß und trocken, Endstufe | vollständig erhitzt | holziger Pflanzenteil, stark erhitzt, Endstufe | stark erhitzt, Endstufe | holziger Pflanzenteil, heiß-trocken, Mittelstufe | Trockenansatz aus Drogenholz | Wurzel | Menge III | kalt im Zubereitungsrahmen, Grad II | Rohstoffklasse I	Saatgut, Typ/Charge II | [cheeey:?] | trocken angesetzte Zubereitung | heiß und trocken, Endstufe | vollständig erhitzt | holziger Pflanzenteil, stark erhitzt, Endstufe | stark erhitzt, Endstufe | holziger Pflanzenteil, heiß-trocken, Mittelstufe | Trockenansatz aus Drogenholz | Wurzel | Menge III | kalt im Zubereitungsrahmen, Grad II | Rohstoffklasse I	Saatgut, Typ/Charge II; [cheeey:?]; trocken angesetzte Zubereitung; heiß und trocken, Endstufe; vollständig erhitzt; [lkeeey:?]; [okeeey:?]; [lkchey:?]; Trockenansatz aus Drogenholz; Wurzel; Menge III; kalt im Zubereitungsrahmen, Grad II; Rohstoffklasse I	Saatgut, Typ/Charge II; [cheeey:?]; trocken angesetzte Zubereitung; heiß und trocken, Endstufe; vollständig erhitzt; holziger Pflanzenteil, stark erhitzt, Endstufe; stark erhitzt, Endstufe; holziger Pflanzenteil, heiß-trocken, Mittelstufe; Trockenansatz aus Drogenholz; Wurzel; Menge III; kalt im Zubereitungsrahmen, Grad II; Rohstoffklasse I
3	f104v	f104v.44	S	B	3	8	8	2	0	2	0	2	0	-2	0	1	1	3|5	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	daiin y cheeo chey okeeey qokeeey okeey okeey	Grad-/Maßwert III | ; hierzu: | vollständig getrocknet | trocken in der Mitte des Grades | stark erhitzt, Endstufe | stark erhitzt, Endstufe III | heißer Ansatz am Ende des Grades | heißer Ansatz am Ende des Grades	Grad-/Maßwert III | ; hierzu: | vollständig getrocknet | bis zur Mittelstufe getrocknet | stark erhitzt, Endstufe | stark erhitzt, Endstufe III | vollständig erhitzter Ansatz | vollständig erhitzter Ansatz	Grad-/Maßwert III | ; hierzu: | vollständig getrocknet | bis zur Mittelstufe getrocknet | stark erhitzt, Endstufe | stark erhitzt, Endstufe III | vollständig erhitzter Ansatz | vollständig erhitzter Ansatz	Grad-/Maßwert III; hierzu: [cheeo:?]; bis zur Mittelstufe getrocknet; [okeeey:?]; stark erhitzt, Endstufe III; vollständig erhitzter Ansatz; vollständig erhitzter Ansatz	Grad-/Maßwert III; hierzu: vollständig getrocknet; bis zur Mittelstufe getrocknet; stark erhitzt, Endstufe; stark erhitzt, Endstufe III; vollständig erhitzter Ansatz; vollständig erhitzter Ansatz
4	f115r	f115r.34	S	B	@	6	6	2	1	1	0	2	0	-2	0	1	1	1|3	UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	cheeo l keeey okeey raiin cheky	vollständig getrocknet | Holzdroge in der gebundenen Anschlussform | stark erhitzt, Endstufe III | heißer Ansatz am Ende des Grades | Wurzel, Typ/Charge III | bis zur mittleren Trockenstufe, dann leicht erhitzen	vollständig getrocknet | Holzdroge in der gebundenen Anschlussform | stark erhitzt, Endstufe III | vollständig erhitzter Ansatz | Wurzel, Typ/Charge III | bis zur mittleren Trockenstufe, dann leicht erhitzen	vollständig getrocknet | Holzdroge in der gebundenen Anschlussform | stark erhitzt, Endstufe III | vollständig erhitzter Ansatz | Wurzel, Typ/Charge III | bis zur mittleren Trockenstufe, dann leicht erhitzen	[cheeo:?]; Holzdroge in der gebundenen Anschlussform; [keeey:?]; vollständig erhitzter Ansatz; Wurzel, Typ/Charge III; bis zur mittleren Trockenstufe, dann leicht erhitzen	vollständig getrocknet; Holzdroge in der gebundenen Anschlussform; stark erhitzt, Endstufe III; vollständig erhitzter Ansatz; Wurzel, Typ/Charge III; bis zur mittleren Trockenstufe, dann leicht erhitzen
5	f116r	f116r.36	S	B	3	12	12	2	1	1	0	2	0	-2	0	1	1	10|11	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733	qokeey rain shey okeey lkain l dain chey sheckhy qy qokl ain	heiß am Ende des Grades | Wurzeldroge in Charge II | feucht in der Mitte des Grades | heißer Ansatz am Ende des Grades | Holzdroge, heiß auf Stufe II | Pfund / Gewichtseinheit | Grad-/Maßwert II | trocken in der Mitte des Grades | feuchtes Arzneikompositum am Gradanfang | hiervon nehmen | holzigen Pflanzenteil erhitzen | Menge-/Klassenwert II	vollständig erhitzt | Wurzeldroge in Charge II | bis zur Mittelstufe angefeuchtet | vollständig erhitzter Ansatz | Holzdroge, heiß auf Stufe II | Pfund / Gewichtseinheit | Grad-/Maßwert II | bis zur Mittelstufe getrocknet | leicht angefeuchtetes Arzneikompositum | hiervon nehmen | holzigen Pflanzenteil erhitzen | Menge-/Klassenwert II	vollständig erhitzt | Wurzeldroge in Charge II | bis zur Mittelstufe angefeuchtet | vollständig erhitzter Ansatz | Holzdroge, heiß auf Stufe II | Pfund / Gewichtseinheit | Grad-/Maßwert II | bis zur Mittelstufe getrocknet | leicht angefeuchtetes Arzneikompositum | hiervon nehmen | holzigen Pflanzenteil erhitzen | Menge-/Klassenwert II	vollständig erhitzt; Wurzeldroge in Charge II; bis zur Mittelstufe angefeuchtet; vollständig erhitzter Ansatz; Holzdroge, heiß auf Stufe II; Pfund / Gewichtseinheit; Grad-/Maßwert II; bis zur Mittelstufe getrocknet; leicht angefeuchtetes Arzneikompositum; [qy:?]; [qokl:?]; Menge-/Klassenwert II	vollständig erhitzt; Wurzeldroge in Charge II; bis zur Mittelstufe angefeuchtet; vollständig erhitzter Ansatz; Holzdroge, heiß auf Stufe II; Pfund / Gewichtseinheit; Grad-/Maßwert II; bis zur Mittelstufe getrocknet; leicht angefeuchtetes Arzneikompositum; hiervon nehmen; holzigen Pflanzenteil erhitzen; Menge-/Klassenwert II
6	f79r	f79r.17	B	B	2	11	11	2	2	0	2	2	0	-2	0	1	1	4|7	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	qokaiin shy lsheey ls air or aror otaiin ches olol ol	heiß, Grad III | feucht am Anfang des Grades | eingeweichtes Drogenholz, Form II | eine Charge Holz | zweite Drogenfraktion | Drogenportion | eine Portion des Drogenanteils I | kalt im Zubereitungsrahmen, Grad III | trockenes Drogenmaterial, Mittelstufe | Holzdrogen-Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III | leicht angefeuchtet | eingeweichtes Drogenholz, Form II | ein Posten Drogenholz | zweite Drogenfraktion | Drogenportion | ein Teil aus Anteil I | kalt im Zubereitungsrahmen, Grad III | trockenes Drogenmaterial, Mittelstufe | Holzdrogen-Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III | leicht angefeuchtet | eingeweichtes Drogenholz, Form II | ein Posten Drogenholz | zweite Drogenfraktion | Drogenportion | ein Teil aus Anteil I | kalt im Zubereitungsrahmen, Grad III | trockenes Drogenmaterial, Mittelstufe | Holzdrogen-Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III; leicht angefeuchtet; eingeweichtes Drogenholz, Form II; [ls:?]; zweite Drogenfraktion; Drogenportion; [aror:?]; kalt im Zubereitungsrahmen, Grad III; trockenes Drogenmaterial, Mittelstufe; Holzdrogen-Grundansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III; leicht angefeuchtet; eingeweichtes Drogenholz, Form II; ein Posten Drogenholz; zweite Drogenfraktion; Drogenportion; ein Teil aus Anteil I; kalt im Zubereitungsrahmen, Grad III; trockenes Drogenmaterial, Mittelstufe; Holzdrogen-Grundansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz
7	f104r	f104r.6	S	B	3	12	12	2	0	2	0	3	1	-2	0	0	0	2|5	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	y cheeody aiin lkar cheeo dain ockhedy qokeedy qotain otchdy otain chedam	Eintrag: | vollständig getrockneter, fertiger Ansatz | Menge III | heiße Holzfraktion I | vollständig getrocknet | Grad-/Maßwert II | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [chedam:?]	Eintrag: | vollständig getrockneter, fertiger Ansatz | Menge III | heiße Holzfraktion I | vollständig getrocknet | Grad-/Maßwert II | Ansatz eines Arzneikompositums, Mittelstufe erreicht; abgeschlossen | vollständig erhitzt; abgeschlossen | kalt im qo-Rahmen, Grad II | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [chedam:?]	Eintrag: | vollständig getrockneter, fertiger Ansatz | Menge III | heiße Holzfraktion I | vollständig getrocknet | Grad-/Maßwert II | Ansatz eines Arzneikompositums, Mittelstufe erreicht; abgeschlossen | vollständig erhitzt; abgeschlossen | kalt im qo-Rahmen, Grad II | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [chedam:?]	Eintrag: [cheeody:?]; Menge III; heiße Holzfraktion I; [cheeo:?]; Grad-/Maßwert II; Ansatz eines Arzneikompositums, Mittelstufe erreicht; abgeschlossen; vollständig erhitzt; abgeschlossen; kalt im qo-Rahmen, Grad II; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; kalt im Zubereitungsrahmen, Grad II; [chedam:?]	Eintrag: vollständig getrockneter, fertiger Ansatz; Menge III; heiße Holzfraktion I; vollständig getrocknet; Grad-/Maßwert II; Ansatz eines Arzneikompositums, Mittelstufe erreicht; abgeschlossen; vollständig erhitzt; abgeschlossen; kalt im qo-Rahmen, Grad II; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; kalt im Zubereitungsrahmen, Grad II; [chedam:?]
8	f105v	f105v.37	S	B	3	12	12	2	2	0	1	3	1	-2	0	0	0	4|9	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	yshey ckhy sheo qoeeo lkaiin chs okol tchdy sheeey okaiin ar aildy	weiche hiervon bis zur mittleren Stufe ein | Arzneikompositum am Gradanfang | Feuchtzubereitung | zweite Feuchtzubereitung | Holzdroge, heiß auf Stufe III | Trockengut, Grundform | heißer Ansatzstoff | kalt und trocken am Anfang des Grades, abgeschlossen | feucht, Endstufe | heiß, Grad III, im Ansatzrahmen | Drogenfraktion I | [aildy:?]	weiche hiervon bis zur mittleren Stufe ein | Arzneikompositum, Anfangsstufe | Feuchtzubereitung | zweiter feuchter Ansatz | Holzdroge, heiß auf Stufe III | Trockengut, Grundform | heißer Ansatzstoff | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | feucht, Endstufe | heiß, Grad III, im Ansatzrahmen | Drogenfraktion I | [aildy:?]	weiche hiervon bis zur mittleren Stufe ein | Arzneikompositum, Anfangsstufe | Feuchtzubereitung | zweiter feuchter Ansatz | Holzdroge, heiß auf Stufe III | Trockengut, Grundform | heißer Ansatzstoff | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | feucht, Endstufe | heiß, Grad III, im Ansatzrahmen | Drogenfraktion I | [aildy:?]	weiche hiervon bis zur mittleren Stufe ein; Arzneikompositum, Anfangsstufe; Feuchtzubereitung; [qoeeo:?]; Holzdroge, heiß auf Stufe III; Trockengut, Grundform; heißer Ansatzstoff; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; [sheeey:?]; heiß, Grad III, im Ansatzrahmen; Drogenfraktion I; [aildy:?]	weiche hiervon bis zur mittleren Stufe ein; Arzneikompositum, Anfangsstufe; Feuchtzubereitung; zweiter feuchter Ansatz; Holzdroge, heiß auf Stufe III; Trockengut, Grundform; heißer Ansatzstoff; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; feucht, Endstufe; heiß, Grad III, im Ansatzrahmen; Drogenfraktion I; [aildy:?]
9	f112r	f112r.5	S	B	3	10	10	2	0	2	0	3	1	-2	0	0	0	4|6	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	otair o kody otody otal okeeey otar am oain oy	zweite kalte Drogenfraktion im Ansatz | Ansatz mit kody | [kody:?] | kalter, fertiger Ansatz | Rohstoffklasse I im Ansatz, kalt am Gradanfang | stark erhitzt, Endstufe | kalte Drogenfraktion I im Ansatz | Maßeinheit I | zwei Teile Ansatz | Ansatz in Grundform	zweite kalte Drogenfraktion im Ansatz | Ansatz mit kody | [kody:?] | kalter, fertiger Ansatz | Rohstoffklasse I im leicht abgekühlten Ansatz | stark erhitzt, Endstufe | kalte Drogenfraktion I im Ansatz | Maßeinheit I | zwei Teile Ansatz | Ansatz in Grundform	zweite kalte Drogenfraktion im Ansatz | Ansatz mit kody | [kody:?] | kalter, fertiger Ansatz | Rohstoffklasse I im leicht abgekühlten Ansatz | stark erhitzt, Endstufe | kalte Drogenfraktion I im Ansatz | Maßeinheit I | zwei Teile Ansatz | Ansatz in Grundform	zweite kalte Drogenfraktion im Ansatz; Ansatz mit kody; [kody:?]; [otody:?]; Rohstoffklasse I im leicht abgekühlten Ansatz; [okeeey:?]; kalte Drogenfraktion I im Ansatz; Maßeinheit I; zwei Teile Ansatz; Ansatz in Grundform	zweite kalte Drogenfraktion im Ansatz; Ansatz mit kody; [kody:?]; kalter, fertiger Ansatz; Rohstoffklasse I im leicht abgekühlten Ansatz; stark erhitzt, Endstufe; kalte Drogenfraktion I im Ansatz; Maßeinheit I; zwei Teile Ansatz; Ansatz in Grundform
10	f113v	f113v.27	S	B	3	5	5	2	0	2	0	3	1	-2	0	0	0	2|4	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733	y cheeo l cheeo alkeedy	Eintrag: | vollständig getrocknet | Pfund / Gewichtseinheit | vollständig getrocknet | [alkeedy:?]	Eintrag: | vollständig getrocknet | Pfund / Gewichtseinheit | vollständig getrocknet | [alkeedy:?]	Eintrag: | vollständig getrocknet | Pfund / Gewichtseinheit | vollständig getrocknet | [alkeedy:?]	Eintrag: [cheeo:?]; Pfund / Gewichtseinheit; [cheeo:?]; [alkeedy:?]	Eintrag: vollständig getrocknet; Pfund / Gewichtseinheit; vollständig getrocknet; [alkeedy:?]
