matrix_id	surface	head	tail	head_role_de	tail_role_de	working_default_de	decision	working_confidence	positive_evidence_de	counterevidence_de	expected_cache_occurrences	actual_cache_occurrences	page_count	locus_count	current_dictionary_readings	portable_tail_role_adopted	free_head_or_tail_lexeme_exported	historical_relation_credit
G734-M01	cthol	cth	ol	Pflanzendroge	Stoff/Material	Pflanzendrogenstoff	PROMOTE_ROLE_TEMPLATE	W3	Breite Wiederholung und parallele pol/sol-Stoffformen.	Historische Architektur bestätigt keine Voynich-Zeichenwerte.	51	51	34	50	cthol#GLOBAL=Pflanzendrogenstoff	1	0	0
G734-M02	cthor	cth	or	Pflanzendroge	Portion	Pflanzendrogenportion	PROMOTE_ROLE_TEMPLATE	W3	Sauberes cth/por/sor-Portionsraster.	Portion ist ein Rollenwert, keine entschlüsselte Einheit.	43	43	33	43	cthor#GLOBAL=eine Portion Pflanzendroge	1	0	0
G734-M03	cthaiin	cth	aiin	Pflanzendroge	Index III	Pflanzengut, Index III	PROMOTE_ROLE_TEMPLATE	W2	Produktive II/III-Reihe über mehreren Stoffköpfen.	Index entscheidet nicht zwischen Menge, Form, Charge oder Grad.	11	11	10	11	cthaiin#GLOBAL=Blattgut, Wertstufe III	1	0	0
G734-M04	cthain	cth	ain	Pflanzendroge	Index II	Pflanzengut, Index II	PROMOTE_ROLE_TEMPLATE	W2	Parallele cthaiin- und andere II/III-Reihen.	Nur vier Cache-Vorkommen; genaue Einheit unbekannt.	4	4	3	3	cthain#GLOBAL=Blattgut, Wertstufe II	1	0	0
G734-M05	cthar	cth	ar	Pflanzendroge	Anteil I	Pflanzenanteil I	PROMOTE_ROLE_TEMPLATE	W3	Sauberes AR-Raster über vier Köpfen.	Anteil gegen Fraktion bleibt offen.	14	14	12	13	cthar#GLOBAL=Pflanzenanteil I	1	0	0
G734-M06	cthdy	cth	dy	Pflanzendroge	Abschluss/Resultat	fertige Pflanzendroge	HOLD_DY_ROLE	W2	Sieben wiederholte Ganzformen stützen einen nominalen Fertigzustand.	Keine p/s/olk-dy-Kreuzbelegung; dy ist strukturell polysem.	7	7	7	7	cthdy#GLOBAL=Krautdroge fertig aufbereiten	0	0	0
G734-M07	pol	p	ol	Pulver	Stoff/Material	Pulverstoff	PROMOTE_ROLE_TEMPLATE	W1	pol/sol/cthol-Stoffraster und wiederholte Pulverfamilie.	p ist nur in gebundenen oder tokeninitialen Familien lizenziert.	16	16	12	16	pol#1=Pulverstoff	1	0	0
G734-M08	por	p	or	Pulver	Portion	Pulverportion	PROMOTE_ROLE_TEMPLATE	W2	Paralleles cthor/sor-Portionsraster.	Pulver bleibt eine Arbeitsfamilie, keine identifizierte Substanz.	7	7	6	7	por#GLOBAL=Pulverportion	1	0	0
G734-M09	paiin	p	aiin	Pulver	Index III	Pulver, Index III	PROMOTE_ROLE_TEMPLATE	W2	Parallele III-Reihe über cth/p/s/olk.	Charge, Menge, Form und Grad bleiben offen.	7	7	7	7	paiin#GLOBAL=Pulver, Charge III	1	0	0
G734-M10	par	p	ar	Pulver	Anteil I	Pulveranteil I	PROMOTE_ROLE_TEMPLATE	W2	Vierköpfiges AR-Raster.	Anteil gegen Fraktion bleibt offen.	6	6	6	6	par#GLOBAL=Pulverfraktion I	1	0	0
G734-M11	sol	s	ol	Samen	Stoff/Material	Samenmaterial	PROMOTE_ROLE_TEMPLATE	W3	Breite Wiederholung und cthol/pol-Parallele.	s kann gelernter Ganzfamilienkopf statt freies Morphem sein.	57	57	37	57	sol#GLOBAL=Samenmaterial	1	0	0
G734-M12	sor	s	or	Samen	Portion	Samenportion	PROMOTE_ROLE_TEMPLATE	W3	Starke Wiederholung und cthor/por-Parallele.	Der freie s-Export ist dadurch nicht bewiesen.	43	43	37	43	sor#GLOBAL=Samenportion	1	0	0
G734-M13	saiin	s	aiin	Samen	Index III	Samen, Index III	PROMOTE_ROLE_TEMPLATE	W3	Breite Wiederholung und klare II/III-Formreihe.	Die Sachbindung des Indexes bleibt offen.	109	109	64	108	saiin#GLOBAL=Samencharge III	1	0	0
G734-M14	sain	s	ain	Samen	Index II	Samen, Index II	PROMOTE_ROLE_TEMPLATE	W2	Systematische saiin-Schwester und breite morphologische Oberflächenwiederholung im Cache.	Nur eine aktive semantische Entscheidung trägt den Sinn; die übrige Wiederholung bestätigt keine Einheit.	60	60	33	60	sain#1=Samen, Charge II	1	0	0
G734-M15	sar	s	ar	Samen	Anteil I	Samenanteil I	PROMOTE_ROLE_TEMPLATE	W2	AR-Raster und breite morphologische Oberflächenwiederholung im Cache.	Nur eine aktive semantische Entscheidung trägt den Sinn; Anteil gegen Fraktion und freies s bleiben offen.	62	62	44	62	sar#1=Samenanteil I	1	0	0
G734-M16	olkol	olk	ol	heißer Holz-/Stoffrahmen	Stoff/Material	heißer Drogenauszug	HOLD_OLK_SEGMENTATION	W2	Drei wiederholte Ganzformen.	Die Auszugslesung widerspricht einem einfachen ol-Materialtail; O/L/K/OL bleibt möglich.	3	3	2	3	olkol#GLOBAL=heißer Drogenauszug	0	0	0
G734-M17	olkaiin	olk	aiin	heißer Holz-/Stoffrahmen	Index III	heißer Stoffrahmen, Index III	HOLD_OLK_HEAD	W1	III-Rolle passt zur Kreuzmatrix und die Form wiederholt sich breit.	Holz, Stoffbasis und Grad gegen Menge bleiben offen.	28	28	24	28	olkaiin#1=heiß; Wert III	0	0	0
G734-M18	olkain	olk	ain	heißer Holz-/Stoffrahmen	Index II	heißes Drogenmaterial, Index II	PROMOTE_TAIL_ONLY	W3	Dreiunddreißig Cache-Vorkommen stützen die II-Reihe.	OLK ist kein freier sicherer Holzstamm; nur die Indexrolle ist portabel.	33	33	15	32	olkain#GLOBAL=heißes Drogenmaterial, Grad II	1	0	0
G734-M19	olkar	olk	ar	heißer Holz-/Stoffrahmen	Anteil I	heißer Holzanteil I	HOLD_BOUND_WHOLE	W2	Alle aktiven Rivalen teilen Hitze, Holz und Anteil I.	Ansatz gegen Auszug und die gebundene Spanlizenz verhindern freien Export.	17	17	12	17	olkar#V84_1=heißer Holzanteil I	0	0	0
