metric	v99r6_before	v99r7_after	delta_after_minus_before	interpretation
cache_cells	32339	32339	0	all admitted cache positions retained
practical_units	32319	32319	0	existing spans and punctuation precedence retained
unknown_cells	7989	7458	-531	71 existing wholes plus 20 unique-split wholes receive defaults
unknown_surfaces	5107	5016	-91	exact surface types removed from the unknown tail
active_whole_export_omission_cells	305	0	-305	all formally licensed active-whole omissions repaired
active_whole_export_omission_surfaces	71	0	-71	all eligible omitted surfaces repaired; dchey and olkar remain scoped
new_unique_split_candidate_cells	0	226	226	twenty recurrent exact-whole candidate defaults
new_unique_split_candidate_surfaces	0	20	20	no multi-split candidate promoted
compositionally_supported_candidate_surfaces	0	9	9	unique split plus compatible roles support the whole meaning
role_constrained_candidate_surfaces	0	5	5	nominal or patient-free revision after manual audit
learned_whole_no_composition_credit_surfaces	0	6	6	recurrence keeps a default while the visible split is semantically redundant or unsafe
changed_cache_cells	0	531	531	all changes are recorded in the position delta
changed_lines	0	472	472	lines gaining at least one concrete value
complete_lines	1413	1428	15	lines without an audible unknown cell
editorially_audited_active_wholes	0	28	28	manual practical-language audit of the weakest export repairs
editorially_revised_active_wholes	0	26	26	renderer-only simplifications retain dictionary evidence and score
generic_nonsense_lines	0	0	0	forbidden work-item filler remains absent
audible_grade_frame_cells	0	0	0	GDT733 spoken-grade cleanup retained
