surface	reading_id	total_cache_occurrences	omitted_unknown_occurrences_receiving_portable_renderer	higher_precedence_occurrences_retained	retained_v99r6_realizations_de	portable_v99r7_repair_renderer_de	renderer_decision	scope_decision	local_variants_explicitly_marked	silent_second_global_default
ytedy	ytedy#1	24	23	1	hiervon bis zur Mittelstufe abkühlen und abschließen	bis zur Mittelstufe abkühlen und abschließen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
odar	odar#1	21	19	2	Anteil I des Ansatzes abmessen	Anteil I abmessen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
oram	oram#1	8	7	1	eine Maßportion	ein Maß	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
os	os#1	23	22	1	eine Zubereitung	Zubereitung	HOLD_UNCHANGED	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
ckhol	ckhol#V84_1	17	16	1	Mischgut	Mischung	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qockhol	qockhol#V84_1	6	5	1	Mischgut zugeben	Mischung zugeben	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qeeey	qeeey#1	3	2	1	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	bis zur Endstufe weiterführen und abschließen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
ls	ls#1	12	11	1	eine Charge Holz	ein Posten Drogenholz	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
aror	aror#1	6	5	1	eine Portion des Drogenanteils I	ein Teil aus Anteil I	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qopaiin	qopaiin#1	7	6	1	drei Teile der Pulverzubereitung nehmen	drei Teile Pulver	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
chepy	chepy#1	6	4	2	Trockenpulver in Grundform	trockenes Pulver, Grundform	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
ykcho	ykcho#1	4	3	1	hieraus eine warme Trockenmischung bereiten	erwärmte Trockenmischung	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
chokol	chokol#V84_1	3	2	1	heißes Trockengut	erhitzte trockene Zubereitung	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qocho	qocho#1	2	1	1	getrocknete Droge nehmen	getrocknete Zubereitung	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
