page	locus	section	language	hand	token_count	practical_unit_count	gdt734_changed_cell_count	active_whole_repair_count	unique_split_candidate_count	editorial_override_count	unknown_cells_v99r6	unknown_cells_v99r7	unknown_delta	complete_line_v99r6	complete_line_v99r7	newly_complete_line	gdt734_changed_ordinals	gdt734_dispatch_classes	zl3b_line	v99r7_semantic_token_values_de	v99r7_spoken_token_values_de	v99r7_practical_units_de	v99r6_practical_render_de	v99r7_practical_render_de
f100r	f100r.1	P	A	1	1	1	0	0	0	0	1	1	0	0	0	0	NONE	UNCHANGED_GDT733	chosaroshol	[chosaroshol:?]	[chosaroshol:?]	[chosaroshol:?]	[chosaroshol:?]	[chosaroshol:?]
f100r	f100r.10	P	A	1	1	1	0	0	0	0	1	1	0	0	0	0	NONE	UNCHANGED_GDT733	dakocth	[dakocth:?]	[dakocth:?]	[dakocth:?]	[dakocth:?]	[dakocth:?]
f100r	f100r.11	P	A	1	1	1	0	0	0	0	1	1	0	0	0	0	NONE	UNCHANGED_GDT733	sofam	[sofam:?]	[sofam:?]	[sofam:?]	[sofam:?]	[sofam:?]
f100r	f100r.12	P	A	1	10	10	2	1	1	0	6	4	-2	0	0	0	2|5	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	getrockneter Pulverstoff | vom feuchten Ansatz abmessen | [qocpheeckhy:?] | [shodol:?] | eine Teilmenge abmessen | [oto:?] | [choos:?] | feucht am Ende des Grades | Trockenansatz | Samen-/Saatgutposten	getrockneter Pulverstoff | vom feuchten Ansatz abmessen | [qocpheeckhy:?] | [shodol:?] | eine Teilmenge abmessen | [oto:?] | [choos:?] | vollständig angefeuchtet | Trockenansatz | Samen-/Saatgutposten	getrockneter Pulverstoff | vom feuchten Ansatz abmessen | [qocpheeckhy:?] | [shodol:?] | eine Teilmenge abmessen | [oto:?] | [choos:?] | vollständig angefeuchtet | Trockenansatz | Samen-/Saatgutposten	getrockneter Pulverstoff; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; vollständig angefeuchtet; Trockenansatz; Samen-/Saatgutposten	getrockneter Pulverstoff; vom feuchten Ansatz abmessen; [qocpheeckhy:?]; [shodol:?]; eine Teilmenge abmessen; [oto:?]; [choos:?]; vollständig angefeuchtet; Trockenansatz; Samen-/Saatgutposten
f100r	f100r.13	P	A	1	8	8	0	0	0	0	4	4	0	0	0	0	NONE	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	[dsheor:?] | Pflanzendroge, Form I | heiß am Ende des Grades | kalter Ansatz am Ende des Grades | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	[dsheor:?] | Pflanzendroge, Form I | vollständig erhitzt | vollständig abgekühlter Ansatz | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	[dsheor:?] | Pflanzendroge, Form I | vollständig erhitzt | vollständig abgekühlter Ansatz | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	[dsheor:?]; Pflanzendroge, Form I; vollständig erhitzt; vollständig abgekühlter Ansatz; [ykeeodain:?]; [rorarydaiin:?]; Grad-/Maßwert III; [deeomchol:?]	[dsheor:?]; Pflanzendroge, Form I; vollständig erhitzt; vollständig abgekühlter Ansatz; [ykeeodain:?]; [rorarydaiin:?]; Grad-/Maßwert III; [deeomchol:?]
f100r	f100r.14	P	A	1	10	10	1	0	1	0	5	4	-1	0	0	0	2	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | heiß-trocken, Endstufe | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | heiß-trocken, Endstufe | vollständig abgekühlt | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im leicht abgekühlten Ansatz | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | heiß-trocken, Endstufe | vollständig abgekühlt | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im leicht abgekühlten Ansatz | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil; [chkeey:?]; vollständig abgekühlt; [qokeody:?]; [qoteold:?]; erhitze den Drogenstoff bis zur Mittelstufe; [so:?]; Wurzel, Typ/Charge III; Rohstoffklasse I im leicht abgekühlten Ansatz; [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil; heiß-trocken, Endstufe; vollständig abgekühlt; [qokeody:?]; [qoteold:?]; erhitze den Drogenstoff bis zur Mittelstufe; [so:?]; Wurzel, Typ/Charge III; Rohstoffklasse I im leicht abgekühlten Ansatz; [ykeeeo:?]
f100r	f100r.15	P	A	1	7	7	0	0	0	0	3	3	0	0	0	0	NONE	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	dcheor shol qokeeol chor chol qokeeody dareu	[dcheor:?] | feucht; nominal feuchtes Gut/Material | [qokeeol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | vollständig ausgekochter Ansatz | [dareu:?]	[dcheor:?] | feucht; nominal feuchtes Gut/Material | [qokeeol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | vollständig ausgekochter Ansatz | [dareu:?]	[dcheor:?] | feucht; nominal feuchtes Gut/Material | [qokeeol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | vollständig ausgekochter Ansatz | [dareu:?]	[dcheor:?]; feucht; nominal feuchtes Gut/Material; [qokeeol:?]; Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; vollständig ausgekochter Ansatz; [dareu:?]	[dcheor:?]; feucht; nominal feuchtes Gut/Material; [qokeeol:?]; Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; vollständig ausgekochter Ansatz; [dareu:?]
f100r	f100r.16	P	A	1	1	1	0	0	0	0	1	1	0	0	0	0	NONE	UNCHANGED_GDT733	okeeos	[okeeos:?]	[okeeos:?]	[okeeos:?]	[okeeos:?]	[okeeos:?]
f100r	f100r.17	P	A	1	1	1	0	0	0	0	0	0	0	1	1	0	NONE	UNCHANGED_GDT733	shockhey	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	Arzneikompositum im Feuchtansatz, Mittelstufe	Arzneikompositum im Feuchtansatz, Mittelstufe	Arzneikompositum im Feuchtansatz, Mittelstufe
f100r	f100r.18	P	A	1	1	1	0	0	0	0	0	0	0	1	1	0	NONE	UNCHANGED_GDT733	orol	Drogenstoffportion	Drogenstoffportion	Drogenstoffportion	Drogenstoffportion	Drogenstoffportion
