page	locus	visible_owner	namespace_id	group_count	visible_sequence	coverage_sequence	continuous_default_reading_de	reading_mode
f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	3	ykshy | s | aram	PORTABLE_COMPOSITION | LOCAL_COPY_LABEL | LOCAL_COPY_LABEL	Position oder Bedingung halten; lokaler Namensrest yk/y.; Lokalschluessel s fuer A1_RIGHT_SECTOR_SLOT_01; Lokalschluessel aram fuer A1_RIGHT_SECTOR_SLOT_01	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	3	ykecho | ols | eesydy	LOCAL_COPY_LABEL | LOCAL_COPY_LABEL | LEARNED_WHOLE_SIGN	Lokalschluessel ykecho fuer A1_RIGHT_SECTOR_SLOT_02; Lokalschluessel ols fuer A1_RIGHT_SECTOR_SLOT_02; Ganzzeichen eesydy: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	3	ey | shs | okar	PORTABLE_COMPOSITION | LOCAL_COPY_LABEL | PORTABLE_COMPOSITION	aktueller Auswahlwert.; Lokalschluessel shs fuer A1_RIGHT_SECTOR_SLOT_03; Quelladresse des OK-Postens	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	2	shekchy | sykos	PORTABLE_COMPOSITION | LOCAL_COPY_LABEL	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.; Lokalschluessel sykos fuer A1_RIGHT_SECTOR_SLOT_04	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	2	ykeody | okchy	LEARNED_WHOLE_SIGN | PORTABLE_COMPOSITION	Ganzzeichen ykeody: Klassenplatz fest eingetragen.; POSTEN_SETZEN	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	1	dchetay	LEARNED_WHOLE_SIGN	Ganzzeichen dchetay: fester Hauptphasenwert.	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	3	ykchy | kchey | ykchys	PORTABLE_COMPOSITION | PORTABLE_COMPOSITION | LOCAL_COPY_LABEL	Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.; PLATZ_KURZ_BEARBEITEN; Lokalschluessel ykchys fuer A1_RIGHT_SECTOR_SLOT_07	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	1	chkchdar	PORTABLE_COMPOSITION	Quelladresse des CHKCHD-Postens	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	2	ykar | ykaly	PORTABLE_COMPOSITION | PORTABLE_COMPOSITION	Quelladresse des YK-Postens; Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	3	lkshy | kchy | okar	PORTABLE_COMPOSITION | PORTABLE_COMPOSITION | PORTABLE_COMPOSITION	Position oder Bedingung halten; lokaler Namensrest lk/y.; PLATZ_BEARBEITEN; Quelladresse des OK-Postens	LOCAL_LOOKUP_IN_SOURCE_COPY_ORDER
