group_serial	page	locus	visible_owner	namespace_id	visible_surface	coverage_class	component_or_copy_reading_de	source_order_only	orientation_claim	start_claim	cross_page_key
1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	ykshy	PORTABLE_COMPOSITION	Position oder Bedingung halten; lokaler Namensrest yk/y.	YES	NONE	NONE	NONE
2	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	s	LOCAL_COPY_LABEL	Lokalschluessel s fuer A1_RIGHT_SECTOR_SLOT_01	YES	NONE	NONE	NONE
3	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	aram	LOCAL_COPY_LABEL	Lokalschluessel aram fuer A1_RIGHT_SECTOR_SLOT_01	YES	NONE	NONE	NONE
4	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ykecho	LOCAL_COPY_LABEL	Lokalschluessel ykecho fuer A1_RIGHT_SECTOR_SLOT_02	YES	NONE	NONE	NONE
5	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ols	LOCAL_COPY_LABEL	Lokalschluessel ols fuer A1_RIGHT_SECTOR_SLOT_02	YES	NONE	NONE	NONE
6	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	eesydy	LEARNED_WHOLE_SIGN	Ganzzeichen eesydy: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	YES	NONE	NONE	NONE
7	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	ey	PORTABLE_COMPOSITION	aktueller Auswahlwert.	YES	NONE	NONE	NONE
8	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	shs	LOCAL_COPY_LABEL	Lokalschluessel shs fuer A1_RIGHT_SECTOR_SLOT_03	YES	NONE	NONE	NONE
9	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	okar	PORTABLE_COMPOSITION	Quelladresse des OK-Postens	YES	NONE	NONE	NONE
10	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	shekchy	PORTABLE_COMPOSITION	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	YES	NONE	NONE	NONE
11	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	sykos	LOCAL_COPY_LABEL	Lokalschluessel sykos fuer A1_RIGHT_SECTOR_SLOT_04	YES	NONE	NONE	NONE
12	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	ykeody	LEARNED_WHOLE_SIGN	Ganzzeichen ykeody: Klassenplatz fest eingetragen.	YES	NONE	NONE	NONE
13	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	okchy	PORTABLE_COMPOSITION	POSTEN_SETZEN	YES	NONE	NONE	NONE
14	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	dchetay	LEARNED_WHOLE_SIGN	Ganzzeichen dchetay: fester Hauptphasenwert.	YES	NONE	NONE	NONE
15	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	ykchy	PORTABLE_COMPOSITION	Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	YES	NONE	NONE	NONE
16	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	kchey	PORTABLE_COMPOSITION	PLATZ_KURZ_BEARBEITEN	YES	NONE	NONE	NONE
17	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	ykchys	LOCAL_COPY_LABEL	Lokalschluessel ykchys fuer A1_RIGHT_SECTOR_SLOT_07	YES	NONE	NONE	NONE
18	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	chkchdar	PORTABLE_COMPOSITION	Quelladresse des CHKCHD-Postens	YES	NONE	NONE	NONE
19	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykar	PORTABLE_COMPOSITION	Quelladresse des YK-Postens	YES	NONE	NONE	NONE
20	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykaly	PORTABLE_COMPOSITION	Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	YES	NONE	NONE	NONE
21	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	lkshy	PORTABLE_COMPOSITION	Position oder Bedingung halten; lokaler Namensrest lk/y.	YES	NONE	NONE	NONE
22	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	kchy	PORTABLE_COMPOSITION	PLATZ_BEARBEITEN	YES	NONE	NONE	NONE
23	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	okar	PORTABLE_COMPOSITION	Quelladresse des OK-Postens	YES	NONE	NONE	NONE
24	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chky	LEARNED_WHOLE_SIGN	Ganzzeichen chky: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	YES	NONE	NONE	NONE
