world	identity	record	producer	consumer	consumer_relation	product_id	product_word	producer_complete	consumer_complete	consumer_issues
M	FRESH	F83_P1	f83r.4:2	f83r.4:9	BECOMES	F83_P1:f83r.4:7	shedy	1	1	UNREAD_INTERVENERS
M	FRESH	F83_P3	f83r.22:5	f83r.23:9	BECOMES	F83_P3:f83r.23:4	shedy	1	1	UNREAD_INTERVENERS
M	FRESH	F83_P4	f83r.25:5	f83r.27:2	BECOMES	F83_P4:f83r.26:5	shedy	0	0	MISSING_RIGHT
M	FRESH	F83_P4	f83r.25:5	f83r.27:3	FROM	F83_P4:f83r.26:5	shedy	0	1	UNREAD_INTERVENERS
M	FRESH	F83_P4	f83r.25:5	f83r.30:3	FROM	F83_P4:f83r.26:5	shedy	0	0	MISSING_RIGHT
M	REUSE	F83_P1	f83r.4:2	f83r.4:9	BECOMES	F83_P1:shedy	shedy	1	1	UNREAD_INTERVENERS;SELF_BECOMES
M	REUSE	F83_P3	f83r.22:5	f83r.23:9	BECOMES	F83_P3:shedy	shedy	1	1	UNREAD_INTERVENERS;SELF_BECOMES
M	REUSE	F83_P4	f83r.25:5	f83r.27:2	BECOMES	F83_P4:shedy	shedy	0	0	MISSING_RIGHT
M	REUSE	F83_P4	f83r.25:5	f83r.27:3	FROM	F83_P4:shedy	shedy	0	1	UNREAD_INTERVENERS;SELF_FROM
M	REUSE	F83_P4	f83r.25:5	f83r.30:3	FROM	F83_P4:shedy	shedy	0	0	MISSING_RIGHT
B	FRESH	F83_P1	f83r.4:2	f83r.4:9	BECOMES	F83_P1:f83r.4:7	shedy	1	1	UNREAD_INTERVENERS
B	FRESH	F83_P3	f83r.22:5	f83r.23:9	BECOMES	F83_P3:f83r.23:4	shedy	1	1	UNREAD_INTERVENERS
B	FRESH	F83_P4	f83r.25:5	f83r.27:2	BECOMES	F83_P4:f83r.26:5	shedy	0	0	MISSING_RIGHT
B	FRESH	F83_P4	f83r.25:5	f83r.27:3	FROM	F83_P4:f83r.26:5	shedy	0	1	UNREAD_INTERVENERS
B	FRESH	F83_P4	f83r.25:5	f83r.30:3	FROM	F83_P4:f83r.26:5	shedy	0	0	MISSING_RIGHT
B	REUSE	F83_P1	f83r.4:2	f83r.4:9	BECOMES	F83_P1:shedy	shedy	1	1	UNREAD_INTERVENERS;SELF_BECOMES
B	REUSE	F83_P3	f83r.22:5	f83r.23:9	BECOMES	F83_P3:shedy	shedy	1	1	UNREAD_INTERVENERS;SELF_BECOMES
B	REUSE	F83_P4	f83r.25:5	f83r.27:2	BECOMES	F83_P4:shedy	shedy	0	0	MISSING_RIGHT
B	REUSE	F83_P4	f83r.25:5	f83r.27:3	FROM	F83_P4:shedy	shedy	0	1	UNREAD_INTERVENERS;SELF_FROM
B	REUSE	F83_P4	f83r.25:5	f83r.30:3	FROM	F83_P4:shedy	shedy	0	0	MISSING_RIGHT
