record	locus	word	role	entity_id	claimed_by	reading
f17r	f17r.4:1	tcho	NOUN	f17r:tcho	NA	Pflanze
f17r	f17r.4:2	shol	OPEN	NA	NA	[shol]
f17r	f17r.4:3	qokol	OPEN	NA	NA	[qokol]
f17r	f17r.4:4	qor	OPEN	NA	NA	[qor]
f17r	f17r.4:5	olaiin	OPEN	NA	NA	[olaiin]
f17r	f17r.4:6	opydg	OPEN	NA	NA	[opydg]
f17r	f17r.4:7	som	OPEN	NA	NA	[som]
f17r	f17r.4:8	ypchy	OPEN	NA	NA	[ypchy]
f17r	f17r.4:9	ypaim	OPEN	NA	NA	[ypaim]
f17r	f17r.5:1	ychekchy	OPEN	NA	NA	[ychekchy]
f17r	f17r.5:2	cthy	NOUN	f17r:cthy	NA	oberirdisches Kraut
f17r	f17r.5:3	chor	NOUN	f17r:chor	NA	Blüten
f17r	f17r.5:4	shor	NOUN	f17r:shor	NA	Früchte
f17r	f17r.5:5	cphor	OPEN	NA	NA	[cphor]
f17r	f17r.5:6	cphaldy	OPEN	NA	NA	[cphaldy]
f17r	f17r.5:7	dair	OPEN	NA	NA	[dair]
f17r	f17r.5:8	cthey	OPEN	NA	NA	[cthey]
f17r	f17r.5:9	qody	OPEN	NA	NA	[qody]
f17r	f17r.6:1	tsho	OPEN	NA	NA	[tsho]
f17r	f17r.6:2	qof	OPEN	NA	NA	[qof]
f17r	f17r.6:3	cho	OPEN	NA	NA	[cho]
f17r	f17r.6:4	qokcheor	OPEN	NA	NA	[qokcheor]
f17r	f17r.6:5	cheteg	OPEN	NA	NA	[cheteg]
f21r	f21r.8:1	fcho	OPEN	NA	NA	[fcho]
f21r	f21r.8:2	kshy	OPEN	NA	NA	[kshy]
f21r	f21r.8:3	otor	OPEN	NA	NA	[otor]
f21r	f21r.8:4	sheol	OPEN	NA	NA	[sheol]
f21r	f21r.8:5	ocphal	OPEN	NA	NA	[ocphal]
f21r	f21r.8:6	opsheas	OPEN	NA	NA	[opsheas]
f21r	f21r.8:7	cthodaiin	OPEN	NA	NA	[cthodaiin]
f21r	f21r.8:8	oty	OPEN	NA	NA	[oty]
f21r	f21r.9:1	okaiin	NOUN	f21r:okaiin	NA	Pflanzensaft
f21r	f21r.9:2	sho	CONTAINS	NA	NA	Pflanzensaft enthält oberirdisches Kraut
f21r	f21r.9:3	tshaiin	OPEN	NA	NA	[tshaiin]
f21r	f21r.9:4	chkaiin	OPEN	NA	NA	[chkaiin]
f21r	f21r.9:5	sh	OPEN	NA	NA	[sh]
f21r	f21r.9:6	cthey	OPEN	NA	NA	[cthey]
f21r	f21r.9:7	cthody	OPEN	NA	NA	[cthody]
f21r	f21r.9:8	cthy	NOUN	f21r:cthy	f21r.9:2	oberirdisches Kraut
f21r	f21r.9:9	s	OPEN	NA	NA	[s]
f21r	f21r.10:1	totchy	OPEN	NA	NA	[totchy]
f21r	f21r.10:2	keor	OPEN	NA	NA	[keor]
f21r	f21r.10:3	chy	OPEN	NA	NA	[chy]
f21r	f21r.10:4	ky	OPEN	NA	NA	[ky]
f21r	f21r.10:5	qotaiin	OPEN	NA	NA	[qotaiin]
f21r	f21r.10:6	qotchol	OPEN	NA	NA	[qotchol]
f21r	f21r.10:7	ty	OPEN	NA	NA	[ty]
f21r	f21r.10:8	ctheey	OPEN	NA	NA	[ctheey]
f21r	f21r.10:9	otaiin	OPEN	NA	NA	[otaiin]
f21r	f21r.11:1	shol	OPEN	NA	NA	[shol]
f21r	f21r.11:2	chol	OPEN	NA	NA	[chol]
f21r	f21r.11:3	shol	OPEN	NA	NA	[shol]
