world	identity	record	groups	hypothesis_positions	relations	complete_relations
M	FRESH	f17r	23	4	0	0
M	FRESH	f21r	43	5	1	1
M	FRESH	f32v	39	5	3	1
M	FRESH	f29v	40	9	2	2
M	FRESH	F83_P1	72	14	6	4
M	FRESH	F83_P2	84	10	2	1
M	FRESH	F83_P3	63	10	4	2
M	FRESH	F83_P4	33	7	5	1
M	FRESH	F83_P5	62	9	3	1
M	FRESH	F83_Q1	11	1	1	0
M	FRESH	F83_Q2	16	3	3	0
M	REUSE	f17r	23	4	0	0
M	REUSE	f21r	43	5	1	1
M	REUSE	f32v	39	5	3	1
M	REUSE	f29v	40	9	2	2
M	REUSE	F83_P1	72	14	6	4
M	REUSE	F83_P2	84	10	2	1
M	REUSE	F83_P3	63	10	4	2
M	REUSE	F83_P4	33	7	5	1
M	REUSE	F83_P5	62	9	3	1
M	REUSE	F83_Q1	11	1	1	0
M	REUSE	F83_Q2	16	3	3	0
B	FRESH	f17r	23	4	0	0
B	FRESH	f21r	43	5	1	1
B	FRESH	f32v	39	5	3	1
B	FRESH	f29v	40	9	2	2
B	FRESH	F83_P1	72	14	6	4
B	FRESH	F83_P2	84	10	2	1
B	FRESH	F83_P3	63	10	4	2
B	FRESH	F83_P4	33	7	5	1
B	FRESH	F83_P5	62	9	3	1
B	FRESH	F83_Q1	11	1	1	0
B	FRESH	F83_Q2	16	3	3	0
B	REUSE	f17r	23	4	0	0
B	REUSE	f21r	43	5	1	1
B	REUSE	f32v	39	5	3	1
B	REUSE	f29v	40	9	2	2
B	REUSE	F83_P1	72	14	6	4
B	REUSE	F83_P2	84	10	2	1
B	REUSE	F83_P3	63	10	4	2
B	REUSE	F83_P4	33	7	5	1
B	REUSE	F83_P5	62	9	3	1
B	REUSE	F83_Q1	11	1	1	0
B	REUSE	F83_Q2	16	3	3	0
