world	identity	record	locus	relation	left_locus	right_locus	left_word	right_word	left_id	right_id	intervening_words	issues	reading
M	FRESH	f21r	f21r.9:2	CONTAINS	f21r.9:1	f21r.9:8	okaiin	cthy	f21r:f21r.9:1	f21r:f21r.9:8	tshaiin chkaiin sh cthey cthody	UNREAD_INTERVENERS	Auszug enthält Kraut
M	FRESH	f32v	f32v.10:1	CONTAINS	f32v.8:9	f32v.10:3	shan	chor	f32v:f32v.8:9	f32v:f32v.10:3	keol	UNREAD_INTERVENERS	Feinanteil enthält Blüten
M	FRESH	f32v	f32v.11:1	PART_OF	f32v.8:9	MISSING	shan	MISSING	f32v:f32v.8:9	MISSING	NONE	MISSING_RIGHT	Feinanteil ist Teil von ?Gegenstand
M	FRESH	f32v	f32v.11:2	CONTAINS	f32v.8:9	MISSING	shan	MISSING	f32v:f32v.8:9	MISSING	NONE	MISSING_RIGHT	Feinanteil enthält ?Gegenstand
M	FRESH	f29v	f29v.1:4	PART_OF	f29v.1:2	f29v.1:7	shor	cthy	f29v:f29v.1:2	f29v:f29v.1:7	ls shytchy	UNREAD_INTERVENERS	Früchte ist Teil von Kraut
M	FRESH	f29v	f29v.4:8	CONTAINS	f29v.4:4	f29v.4:9	cthy	okaiin	f29v:f29v.4:4	f29v:f29v.4:9	NONE	NONE	Kraut enthält Auszug
M	FRESH	F83_P1	f83r.2:10	BECOMES	f83r.2:3	f83r.3:7	qokaiin	lchedy	F83_P1:f83r.2:3	F83_P1:f83r.3:7	dor olkeedy qotal chkeedy chey daiin chey	UNREAD_INTERVENERS;VESSEL_MATERIAL_CHANGE_OR_ORIGIN_DEBT	Gefäß wird zu Pressrückstand
M	FRESH	F83_P1	f83r.4:2	BECOMES	f83r.3:8	f83r.4:7	qokaiin	shedy	F83_P1:f83r.3:8	F83_P1:f83r.4:7	qokedy chkedy daiin shetar	UNREAD_INTERVENERS;VESSEL_MATERIAL_CHANGE_OR_ORIGIN_DEBT	Gefäß wird zu Flüssigkeit
M	FRESH	F83_P1	f83r.4:9	BECOMES	f83r.4:7	f83r.5:6	shedy	shedy	F83_P1:f83r.4:7	F83_P1:f83r.5:6	deey qotaiin checkhy qoty cheg	UNREAD_INTERVENERS	Flüssigkeit wird zu Flüssigkeit
M	FRESH	F83_P1	f83r.6:6	BECOMES	f83r.6:5	MISSING	qokaiin	MISSING	F83_P1:f83r.6:5	MISSING	NONE	MISSING_RIGHT	Gefäß wird zu ?Gegenstand
M	FRESH	F83_P1	f83r.6:7	FROM	f83r.6:5	f83r.6:8	qokaiin	lchedy	F83_P1:f83r.6:5	F83_P1:f83r.6:8	NONE	VESSEL_MATERIAL_CHANGE_OR_ORIGIN_DEBT	Gefäß stammt aus Pressrückstand
M	FRESH	F83_P1	f83r.8:5	BECOMES	f83r.6:5	MISSING	qokaiin	MISSING	F83_P1:f83r.6:5	MISSING	NONE	MISSING_RIGHT	Gefäß wird zu ?Gegenstand
M	FRESH	F83_P2	f83r.14:2	FROM	f83r.13:3	f83r.14:3	shedy	shedy	F83_P2:f83r.13:3	F83_P2:f83r.14:3	NONE	NONE	Flüssigkeit stammt aus Flüssigkeit
