edition	paragraph	grammar	target	patient_form	mention	side	row_status
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	chor	f6v.8:2	TAKE_PATIENT	recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	chor	f6v.9:3	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	chor	f6v.13:4	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	chor	f6v.21:2	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	chor	f6v.8:2	TAKE_PATIENT	recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	chor	f6v.9:3	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	chor	f6v.13:4	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	chor	f6v.21:2	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	chor	f6v.8:2	TAKE_PATIENT	recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	chor	f6v.9:3	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	chor	f6v.13:4	FOLLOWING_MENTION	recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	chor	f6v.21:2	FOLLOWING_MENTION	recorded
ZL3b	f9v|f9v.5-f9v.12	B	f9v.11:1	chshoty	f9v.11:2	TAKE_PATIENT	recorded
ZL3b	f9v|f9v.5-f9v.12	J	f9v.11:1	chshoty	f9v.11:2	TAKE_PATIENT	recorded
ZL3b	f9v|f9v.5-f9v.12	M	f9v.11:1	chshoty	f9v.11:2	TAKE_PATIENT	recorded
ZL3b	f17v|f17v.1-f17v.23	B	f17v.15:1	cthy	f17v.15:2	TAKE_PATIENT	recorded
ZL3b	f17v|f17v.1-f17v.23	B	f17v.15:1	cthy	f17v.22:7	FOLLOWING_MENTION	recorded
ZL3b	f17v|f17v.1-f17v.23	J	f17v.15:1	cthy	f17v.15:2	TAKE_PATIENT	recorded
ZL3b	f17v|f17v.1-f17v.23	J	f17v.15:1	cthy	f17v.22:7	FOLLOWING_MENTION	recorded
ZL3b	f17v|f17v.1-f17v.23	M	f17v.15:1	cthy	f17v.15:2	TAKE_PATIENT	recorded
ZL3b	f17v|f17v.1-f17v.23	M	f17v.15:1	cthy	f17v.22:7	FOLLOWING_MENTION	recorded
ZL3b	f19v|f19v.8-f19v.14	B	f19v.9:1	chor	f19v.9:3	TAKE_PATIENT	recorded
ZL3b	f19v|f19v.8-f19v.14	B	f19v.9:1	chor	f19v.10:2	FOLLOWING_MENTION	recorded
ZL3b	f19v|f19v.8-f19v.14	J	f19v.9:1	chor	f19v.9:3	TAKE_PATIENT	recorded
ZL3b	f19v|f19v.8-f19v.14	J	f19v.9:1	chor	f19v.10:2	FOLLOWING_MENTION	recorded
ZL3b	f19v|f19v.8-f19v.14	M	f19v.9:1	chor	f19v.9:3	TAKE_PATIENT	recorded
ZL3b	f19v|f19v.8-f19v.14	M	f19v.9:1	chor	f19v.10:2	FOLLOWING_MENTION	recorded
ZL3b	f22v|f22v.6-f22v.16	B	f22v.7:1	chor	f22v.7:2	TAKE_PATIENT	recorded
ZL3b	f22v|f22v.6-f22v.16	J	f22v.7:1	chor	f22v.7:2	TAKE_PATIENT	recorded
ZL3b	f22v|f22v.6-f22v.16	M	f22v.7:1	chor	f22v.7:2	TAKE_PATIENT	recorded
ZL3b	f23r|f23r.4-f23r.5	B	f23r.5:1	qokchol	f23r.5:2	TAKE_PATIENT	recorded
ZL3b	f23r|f23r.4-f23r.5	J	f23r.5:1	qokchol	f23r.5:2	TAKE_PATIENT	recorded
ZL3b	f23r|f23r.4-f23r.5	M	f23r.5:1	qokchol	f23r.5:2	TAKE_PATIENT	recorded
ZL3b	f24r|f24r.1-f24r.20	B	f24r.8:1	qokeol	f24r.8:6	TAKE_PATIENT	recorded
ZL3b	f24r|f24r.1-f24r.20	J	f24r.8:1	qokeol	f24r.8:6	TAKE_PATIENT	recorded
ZL3b	f24r|f24r.1-f24r.20	M	f24r.8:1	qokeol	f24r.8:6	TAKE_PATIENT	recorded
ZL3b	f45v|f45v.5-f45v.11	B	f45v.9:1	cthy	f45v.9:2	TAKE_PATIENT	recorded
ZL3b	f45v|f45v.5-f45v.11	J	f45v.9:1	cthy	f45v.9:2	TAKE_PATIENT	recorded
ZL3b	f45v|f45v.5-f45v.11	M	f45v.9:1	cthy	f45v.9:2	TAKE_PATIENT	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	B	f86v5.20:1	otaiin	f86v5.20:5	TAKE_PATIENT	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	B	f86v5.20:1	otaiin	f86v5.24:7	FOLLOWING_MENTION	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	B	f86v5.20:1	otaiin	f86v5.24:9	FOLLOWING_MENTION	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	J	f86v5.20:1	otaiin	f86v5.20:5	TAKE_PATIENT	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	J	f86v5.20:1	otaiin	f86v5.24:7	FOLLOWING_MENTION	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	J	f86v5.20:1	otaiin	f86v5.24:9	FOLLOWING_MENTION	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	M	f86v5.20:1	otaiin	f86v5.20:5	TAKE_PATIENT	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	M	f86v5.20:1	otaiin	f86v5.24:7	FOLLOWING_MENTION	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	M	f86v5.20:1	otaiin	f86v5.24:9	FOLLOWING_MENTION	recorded
ZL3b	f93r|f93r.1-f93r.32	B	f93r.28:1	odol	f93r.28:2	TAKE_PATIENT	recorded
ZL3b	f93r|f93r.1-f93r.32	J	f93r.28:1	odol	f93r.28:2	TAKE_PATIENT	recorded
ZL3b	f93r|f93r.1-f93r.32	M	f93r.28:1	odol	f93r.28:2	TAKE_PATIENT	recorded
ZL3b	f99r|f99r.47-f99r.52	B	f99r.52:1	ols	f99r.52:2	TAKE_PATIENT	recorded
ZL3b	f99r|f99r.47-f99r.52	J	f99r.52:1	ols	f99r.52:2	TAKE_PATIENT	recorded
ZL3b	f99r|f99r.47-f99r.52	M	f99r.52:1	ols	f99r.52:2	TAKE_PATIENT	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	B	f102v2.35:1	sheol	f102v2.35:2	TAKE_PATIENT	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	J	f102v2.35:1	sheol	f102v2.35:2	TAKE_PATIENT	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	M	f102v2.35:1	sheol	f102v2.35:2	TAKE_PATIENT	recorded
