edition	paragraph	grammar	target	operation	form	patient	patient_form	same_form_roles	side	execution_offset	effect_card	debts	row_status
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.8:3	okchey	f6v.8:2	chor	patient	FOLLOWING	11	null		recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.8:4	qokom	f6v.8:2	chor	patient	FOLLOWING	12	"{""axis"": ""thermal"", ""value"": ""warm""}"		recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.9:1	oeeo	f6v.9:3	chor	patient	FOLLOWING	15	null		recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.14:1	qokor	f6v.13:4	chor	patient	FOLLOWING	37	"{""axis"": ""thermal"", ""value"": ""hot""}"	IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.21:3	octham	f6v.21:2	chor	patient	FOLLOWING	70	null		recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	f6v.8:3	okchey	f6v.8:2	chor	patient	FOLLOWING	11	null		recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	f6v.8:4	qokom	f6v.8:2	chor	patient	FOLLOWING	12	"{""axis"": ""thermal"", ""value"": ""warm""}"		recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	f6v.9:1	oeeo	f6v.9:3	chor	patient	FOLLOWING	15	null		recorded
ZL3b	f6v|f6v.6-f6v.21	J	f6v.8:1	f6v.21:3	octham	f6v.21:2	chor	patient	FOLLOWING	70	null		recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	f6v.8:3	okchey	f6v.8:2	chor	patient	FOLLOWING	11	null		recorded
ZL3b	f6v|f6v.6-f6v.21	M	f6v.8:1	f6v.8:4	qokom	f6v.8:2	chor	patient	FOLLOWING	12	"{""axis"": ""thermal"", ""value"": ""warm""}"		recorded
