edition	paragraph	target	raw_line	row_status
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	ychor chor okchey qokom	recorded
ZL3b	f9v|f9v.5-f9v.12	f9v.11:1	ychor chshoty oky kaiin	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.15:1	ychor cthy che'eky cheo otor oteol	recorded
ZL3b	f19v|f19v.8-f19v.14	f19v.9:1	ychor oky chor yt[o:a]l chol oky ddor	recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.7:1	ychor chor qokchol chory	recorded
ZL3b	f23r|f23r.4-f23r.5	f23r.5:1	ychor qokchol ytym chol da[ir:in] chol ar ol ol dol dain	recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.8:1	ychor s om qoear daiin qokeol	recorded
ZL3b	f45v|f45v.5-f45v.11	f45v.9:1	ychor cthy chol qokom sy sa ykchom	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.20:1	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.28:1	ychor odol chodaiin s	recorded
ZL3b	f99r|f99r.47-f99r.52	f99r.52:1	ychor ols or agairom	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.35:1	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	recorded
ZL3b	f106r|f106r.8-f106r.9	f106r.9:1	ychor chol qokain chocphol lchedy qocheo qokar	recorded
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	ychor chor okchey qokom	recorded
IT2a	f9v|f9v.5-f9v.12	f9v.11:1	ychor chshoty oky kaiin	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.15:1	ychor cthy cheeky cheo otor oteol	recorded
IT2a	f19v|f19v.8-f19v.14	f19v.9:1	ychor oky chor ytal chol oky ddor	recorded
IT2a	f22v|f22v.6-f22v.16	f22v.7:1	ychor chor qokchol chory	recorded
IT2a	f23r|f23r.4-f23r.5	f23r.5:1	ychor qokchol ytom chol dair chol ar ol ol dol dain	recorded
IT2a	f24r|f24r.1-f24r.20	f24r.8:1	ychor s om qoear daiin qokeol	recorded
IT2a	f45v|f45v.5-f45v.11	f45v.9:1	ychor cthy chol qokom sy sa ykchom	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.20:1	ychor ar aiin ytaly otaiin ykaiin otar ytar aiin ytaiim	recorded
IT2a	f93r|f93r.1-f93r.32	f93r.10:1	ychor chey keol cheol ckhody	recorded
IT2a	f93r|f93r.1-f93r.32	f93r.28:1	ychor odol cho daiin s	recorded
IT2a	f99r|f99r.47-f99r.52	f99r.52:1	ychor ols or am air om	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.35:1	ychor sheol por sheeor shekeey qoky cheo keody qokeol dain	recorded
IT2a	f106r|f106r.8-f106r.9	f106r.9:1	ychor chol qokain chocphol lchedy qocheo qokar	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	ychor chor okchey qokom	recorded
RF1b	f9v|f9v.5-f9v.12	f9v.11:1	ychor chshoty okykaiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.15:1	ychor cthy che'eky cheo otor oteol	recorded
RF1b	f19v|f19v.8-f19v.14	f19v.9:1	ychor oky chor ytal chol okyddor	recorded
RF1b	f22v|f22v.6-f22v.16	f22v.7:1	ychor chor qokchol chory	recorded
RF1b	f23r|f23r.4-f23r.5	f23r.5:1	ychor qokchol yt@221;m chol dair chol ar ol ol dol dain	recorded
RF1b	f24r|f24r.1-f24r.20	f24r.8:1	ychor s om qoear daiin qokeol	recorded
RF1b	f45v|f45v.5-f45v.11	f45v.9:1	ychor cthy chol qokom sy sa okchom	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.20:1	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiim	recorded
RF1b	f93r|f93r.1-f93r.32	f93r.28:1	ychor odol chodaiin s	recorded
RF1b	f99r|f99r.47-f99r.52	f99r.52:1	ychor ols @221;r agair@221;m	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.35:1	ychor sheol por sheeor shekeey qoky che@221;teody qokeol daiin	recorded
RF1b	f106r|f106r.8-f106r.9	f106r.9:1	ychor chol qokain chocphol lchedy qocheo qokar	recorded
