visible_surface	astro_groups	atom_sequence	spoken_value_de	local_primitives_de	scope
a	1	A	Hauptwert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
s	4	S	Nebenwert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
o	2	O	Grundwert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
d	1	D	Festwert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
r	1	R	Bezugswert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
ch	1	CH	Zustand	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
ay	2	A+Y	aktueller Hauptwert	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
dchy	1	D+CH+Y	fester aktueller Zustand	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
chsdy	1	CH+S+DY	sekundären Zustand festhalten	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
oygy	1	O+G+Y	aktueller Grundgrad	A=HAUPT;S=NEBEN;O=GRUND;D=FEST;R=BEZUG;CH=ZUSTAND	ASTRO_TABLE_REGISTER_ONLY
