statement_id	record_unit_id	page	boundary_from_previous	owner_trace	terminal_status	literal_card_chain_de	spoken_role_sequence	role_expansion_de	smoothed_workshop_clause_de	smoothing_is_dictionary_value
H1-S001	H1	f10r	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Grundteil | bereitstellen · Bereitung | davon | Anteil | Aufnahme | Lauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>OBJECT>TRANSFER_OR_ADDRESS>QUANTITY_OR_STAGE>OPERATION>QUANTITY_OR_STAGE>PROCESS_OR_STATE	OBJECT=Arbeitsgegenstand: Grundteil | OBJECT=Arbeitsgegenstand: bereitstellen Bereitung | ANAPHOR=davon | QUANTITY_OR_STAGE=einen Anteil | OBJECT=Arbeitsgegenstand: Aufnahme | TRANSFER_OR_ADDRESS=am Lauf | QUANTITY_OR_STAGE=Menge/Stufe: danach Teil weiter | OPERATION=einsetzen | QUANTITY_OR_STAGE=nach Sollmaß | PROCESS_OR_STATE=Prozess: kurz Teil	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Arbeitsgegenstand: Grundteil; Arbeitsgegenstand: bereitstellen Bereitung; davon; einen Anteil; Arbeitsgegenstand: Aufnahme; am Lauf; Menge/Stufe: danach Teil weiter; einsetzen; nach Sollmaß; Prozess: kurz Teil.	NO
H1-S002	H1	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	weiterbearbeiten | danach · weiter | weiter | bereit	OPERATION>LINK_OR_ORDER>LINK_OR_ORDER>STATE	OPERATION=weiterbearbeiten | LINK_OR_ORDER=danach weiter | LINK_OR_ORDER=weiter | STATE=bis bereit	mit der aktiven Bereitung weiter: weiterbearbeiten; danach weiter; weiter; bis bereit.	NO
H2-S001	H2	f10r	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Posten · Auszug · Bereitung | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	OBJECT>STATE>OBJECT>PROCESS_OR_STATE>PROCESS_OR_STATE>ANAPHOR>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR	OBJECT=Arbeitsgegenstand: Posten Auszug Bereitung | STATE=bis bereit | OBJECT=Arbeitsgegenstand: Ansatz | PROCESS_OR_STATE=Prozess: bereitstellen Sollmaß | PROCESS_OR_STATE=Prozess: bereitstellen weiter Posten | ANAPHOR=dies | ANAPHOR=dies | QUANTITY_OR_STAGE=nach Sollmaß | ANAPHOR=dies	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Arbeitsgegenstand: Posten Auszug Bereitung; bis bereit; Arbeitsgegenstand: Ansatz; Prozess: bereitstellen Sollmaß; Prozess: bereitstellen weiter Posten; dies; dies; nach Sollmaß; dies.	NO
H2-S002	H2	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	ORDERED_OBJECT>OBJECT>LINK_OR_ORDER>LINK_OR_ORDER>ANAPHOR>LINK_OR_ORDER>QUANTITY_OR_STAGE>ANAPHOR	ORDERED_OBJECT=als Nächstes: Folgeansatz | OBJECT=Arbeitsgegenstand: Ansatz | LINK_OR_ORDER=danach weiter | LINK_OR_ORDER=weiter | ANAPHOR=mit demselben Ansatz | LINK_OR_ORDER=weiter | QUANTITY_OR_STAGE=nach Sollmaß | ANAPHOR=davon	mit demselben Ansatz und Sollmaß weiter: als Nächstes: Folgeansatz; Arbeitsgegenstand: Ansatz; danach weiter; weiter; mit demselben Ansatz; weiter; nach Sollmaß; davon.	NO
H2-S003	H2	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Posten · bearbeiten · Bereitung | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabe · Sollmaß	OBJECT>OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR>OBJECT	OBJECT=Arbeitsgegenstand: Posten bearbeiten Bereitung | OBJECT=Arbeitsgegenstand: Ansatz | OBJECT=Arbeitsgegenstand: Ansatz | ANAPHOR=dies | QUANTITY_OR_STAGE=auf Arbeitsstufe | ANAPHOR=dies | OBJECT=Arbeitsgegenstand: Zugabe Sollmaß	aus demselben Ansatz weiter: Arbeitsgegenstand: Posten bearbeiten Bereitung; Arbeitsgegenstand: Ansatz; Arbeitsgegenstand: Ansatz; dies; auf Arbeitsstufe; dies; Arbeitsgegenstand: Zugabe Sollmaß.	NO
H3-S001	H3	f11r	RECORD_START	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	TERMINAL	Zugabe · abführen | Zugabe · Ziel | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zugabe; schließen	OBJECT>OBJECT>PATH_OPERATION>PROCESS_OR_STATE>PATH_OPERATION>OBJECT>OBJECT	OBJECT=Arbeitsgegenstand: Zugabe abführen | OBJECT=Arbeitsgegenstand: Zugabe Ziel | PATH_OPERATION=durch den örtlichen Weg: auswringen Posten | PROCESS_OR_STATE=Prozess: halten Sollmaß | PATH_OPERATION=durch den örtlichen Weg: nachseihen Posten | OBJECT=Arbeitsgegenstand: Klarauszug | OBJECT=Arbeitsgegenstand: Zugabe	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Arbeitsgegenstand: Zugabe abführen; Arbeitsgegenstand: Zugabe Ziel; durch den örtlichen Weg: auswringen Posten; Prozess: halten Sollmaß; durch den örtlichen Weg: nachseihen Posten; Arbeitsgegenstand: Klarauszug; Arbeitsgegenstand: Zugabe; Schritt schließen.	NO
H3-S002	H3	f11r	FRESH_AFTER_CLOSE	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	Zugabe · Posten · Teil	OBJECT	OBJECT=Arbeitsgegenstand: Zugabe Posten Teil	Neuer Schritt: Arbeitsgegenstand: Zugabe Posten Teil.	NO
H3-S003	H3	f11r	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	ANAPHOR>ANAPHOR>OPERATION>ANAPHOR>QUANTITY_OR_STAGE	ANAPHOR=vom Vorigen | ANAPHOR=dies | OPERATION=bearbeiten Posten | ANAPHOR=dies | QUANTITY_OR_STAGE=nach Sollmaß	mit diesem Materialanteil weiter: vom Vorigen; dies; bearbeiten Posten; dies; nach Sollmaß.	NO
H3-S004	H3	f11r	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	danach · Posten | einsetzen · weiter | bereit | dies	LINK_OR_ORDER>LINK_OR_ORDER>STATE>ANAPHOR	LINK_OR_ORDER=danach Posten | LINK_OR_ORDER=einsetzen weiter | STATE=bis bereit | ANAPHOR=dies	mit diesem Posten auf Sollmaß weiter: danach Posten; einsetzen weiter; bis bereit; dies.	NO
H4-S001	H4	f55v	RECORD_START	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	OPERATION>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>PROCESS_OR_STATE	OPERATION=bemessen | QUANTITY_OR_STAGE=nach Sollmaß | QUANTITY_OR_STAGE=Menge/Stufe: Posten Anteil | QUANTITY_OR_STAGE=Menge/Stufe: Posten Anteil | PROCESS_OR_STATE=Prozess: kühlen	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen; nach Sollmaß; Menge/Stufe: Posten Anteil; Menge/Stufe: Posten Anteil; Prozess: kühlen; Schritt schließen.	NO
