record_unit_id	page	statement_count	continuous_smoothed_workshop_de	literal_chains_retained	dictionary_values_changed
H1	f10r	2	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Arbeitsgegenstand: Grundteil; Arbeitsgegenstand: bereitstellen Bereitung; davon; einen Anteil; Arbeitsgegenstand: Aufnahme; am Lauf; Menge/Stufe: danach Teil weiter; einsetzen; nach Sollmaß; Prozess: kurz Teil. mit der aktiven Bereitung weiter: weiterbearbeiten; danach weiter; weiter; bis bereit.	YES	NO
H2	f10r	3	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Arbeitsgegenstand: Posten Auszug Bereitung; bis bereit; Arbeitsgegenstand: Ansatz; Prozess: bereitstellen Sollmaß; Prozess: bereitstellen weiter Posten; dies; dies; nach Sollmaß; dies. mit demselben Ansatz und Sollmaß weiter: als Nächstes: Folgeansatz; Arbeitsgegenstand: Ansatz; danach weiter; weiter; mit demselben Ansatz; weiter; nach Sollmaß; davon. aus demselben Ansatz weiter: Arbeitsgegenstand: Posten bearbeiten Bereitung; Arbeitsgegenstand: Ansatz; Arbeitsgegenstand: Ansatz; dies; auf Arbeitsstufe; dies; Arbeitsgegenstand: Zugabe Sollmaß.	YES	NO
H3	f11r	4	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Arbeitsgegenstand: Zugabe abführen; Arbeitsgegenstand: Zugabe Ziel; durch den örtlichen Weg: auswringen Posten; Prozess: halten Sollmaß; durch den örtlichen Weg: nachseihen Posten; Arbeitsgegenstand: Klarauszug; Arbeitsgegenstand: Zugabe; Schritt schließen. Neuer Schritt: Arbeitsgegenstand: Zugabe Posten Teil. mit diesem Materialanteil weiter: vom Vorigen; dies; bearbeiten Posten; dies; nach Sollmaß. mit diesem Posten auf Sollmaß weiter: danach Posten; einsetzen weiter; bis bereit; dies.	YES	NO
H4	f55v	4	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen; nach Sollmaß; Menge/Stufe: Posten Anteil; Menge/Stufe: Posten Anteil; Prozess: kühlen; Schritt schließen. Neuer Schritt: nach Sollmaß; überführen; Ziel verwahren; Schritt schließen. Neuer Schritt: Menge/Stufe: Posten Sollmaß; Arbeitsgegenstand: Auszug Quelle; länger bearbeiten; bis fertig; Schritt schließen. Neuer Schritt: nach Sollmaß; dorthin einsetzen; Prozess: weiter bereitstellen Posten; Arbeitsgegenstand: Ansatz; dies; Arbeitsgegenstand: Bereitung Anteil.	YES	NO
H5	f56r	6	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Arbeitsgegenstand: Zugabe Bereitung; Arbeitsgegenstand: weitere Zutat; Arbeitsgegenstand: Zugabe Ziel Posten; nach Sollmaß; Arbeitsgegenstand: weitere Zutat; bearbeiten weiter; als Nächstes: Folgeansatz; einsetzen; dorthin. vom zielgesetzten Ansatz weiter: vom Vorigen; Arbeitsgegenstand: Zugabe Posten; einsetzen; durch den örtlichen Weg: Langpassage; Schritt schließen. Neuer Schritt: Prozess: halten; Arbeitsgegenstand: weitere Zutat; Prozess: bearbeiten kurz Posten; einsetzen einsetzen Posten. mit dem eingesetzten Posten weiter: weiterbearbeiten; Arbeitsgegenstand: einsetzen Auszug; Weg/Adresse: bearbeiten Ziel. mit dem Auszug am Ziel weiter: Arbeitsgegenstand: weitere Zutat; weiterbearbeiten; Arbeitsgegenstand: Auszug Quelle; danach anwenden. zum nächsten Posten weiter: als Nächstes; Prozess: kurz weiter; nach Sollmaß.	YES	NO
B1	f81v	21	Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schritt schließen. Neuer Schritt: bemessen; am Lauf; dorthin einsetzen; davon; weiter; einen Anteil; einen weiteren Anteil; dorthin; weiter; weiter; Arbeitsgegenstand: Zusatz; mit demselben Ansatz; weiter; durch den örtlichen Weg: Passage kurz Ziel; nach Sollmaß; Prozess: einsetzen länger Ziel; nach Sollmaß; durchleiten; überführen; Schritt schließen. Neuer Schritt: weiter; Prozess: Haltetransfer; Schritt schließen. Neuer Schritt: überführen; weiter; kurz absetzen; Schritt schließen. Neuer Schritt: weiterführen; Schritt schließen. Neuer Schritt: Anteil zugeben; durchleiten; Arbeitsgegenstand: Zusatz; zum Ziel. am offenen Ziel in die Überführung weiter: einführen; Schritt schließen. Neuer Schritt: dies; weiter; kurz wärmen; weiter; kurz absetzen; Schritt schließen. Neuer Schritt: kurz einwirken; Schritt schließen. Neuer Schritt: kurz einwirken; Schritt schließen. Neuer Schritt: durchleiten; einsetzen. mit dem eingesetzten Posten am selben Besitzer weiter: durch den örtlichen Weg: waschen; kurz einwirken; durch den örtlichen Weg: waschen; Schritt schließen. Neuer Schritt: durch den örtlichen Weg: waschen; Schritt schließen. Neuer Schritt: überführen; weiter; Weg/Adresse: abführen übertragen Ziel; weiter; Weg/Adresse: danach Quelle. von der eben gesetzten Quelle weiter: Prozess: Posten kurz Teil; einführen; Schritt schließen. Neuer Schritt: dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schritt schließen. Neuer Schritt: dorthin; Prozess: kurz weiter; Weg/Adresse: übertragen; Schritt schließen. Neuer Schritt: Weg/Adresse: abführen Posten; Prozess: halten kurz weiter; auf Arbeitsstufe; lange sammeln; Schritt schließen. Neuer Schritt: kurz absetzen; Schritt schließen. Neuer Schritt: kurz wärmen; seihen; Schritt schließen. Neuer Schritt: dorthin.	YES	NO
B2	f82r	22	Besitzer »obere Paarbecken-/Zylinderstation«: überführen; Schritt schließen. Neuer Schritt: weiterführen; Schritt schließen. Neuer Schritt: Anteil zugeben; dies; lange einwirken; Schritt schließen. Neuer Schritt: dorthin einsetzen; durch den örtlichen Weg: abführen Passage Posten; Weg/Adresse: abführen übertragen; lange einwirken; durch den örtlichen Weg: abführen trennen; Schritt schließen. Neuer Schritt: Weg/Adresse: einsetzen Ziel Posten; Prozess: auffangen Sollmaß; durchleiten; bemessen; bemessen; Prozess: bereitstellen weiter; Prozess: wärmen länger Posten; abziehen; Schritt schließen. Neuer Schritt: Prozess: danach länger Posten; dorthin einsetzen; durch den örtlichen Weg: Passage kurz Posten; einsetzen. Neuer Besitzer »mittlere linke Geräte-/Inline-Knotenstation«: Prozess: absetzen kurz; Schritt schließen. Neuer Schritt: nach Folgemaß; Weg/Adresse: einsetzen Quelle; kurz absetzen; Schritt schließen. Neuer Schritt: Prozess: weiter absetzen; Schritt schließen. Neuer Schritt: lange einwirken; einsetzen; abführen; Arbeitsgegenstand: Klarauszug. Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schritt schließen. Neuer Schritt: Weg/Adresse: abführen Posten; Arbeitsgegenstand: Klarauszug; kurz vorbereiten; lange einwirken; durch den örtlichen Weg: abführen Klarlauf; nach Sollmaß; dies; Prozess: einsetzen vollständig; Schritt schließen. Neuer Schritt: abführen; Schritt schließen. Neuer Schritt: Weg/Adresse: abführen Quelle. Neuer Besitzer »lokale Randstationen des unteren Feldes«: durch den örtlichen Weg: Klarlauf; lange einwirken; Schritt schließen. Neuer Schritt: dorthin; Weg/Adresse: abführen übertragen Quelle; teilen; nach Sollmaß; Prozess: danach länger Posten; bemessen; kurz einwirken; Weg/Adresse: zuführen übertragen; Schritt schließen. Neuer Schritt: Prozess: halten kurz Ziel; zum Ziel; Schritt schließen. Neuer Schritt: lange einwirken; Schritt schließen. Neuer Schritt: durch den örtlichen Weg: waschen; Schritt schließen. Neuer Schritt: Zustand/Phase: lange Folgestufe; Schritt schließen. Neuer Schritt: lange einwirken; Schritt schließen. Neuer Schritt: Weg/Adresse: abführen übertragen; Schritt schließen.	YES	NO
B3	f83r	34	Besitzer »obere offene Fächer-Randstation«: lange sammeln; Schritt schließen. Neuer Schritt: danach dorthin; Prozess: wärmen länger; Schritt schließen. Neuer Schritt: dies; nach Sollmaß; dies; abführen; Schritt schließen. Neuer Schritt: bemessen; danach dorthin; davon. Neuer Besitzer »mittlere runde Gefäß-Randstation«: überführen; Schritt schließen. Neuer Schritt: Weg/Adresse: übertragen Posten; dorthin einsetzen; weiterführen; Schritt schließen. Neuer Schritt: bemessen; überführen; lange einwirken; Schritt schließen. Neuer Schritt: abführen; Schritt schließen. Neuer Schritt: einsetzen. Neuer Besitzer »untere korbartige Gefäß-Randstation«: Weg/Adresse: zuführen übertragen Ziel; Prozess: danach kurz; Schritt schließen. Neuer Schritt: Prozess: bereitstellen übertragen Posten; einsetzen; überführen; Weg/Adresse: Quelle Posten. mit dem aus der Quelle überführten Posten weiter: Arbeitsgegenstand: Ansatz; kurz absetzen; Schritt schließen. Neuer Schritt: bemessen; einen Anteil; kurz vorbereiten; kurz einwirken; Schritt schließen. Neuer Schritt: Weg/Adresse: einsetzen Lauf; Prozess: absetzen länger; Schritt schließen. Neuer Schritt: abführen; Schritt schließen. Neuer Schritt: abführen; einführen; Schritt schließen. Neuer Schritt: lange einwirken; Schritt schließen. Neuer Schritt: kurz absetzen; Schritt schließen. Neuer Schritt: Prozess: einsetzen absetzen; Schritt schließen. Neuer Schritt: dorthin; abführen; Schritt schließen. Neuer Schritt: bemessen; bis bereit; dorthin; dies; nach Sollmaß; Zustand/Phase: am Ziel absetzen; Prozess: bereitstellen kurz Posten; dies; dorthin; bis bereit; Weg/Adresse: Ziel übertragen; Schritt schließen. Neuer Schritt: Weg/Adresse: danach übertragen; Schritt schließen. Neuer Schritt: abführen; Schritt schließen. Neuer Schritt: überführen; Schritt schließen. Neuer Schritt: einführen; Schritt schließen. Neuer Schritt: Weg/Adresse: übertragen Quelle; Prozess: absetzen Sollmaß; überführen; Anteil zugeben; bis bereit; Arbeitsgegenstand: Ziel Bereitung; lange sammeln; Schritt schließen. Neuer Schritt: Zustand/Phase: lange Folgestufe; Schritt schließen. Neuer Schritt: lange einwirken; kurz einwirken; Schritt schließen. Neuer Schritt: weiter; Prozess: vollständig Teil; kurz einwirken; Schritt schließen. Neuer Schritt: einsetzen; nach Sollmaß; am Lauf; Weg/Adresse: danach übertragen; Schritt schließen. Neuer Schritt: lange einwirken; Schritt schließen. Neuer Schritt: Weg/Adresse: übertragen Anteil; überführen; Prozess: danach kurz Sollmaß; nach Folgemaß; Prozess: danach kurz; Schritt schließen. Neuer Schritt: abziehen; Schritt schließen. Neuer Schritt: auf Arbeitsstufe; bis bereit; einen Anteil; nach Folgemaß; Weg/Adresse: Ziel Posten; kurz absetzen; Schritt schließen.	YES	NO
B4	f83r	16	Besitzer »Hauptpaar am sichtbaren ungerichteten Bogen«: lange einwirken; Schritt schließen. Neuer Schritt: weiter Posten; lange einwirken; kurz einwirken; Schritt schließen. Neuer Schritt: überführen; danach dorthin; als Nächstes; lange einwirken; einsetzen; weiter; kurz absetzen; Schritt schließen. Neuer Schritt: einsetzen Posten festbinden; Schritt schließen. Neuer Schritt: Arbeitsgegenstand: Einlage; überführen; lange einwirken; Schritt schließen. Neuer Schritt: seihen; Schritt schließen. Neuer Schritt: seihen; Schritt schließen. Neuer Schritt: nach Sollmaß; länger bearbeiten; Prozess: halten länger Posten; kurz einwirken; Schritt schließen. Neuer Schritt: kurz absetzen; Schritt schließen. Neuer Schritt: bis fertig; Schritt schließen. Neuer Besitzer »linke offene Fransen-/Unterlaufstation«: nach Sollmaß; kurz wärmen; Prozess: einsetzen länger weiter; Anteil zugeben; überführen; weiter; Prozess: abführen kurz; Schritt schließen. Neuer Schritt: abführen; Schritt schließen. Neuer Schritt: einsetzen weiter; kurz absetzen; Schritt schließen. Neuer Schritt: Arbeitsgegenstand: Ansatz; dies; durch den örtlichen Weg: Kurzpassage; Weg/Adresse: Lauf Posten; Schritt schließen. Neuer Schritt: Anteil zugeben; Arbeitsgegenstand: Klarauszug; einen Anteil; durch den örtlichen Weg: Passage Ziel; Prozess: auffangen kurz Posten; abführen; Schritt schließen. Neuer Schritt: einen weiteren Anteil; dorthin; Weg/Adresse: ausgießen Quelle; kurz absetzen; Schritt schließen.	YES	NO
B5	f83r	3	Besitzer »linker offener Fransen-Endposten«: Weg/Adresse: danach übertragen; Schritt schließen. Neuer Schritt: einführen; Schritt schließen. Neuer Schritt: Zustand/Phase: am Ziel absetzen; dorthin; weiter; Weg/Adresse: abführen weiter; Weg/Adresse: übertragen Ziel; nach Sollmaß; weiter; auf Arbeitsstufe; überführen.	YES	NO
