template_id	old_v48_context_de	new_spoken_context_de	renderer_mode	formal_stage	workflow_closure	modality_class	expected_occurrences	note_de
G733-T001	trocken in der Mitte des Grades, abgeschlossen	bis zur Mittelstufe getrocknet; abgeschlossen	SINGLE_DIRECT	MIDDLE	CLOSED	TROCKEN	465	Einzelachse; Abschluss bleibt vom Gradresultat getrennt.
G733-T002	feucht in der Mitte des Grades, abgeschlossen	bis zur Mittelstufe angefeuchtet; abgeschlossen	SINGLE_DIRECT	MIDDLE	CLOSED	FEUCHT	385	Feucht wird nicht zu eingeweicht verstärkt.
G733-T003	trocken in der Mitte des Grades	bis zur Mittelstufe getrocknet	SINGLE_DIRECT	MIDDLE	OPEN	TROCKEN	311	Offene Mittelstufe ohne Abschlusszusatz.
G733-T004	heiß am Ende des Grades, abgeschlossen	vollständig erhitzt; abgeschlossen	SINGLE_DIRECT	END	CLOSED	HEISS	291	Einzelachse; Abschluss separat.
G733-T005	heiß in der Mitte des Grades, abgeschlossen	bis zur Mittelstufe erhitzt; abgeschlossen	SINGLE_DIRECT	MIDDLE	CLOSED	HEISS	248	Einzelachse; Abschluss separat.
G733-T006	feucht in der Mitte des Grades	bis zur Mittelstufe angefeuchtet	SINGLE_DIRECT	MIDDLE	OPEN	FEUCHT	230	Keine Einweichhandlung ergänzt.
G733-T007	Rohstoffklasse I, heiß am Gradanfang	Rohstoffklasse I; leicht erhitzt	HEAD_PRESERVING_SINGLE	BEGIN	OPEN	HEISS	203	Klassenkopf bleibt stehen; kein Rohstoffpatient ergänzt.
G733-T008	trocken am Anfang des Grades	leicht getrocknet	SINGLE_DIRECT	BEGIN	OPEN	TROCKEN	159	Einzelachse ohne erfundenen Kopf.
G733-T009	trocken am Ende des Grades	vollständig getrocknet	SINGLE_DIRECT	END	OPEN	TROCKEN	153	Einzelachse ohne Abschlusszusatz.
G733-T010	heißer Ansatz am Ende des Grades	vollständig erhitzter Ansatz	HEAD_INFLECTED_SINGLE	END	OPEN	HEISS	136	Der geschriebene Ansatzkopf wird nur flektiert.
G733-T011	trocken am Anfang des Grades, abgeschlossen	leicht getrocknet; abgeschlossen	SINGLE_DIRECT	BEGIN	CLOSED	TROCKEN	132	Anfangsstufe und Abschluss bleiben unterscheidbar.
G733-T012	kalter Ansatz in der Mitte des Grades, abgeschlossen	bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen	HEAD_INFLECTED_SINGLE	MIDDLE	CLOSED	KALT	129	Abgekühlt bezeichnet den Ergebniszustand; Abschluss separat.
G733-T013	feucht am Ende des Grades	vollständig angefeuchtet	SINGLE_DIRECT	END	OPEN	FEUCHT	126	Nicht zu eingeweicht verstärken.
G733-T014	Arzneikompositum: trocken, Gradanfang	leicht getrocknetes Arzneikompositum	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	TROCKEN	125	Vorhandener Kompositumkopf; keine Produktidentität ergänzt.
G733-T015	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im leicht erhitzten Ansatz	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	HEISS	119	Der vorhandene Ansatzkopf trägt die Hitzeachse.
G733-T016	Rohstoffklasse I im Ansatz, kalt am Gradanfang	Rohstoffklasse I im leicht abgekühlten Ansatz	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	KALT	118	Der vorhandene Ansatzkopf trägt die Kälteachse.
G733-T017	kalter Ansatz am Anfang des Grades	leicht abgekühlter Ansatz	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	KALT	100	Abgekühlt statt gekühlt; kein neuer Patient.
G733-T018	feucht am Anfang des Grades	leicht angefeuchtet	SINGLE_DIRECT	BEGIN	OPEN	FEUCHT	94	Keine Einweichhandlung ergänzt.
G733-T019	heißer Ansatz am Anfang des Grades	leicht erhitzter Ansatz	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	HEISS	87	Der Ansatzkopf ist bereits ausgesprochen.
G733-T020	kalter Ansatz am Ende des Grades, abgeschlossen	vollständig abgekühlter Ansatz; abgeschlossen	HEAD_INFLECTED_SINGLE	END	CLOSED	KALT	87	Ergebniszustand und Abschluss getrennt.
G733-T021	heißer Ansatz in der Mitte des Grades, abgeschlossen	bis zur Mittelstufe erhitzter Ansatz; abgeschlossen	HEAD_INFLECTED_SINGLE	MIDDLE	CLOSED	HEISS	86	Ergebniszustand und Abschluss getrennt.
G733-T022	kalt am Anfang des Grades	leicht abgekühlt	SINGLE_DIRECT	BEGIN	OPEN	KALT	84	Abgekühlt statt gekühlt.
G733-T023	feucht am Ende des Grades, abgeschlossen	vollständig angefeuchtet; abgeschlossen	SINGLE_DIRECT	END	CLOSED	FEUCHT	76	Keine Einweichhandlung ergänzt; Abschluss separat.
