edition	paragraph	page	at	word	value	head	head_at	category	numerator	numerator_at	denominator	denominator_at	raw_line
ZL3b	f100r|f100r.12-f100r.15	f100r	ZL3b|f100r.13|G007	daiin	C	[r:s]orarydaiin	ZL3b|f100r.13|G006	UNKNOWN_HEAD	cthey	ZL3b|f100r.13|G002			dsheor cthey qokeey oteey ykeeodain [r:s]orarydaiin daiin deeomchol
ZL3b	f103r|f103r.1-f103r.4	f103r	ZL3b|f103r.1|G010	dain	B	yshdal	ZL3b|f103r.1|G009	UNKNOWN_HEAD					pchedal shdy ytechypchy otey ?lshey qoteey qotal shedy yshdal dain okal daldy
ZL3b	f103r|f103r.1-f103r.4	f103r	ZL3b|f103r.2|G001	dain	B			NO_LEFT_HEAD					dain shek ch{cphh}dy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok?? chedy
ZL3b	f103r|f103r.24-f103r.26	f103r	ZL3b|f103r.24|G010	dain	B	otey	ZL3b|f103r.24|G009	UNKNOWN_HEAD					tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
ZL3b	f103v|f103v.17-f103v.19	f103v	ZL3b|f103v.19|G001	daiin	C			NO_LEFT_HEAD					daiin chey lkeey chalkar cheeey l chealainor
ZL3b	f104v|f104v.41-f104v.44	f104v	ZL3b|f104v.44|G001	daiin	C			NO_LEFT_HEAD	qotaiin	ZL3b|f104v.41|G009			daiin y cheeo chey okeeey qokeeey okeey okeey
ZL3b	f106r|f106r.42-f106r.47	f106r	ZL3b|f106r.43|G003	daiin	C	sheol	ZL3b|f106r.43|G002	UNKNOWN_HEAD					daiiral sheol daiin otedy qokain okar cheor al taiin chekal otaras
ZL3b	f107v|f107v.45-f107v.49	f107v	ZL3b|f107v.47|G008	daiin	C	qokeey	ZL3b|f107v.47|G007	UNKNOWN_HEAD					y cheey qokeey okeoteey qokey qokey qokeey daiin y okeey odain
ZL3b	f108r|f108r.8-f108r.13	f108r	ZL3b|f108r.11|G009	dain	B	ykeeo	ZL3b|f108r.11|G008	UNKNOWN_HEAD	okaiin	ZL3b|f108r.11|G007	cthey	ZL3b|f108r.9|G001	te[o:a]deey ar aiin okeey qetchdy oteeody okaiin ykeeo dain otalaiin oly
ZL3b	f108r|f108r.8-f108r.13	f108r	ZL3b|f108r.12|G003	dain	B	okchey	ZL3b|f108r.12|G002	UNKNOWN_HEAD	okaiin	ZL3b|f108r.11|G007	cthey	ZL3b|f108r.9|G001	tshey okchey dain aloiin ocheey qokaiin chlam okaiin okal kain alam
ZL3b	f111r|f111r.6-f111r.35	f111r	ZL3b|f111r.6|G001	dain	B			NO_LEFT_HEAD					dain shedy qoky chedy qok shed olchedy qokeedy teedy chdy keedy qotchedy dary
ZL3b	f111r|f111r.6-f111r.35	f111r	ZL3b|f111r.8|G001	daiin	C			NO_LEFT_HEAD					daiin o chedain daiin cheedy qokeey qokedy ch{ckhh}y otshedy lkeeol lkeey qotchdy
ZL3b	f111r|f111r.6-f111r.35	f111r	ZL3b|f111r.8|G004	daiin	C	chedain	ZL3b|f111r.8|G003	UNKNOWN_HEAD					daiin o chedain daiin cheedy qokeey qokedy ch{ckhh}y otshedy lkeeol lkeey qotchdy
