exact_card_id	component_recipe	meaning_de	unselected_registered_surface	why_extra_learning_is_needed
PROC009	AIIN	SOLLMASS	taiin	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC013	OL	WEITER	chol	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC013	OL	WEITER	sol	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC016	OR	ANSATZ	sor	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC019	Y	POSTEN	chy	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC019	Y	POSTEN	sy	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC055	AL	ZIELSTELLE	chal	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC055	AL	ZIELSTELLE	tal	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC076	CHD+DY	UMSETZEN · SCHLUSS	tchedy	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
PROC117	CTH+E+Y	BEREITEN · KURZ · POSTEN	shcthey	Keines der vier kompakten Präferenzprofile wählt diese zusätzliche registrierte Variante.
