exact_card_id	component_recipe	meaning_de	registered_surfaces	registered_variant_count	S1_BARE	S2_CH	S3_Q_SH	S4_D_T	distinct_profile_choices	profile_sensitive
PROC001	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	dchey	1	dchey	dchey	dchey	dchey	1	NO
PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	cthoor	1	cthoor	cthoor	cthoor	cthoor	1	NO
PROC003	AR	QUELLE	char|dar|sar	3	dar	char	sar	dar	3	YES
PROC004	T+Y	BEARBEITEN · POSTEN	chety|chty	2	chty	chety	chty	chty	2	YES
PROC005	OS	DAZU	os	1	os	os	os	os	1	NO
PROC006	CH+AIR	ENTNEHMEN · WASSER	chair	1	chair	chair	chair	chair	1	NO
PROC007	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	otytchol	1	otytchol	otytchol	otytchol	otytchol	1	NO
PROC008	OK+Y	ANSETZEN · POSTEN	choky|oky|qoky	3	oky	choky	qoky	oky	3	YES
PROC011	OK+Y	ANSETZEN · POSTEN	chokchy|okchy|qokchy	3	okchy	chokchy	qokchy	okchy	3	YES
PROC009	AIIN	SOLLMASS	aiin|chaiin|daiin|saiin|taiin	5	aiin	chaiin	saiin	daiin	4	YES
PROC010	E+T+Y	KURZ · BEARBEITEN · POSTEN	etyd	1	etyd	etyd	etyd	etyd	1	NO
PROC012	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	qotchol	1	qotchol	qotchol	qotchol	qotchol	1	NO
PROC013	OL	WEITER	cheol|chol|ol|qol|sol|tol	6	ol	cheol	qol	tol	4	YES
PROC115	OL	WEITER	ls	1	ls	ls	ls	ls	1	NO
PROC014	CTH+Y	BEREITEN · POSTEN	checthy|cthy|shcthy	3	cthy	checthy	shcthy	cthy	3	YES
PROC015	Y+CH+E+OR	POSTEN · ENTNEHMEN · KURZ · ANSATZ	ycheor	1	ycheor	ycheor	ycheor	ycheor	1	NO
PROC016	OR	ANSATZ	chor|or|shor|sor	4	or	chor	shor	or	3	YES
PROC017	CTH+AIIN	BEREITEN · SOLLMASS	cthaiin	1	cthaiin	cthaiin	cthaiin	cthaiin	1	NO
PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · POSTEN	qoctholy	1	qoctholy	qoctholy	qoctholy	qoctholy	1	NO
PROC019	Y	POSTEN	chey|chy|dy|shy|sy|y	6	y	chey	shy	dy	4	YES
PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	otchor|qotchor	2	otchor	otchor	qotchor	otchor	2	YES
PROC021	OT+OL	DANACH · WEITER	otol	1	otol	otol	otol	otol	1	NO
PROC022	OL+OR	WEITER · ANSATZ	cholor|olor	2	olor	cholor	olor	olor	2	YES
PROC023	O+Y+K+OR	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	oykchor	1	oykchor	oykchor	oykchor	oykchor	1	NO
PROC024	K+IIN	ZUGEBEN · STUFE	kaiiin	1	kaiiin	kaiiin	kaiiin	kaiiin	1	NO
PROC025	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	chodaiin	1	chodaiin	chodaiin	chodaiin	chodaiin	1	NO
PROC026	T+SH+OL	BEARBEITEN · HALTEN · WEITER	tshol	1	tshol	tshol	tshol	tshol	1	NO
