statement_id	record_unit_id	page	event_ids	surface_sequence	atomic_sequence	event_count	productive_events	whole_card_events
H1-S001	H1	f10r	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzelteil → Säubern → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Auffangen → Einsetzen → Sollmaß → Wurzelteil	10	8	2
H1-S002	H1	f10r	E011|E012|E013|E014	qokchy qotchol chol cthy	Einsetzen → Anwärmen → Fortsetzung → Bereit	4	4	0
H2-S001	H2	f10r	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Pflanzenspitzen → Bereit → Ansatz → Krautzerstoßen → Abpressen → Diesposten → Diesposten → Sollmaß → Diesposten	9	9	0
H2-S002	H2	f10r	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	8	8	0
H2-S003	H2	f10r	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	Glasiergefäß → Ansatz → Ansatz → Diesposten → Weichstufe → Diesposten → Geschwür	7	7	0
H3-S001	H3	f11r	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	Blütenkraut → Weinsud → Auswringen → Standzeit → Nachseihen → Klarauszug → Kühlschluss	7	1	6
H3-S002	H3	f11r	E046	shoyty	Blütenrückhalt	1	1	0
H3-S003	H3	f11r	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	Fortsetzungsposten → Diesposten → Trank → Diesposten → Sollmaß	5	5	0
H3-S004	H3	f11r	E052|E053|E054|E055	qotchy okchol cthy dy	Blütenrückhalt → Fortsetzungseinsatz → Bereit → Diesposten	4	4	0
H4-S001	H4	f55v	E056|E057|E058|E059|E060	qokaiin chaiin ykain ykan ody	Sollstellung → Sollmaß → Postenportion → Diesportion → Kühlschluss	5	5	0
H4-S002	H4	f55v	E061|E062|E063	daiin chedy talam	Sollmaß → Umsetzen → Verwahren	3	2	1
H4-S003	H4	f55v	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	4	4	0
H4-S004	H4	f55v	E068|E069|E070|E071|E072|E073	aiin okal oltchy or y orain	Sollmaß → Zieleinsatz → Anwärmen → Ansatz → Diesposten → Ansatzportion	6	6	0
H5-S001	H5	f56r	E074|E075|E076|E077|E078|E079|E080|E081|E082	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz → Zutat → Blütebeginn → Sollmaß → Zutat → Auflegen → Folgeansatz → Einsetzen → Stelle	9	9	0
H5-S002	H5	f56r	E083|E084|E085|E086	schol choy choky cheeckhody	Fortsetzungsposten → Waschen → Einsetzen → Auftragsschluss	4	3	1
H5-S003	H5	f56r	E087|E088|E089|E090	sh cho kchey qokokchy	Pflanzenteil → Zutat → Grobzerreiben → Wiedereinsatz	4	3	1
H5-S004	H5	f56r	E091|E092|E093	okchy chokcheo kchal	Einsetzen → Auszugzugabe → Abseihen	3	3	0
H5-S005	H5	f56r	E094|E095|E096|E097	sho chokchy kchoar sotodan	Zutat → Einsetzen → Gebrauchsauszug → Gebrauchen	4	3	1
H5-S006	H5	f56r	E098|E099|E100	otchey keol daiin	Folgeposten → Einzelgabe → Sollmaß	3	3	0
B1-S001	B1	f81v	E101	qokedy	Kurzkontakt	1	1	0
B1-S002	B1	f81v	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	19	18	1
B1-S003	B1	f81v	E121|E122	qol sshkchdy	Fortsetzung → übertragen	2	1	1
B1-S004	B1	f81v	E123|E124|E125	chedy ol shedy	Umsetzen → Fortsetzung → Kurzabsetzung	3	3	0
B1-S005	B1	f81v	E126	qolchedy	weiterführen	1	1	0
B1-S006	B1	f81v	E127|E128|E129|E130	qokain shckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	4	3	1
B1-S007	B1	f81v	E131	qokchdy	Neueinsatz	1	1	0
B1-S008	B1	f81v	E132|E133|E134|E135|E136	chey ol cheky ol shedy	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	5	5	0
B1-S009	B1	f81v	E137	qokedy	Kurzkontakt	1	1	0
B1-S010	B1	f81v	E138	qokedy	Kurzkontakt	1	1	0
B1-S011	B1	f81v	E139|E140	chckhy qoky	durchleiten → Einsetzen	2	2	0
B1-S012	B1	f81v	E141|E142|E143	lsho qokey lshedy	Waschgang → Kurzkontakt → Waschgang	3	3	0
B1-S013	B1	f81v	E144	lshedy	Waschgang	1	1	0
