deck_order	component_id	component_tier	atomic_value_de	teaching_rule	support_event_count	licensing_scope
1	OK	SHARED_PRODUCTIVE	Einsetzen	den folgenden Posten in den laufenden Arbeitsgang setzen	78	shared across the selected prose registers
2	OL	SHARED_PRODUCTIVE	Fortsetzung	im selben Arbeitsgang, Ring oder Satz fortfahren	48	shared across the selected prose registers
3	OT	SHARED_PRODUCTIVE	Folge	zum folgenden Arbeits- oder Diagrammposten wechseln	26	shared across the selected prose registers
4	AR	SHARED_PRODUCTIVE	Quelle	die bezeichnete Quelladresse lesen	14	shared across the selected prose registers
5	AL	SHARED_PRODUCTIVE	Stelle	die bezeichnete Zieladresse lesen	38	shared across the selected prose registers
6	L	SHARED_PRODUCTIVE	Abzug	aus dem aktiven Posten heraus- oder abführen	23	shared across the selected prose registers
7	P	SHARED_PRODUCTIVE	Zuführung	in einen lokalen Empfänger zuführen	2	shared across the selected prose registers
8	AIN	SHARED_PRODUCTIVE	Portion	eine abgegrenzte Teilmenge	15	shared across the selected prose registers
9	AN	SHARED_PRODUCTIVE	Zweitportion	eine zweite oder alternative Teilmenge	1	shared across the selected prose registers
10	AIIN	SHARED_PRODUCTIVE	Sollmaß	den im Exemplar vorgeschriebenen Wert oder Grad	39	shared across the selected prose registers
11	IIN	SHARED_PRODUCTIVE	Stufe	eine benannte Arbeits- oder Bearbeitungsstufe	4	shared across the selected prose registers
12	E	SHARED_PRODUCTIVE	Kurzgrad	kurz oder unmittelbar ausführen	41	shared across the selected prose registers
13	EE	SHARED_PRODUCTIVE	Langgrad	länger halten oder fortsetzen	33	shared across the selected prose registers
14	EEE	SHARED_PRODUCTIVE	Vollgrad	bis zur vollen Stufe ausführen	2	shared across the selected prose registers
15	Y	SHARED_PRODUCTIVE	Diesposten	den aktuell gemeinten Posten referieren	103	shared across the selected prose registers
16	DY	SHARED_PRODUCTIVE	Schluss	nur als lizenzierte Endkarte die Zelle schließen	90	shared across the selected prose registers
17	OR	SHARED_PRODUCTIVE	Ansatz	den laufenden Ansatz oder Bedingungssatz eröffnen	17	shared across the selected prose registers
18	HO	SHARED_PRODUCTIVE	Zutat	eine weitere Zutat oder einen Materialteil einsetzen	11	shared across the selected prose registers
19	CHEO	SHARED_PRODUCTIVE	Auszug	einen gewonnenen Auszug bezeichnen	4	shared across the selected prose registers
20	AIR	SHARED_PRODUCTIVE	Wasserlauf	einen Lauf oder eine Bahn markieren; lokal Wasserlauf	5	shared across prose wet-work and Astro path labels
21	CHED	SHARED_PRODUCTIVE	Überführen	Material von einer Station in die nächste bringen	40	shared across the selected prose registers
22	CHD	SHARED_PRODUCTIVE	Umsetzen	kurze Allomorphie derselben Transferhandlung	18	shared across the selected prose registers
23	CTH	SHARED_PRODUCTIVE	Bereit	einen Posten als vorbereitet oder bereit setzen	16	shared across the selected prose registers
24	SHED	SHARED_PRODUCTIVE	Absetzen	ruhen und sich absetzen lassen	17	shared across the selected prose registers
25	CHK	SHARED_PRODUCTIVE	Wärme	den Posten erwärmen oder warm halten	7	shared across the selected prose registers
26	CKH	SHARED_PRODUCTIVE	Durchlass	durch einen Gang oder eine Passage führen	9	shared across the selected prose registers
27	CKHE	SHARED_PRODUCTIVE	Seihen	durch einen trennenden Durchlass führen	4	shared across the selected prose registers
28	SOLK	SHARED_PRODUCTIVE	Auffangen	an einer lokalen Sammel- oder Auffangstelle halten	6	shared across the selected prose registers
29	LSH	SHARED_PRODUCTIVE	Waschen	einen Wasch- oder Spülgang ausführen	3	shared across the selected prose registers
30	TY	SHARED_PRODUCTIVE	Teil	einen Materialteil oder Rest bezeichnen	6	shared across the selected prose registers
31	CHO_INPUT	LICENSED_LOCAL_CORE	Eingabe	input or condition card in the cross-register slot	5	only in the listed card constructions
32	O_WITHDRAW	LICENSED_LOCAL_CORE	Rücknahme	licensed only inside the ODY terminal card	1	only in the listed card constructions
33	OS_RECEIVER	LICENSED_LOCAL_CORE	Aufnahme	receiving or enclosing work field	1	only in the listed card constructions
34	CH_POUR	LICENSED_LOCAL_CORE	Zuguss	pour the running medium into the active preparation	1	only in the listed card constructions
35	TCH_PREPARATION	LICENSED_LOCAL_CORE	Zubereitung	name the active preparation inside an OL continuation frame	1	only in the listed card constructions
36	OYK_VESSEL	LICENSED_LOCAL_CORE	Gefäß	name the vessel carrying the active batch	1	only in the listed card constructions
37	K_BINDER	LICENSED_LOCAL_CORE	Binder	bind Y to a portion grade or CHO to a source	4	only in the listed card constructions
38	YTY_PART	LICENSED_LOCAL_CORE	Folgeteil	name the selected additive or following part	2	only in the listed card constructions
39	SHFY_DURATION	LICENSED_LOCAL_CORE	Standzeit	turn the prescribed value into a standing duration	1	only in the listed card constructions
40	D_PREVIOUS	LICENSED_LOCAL_CORE	Vorposten	take the continuation from the previous working step	2	only in the listed card constructions
