copy_position	event_id	owner_code	statement_id	source_surface	copy_surface	joint_tuple_id	read_route	strict_parse	short_atomic_reading_de	picture_argument	exact_identity_preserved
1	E056	H4	H4-S001	qokaiin	okaiin	b5fcea1eaed06b2f2291	COMPONENT_DIRECT	OK+AIIN	auf Sollmaß einstellen	H4_PICTURED_PLANT_PREPARATION	YES
2	E057	H4	H4-S001	chaiin	aiin	2f1c5e56e8f0ff459065	COMPONENT_DIRECT	AIIN	Sollmaß	H4_PICTURED_PLANT_PREPARATION	YES
3	E058	H4	H4-S001	ykain	ykain	403c1592f918c8f23b88	COMPONENT_DIRECT	Y+AIN	Portion des Diespostens	H4_PICTURED_PLANT_PREPARATION	YES
4	E059	H4	H4-S001	ykan	ykan	d929a14ec45749b2e805	COMPONENT_DIRECT	Y+AIN	diese Portion	H4_PICTURED_PLANT_PREPARATION	YES
5	E060	H4	H4-S001	ody	ody	97cc9ac109148723c472	NOMENCLATOR_WHOLE	ODY	kühlen; Schluss	H4_PICTURED_PLANT_PREPARATION	YES
6	E061	H4	H4-S002	daiin	aiin	2f1c5e56e8f0ff459065	COMPONENT_DIRECT	AIIN	Sollmaß	H4_PICTURED_PLANT_PREPARATION	YES
7	E062	H4	H4-S002	chedy	chdy	6f7ff8287eddf4da9fdb	COMPONENT_DIRECT	CHED+Y	Diesposten umsetzen	H4_PICTURED_PLANT_PREPARATION	YES
8	E063	H4	H4-S002	talam	talam	e026af581c99322fbd46	NOMENCLATOR_WHOLE	TALAM	verwahren	H4_PICTURED_PLANT_PREPARATION	YES
9	E064	H4	H4-S003	ykaiin	ykaiin	f7dc90b2c31fd341f0a4	COMPONENT_DIRECT	Y+AIIN	Sollmaß des Diespostens	H4_PICTURED_PLANT_PREPARATION	YES
10	E065	H4	H4-S003	cheoar	cheoar	807591efc3d3f7ddbfab	COMPONENT_DIRECT	CHEO+AR	Auszug daraus nehmen	H4_PICTURED_PLANT_PREPARATION	YES
11	E066	H4	H4-S003	cheeky	cheeky	2c1a5fd92b9e3c762242	COMPONENT_DIRECT	CHK+EE+Y	länger wärmen; offen	H4_PICTURED_PLANT_PREPARATION	YES
12	E067	H4	H4-S003	oldy	oldy	1b1ffdd869fb1429ad03	COMPONENT_DIRECT	OL+DY	fortsetzen; Schluss	H4_PICTURED_PLANT_PREPARATION	YES
13	E068	H4	H4-S004	aiin	chaiin	2f1c5e56e8f0ff459065	COMPONENT_DIRECT	AIIN	Sollmaß	H4_PICTURED_PLANT_PREPARATION	YES
14	E069	H4	H4-S004	okal	qokal	308e8ea2d5d190c498e8	COMPONENT_DIRECT	OK+AL	an Zielstelle einsetzen	H4_PICTURED_PLANT_PREPARATION	YES
15	E070	H4	H4-S004	oltchy	oltchy	204b04837409088c48f9	NOMENCLATOR_WHOLE	OLTCHY	anwärmen	H4_PICTURED_PLANT_PREPARATION	YES
16	E071	H4	H4-S004	or	chor	7a4bb8136330ee4e6e56	COMPONENT_DIRECT	OR	Ansatz	H4_PICTURED_PLANT_PREPARATION	YES
17	E072	H4	H4-S004	y	chey	b921a237be883a820352	COMPONENT_DIRECT	Y	Diesposten	H4_PICTURED_PLANT_PREPARATION	YES
18	E073	H4	H4-S004	orain	orain	6afeb5c9ab9f6cbdea0d	COMPONENT_DIRECT	OR+AIN	Ansatzportion	H4_PICTURED_PLANT_PREPARATION	YES
19	E285	B3	B3-S026	cheedar	cheedar	342c3f0777337648f4b3	NOMENCLATOR_WHOLE	CHEEDAR	Beckenstation	B3_VISIBLE_BASIN_STATION	YES
20	E286	B3	B3-S026	chldaiin	chldaiin	d72f71baff01cd0a0406	COMPONENT_DIRECT	CHLD+AIIN	Absetzstand	B3_VISIBLE_BASIN_STATION	YES
21	E287	B3	B3-S026	chedy	chdy	6f7ff8287eddf4da9fdb	COMPONENT_DIRECT	CHED+Y	Diesposten umsetzen	B3_VISIBLE_BASIN_STATION	YES
22	E288	B3	B3-S026	qokain	okain	1645e612504fcef59ced	COMPONENT_DIRECT	OK+AIN	Portion zugeben	B3_VISIBLE_BASIN_STATION	YES
23	E289	B3	B3-S026	checthy	cthy	e0b630cb1b5df5e7105b	COMPONENT_DIRECT	CTH+Y	bereit	B3_VISIBLE_BASIN_STATION	YES
24	E290	B3	B3-S026	chealror	chealror	d788d8d72d41b25a3c71	NOMENCLATOR_WHOLE	CHEALROR	Klarpunkt	B3_VISIBLE_BASIN_STATION	YES
25	E291	B3	B3-S026	solkeedy	olkeedy	3b70942557b3a40e8030	COMPONENT_DIRECT	SOLK+EE+DY	länger auffangen; Schluss	B3_VISIBLE_BASIN_STATION	YES
