replay_slot_ordinal	carrier_slot_id	primary_governor_key	physical_page	register	gate_class	gdt583_rule_id	gdt584_rule_id	portable_runtime_rule_id	written_carrier_ordinal	carrier_root	portable_core	expected_context_family	expected_lemma_de	expected_object_form_de	expected_genitive_form_de	historical_rule_lemma_de	historical_rule_exact	portable_lookup_route	observed_register_root_alternatives_de	portable_context_family	portable_lemma_de	portable_object_form_de	portable_genitive_form_de	portable_exact	portable_visible_exact	expected_packet_rule_id	portable_packet_rule_id	guard	gdt590_context_family	gdt590_lemma_de	gdt590_object_form_de	gdt590_genitive_form_de	gdt590_changed	gdt590_decision_source	gdt590_retained_alternative_de	gdt590_guard
1	RUNNING:G407-E0004@3	ACTION:G407-E0004@2:T	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	T_SOURCE_FIX	T_SOURCE_FIX	T_SOURCE_FIX	1	AIIN	WERT	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	Flüssigkeitsmenge	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsflüssigkeit/Flüssigkeitsmenge	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
2	RUNNING:G407-E0006@2	ACTION:G407-E0006@1:SH	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	SH_SOURCE_REST	SH_SOURCE_REST	SH_SOURCE_REST	1	OR	EINHEIT	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	Ansatz	YES	OBSERVED_ACTION_ROOT_CELL	Ansatz	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
3	RUNNING:G407-E0006@3	ACTION:G407-E0006@1:SH	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	SH_SOURCE_REST	SH_SOURCE_REST	SH_SOURCE_REST	2	Y	POSTEN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	Arbeitsmaterial	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsgut/Arbeitsmaterial	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
4	RUNNING:G407-E0008@1	ACTION:G407-E0007@5:S	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	1	Y	POSTEN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	Arbeitsmaterial	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsgut/Arbeitsmaterial	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
5	RUNNING:G407-E0010@4	ACTION:G407-E0010@1:SH	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	SH_SOURCE_REST	SH_SOURCE_REST	SH_SOURCE_REST	1	Y	POSTEN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	Arbeitsmaterial	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsgut/Arbeitsmaterial	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
6	RUNNING:G407-E0011@2	ACTION:G407-E0011@1:S	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	1	OR	EINHEIT	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	Ansatz	YES	OBSERVED_ACTION_ROOT_CELL	Ansatz	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
7	RUNNING:G407-E0011@3	ACTION:G407-E0011@1:S	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	2	Y	POSTEN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	Arbeitsmaterial	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsgut/Arbeitsmaterial	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
8	RUNNING:G407-E0016@3	ACTION:G407-E0016@2:T	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	T_SOURCE_FIX	T_SOURCE_FIX	T_SOURCE_FIX	1	AIIN	WERT	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	Flüssigkeitsmenge	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsflüssigkeit/Flüssigkeitsmenge	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
9	RUNNING:G407-E0021@1	ACTION:G407-E0020@2:T	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	T_SOURCE_FIX	T_SOURCE_FIX	T_SOURCE_FIX	1	AIN	ANTEIL	SOURCE_PART	Teilmenge	die Teilmenge	der Teilmenge	Teilmenge	YES	OBSERVED_ACTION_ROOT_CELL	Teilmenge	SOURCE_PART	Teilmenge	die Teilmenge	der Teilmenge	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_PART	Teilmenge	die Teilmenge	der Teilmenge	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
10	RUNNING:G407-E0022@2	ACTION:G407-E0022@1:S	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	1	Y	POSTEN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	Arbeitsmaterial	YES	OBSERVED_ACTION_ROOT_CELL	Arbeitsgut/Arbeitsmaterial	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	YES	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	EXACT_SLOT_ID_AND_WRITTEN_ORDINAL__NO_ROOT_OR_MULTIPLICITY_COLLAPSE	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	NO	GDT589_RETAINED	NOT_APPLICABLE	GDT589_SLOT_RETAINED
