packet_host_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	register	gate_class	gdt584_rule_id	packet_rule_id	carrier_slot_count	written_root_sequence	written_root_multiset	ordered_written_slot_lemmas_de	written_slot_count_trace_de	packet_composition_elements_de	packet_template_de	sentence_layer_de	display_gap_class	portable_packet_rule_match	historical_explicit_replay	guard	gdt590_ordered_written_slot_lemmas_de	gdt590_packet_composition_elements_de	gdt590_sentence_layer_de	body_blockers_present	gdt590_packet_class	gdt590_changed	gdt590_guard
24	ACTION:G407-E2404@1:SH	G407-E2404	G407-S312	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	Y+AIIN	Y*1+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung	Stationsansatz ×1; Badfüllung ×1	Körper ×1; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	Y=Körper | AIIN=Badfüllung	Körper ×1; Badfüllung ×1	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	NONE	CLEAN_BODY_PLUS_FILL	YES	BODY_AND_FILL_COMPOSE__AIIN_DOES_NOT_RECLASSIFY_Y
25	ACTION:G407-E2426@1:SH	G407-E2426	G407-S321	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung	Badfüllung ×1	Halte die Badfüllung auf Grad I	NONE	FILL_ONLY	NO	GDT589_PACKET_RETAINED
26	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Stationsansatz ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	AR	BLOCKED_STATION_PLUS_FILL	NO	GDT589_PACKET_RETAINED
28	ACTION:G407-E2637@1:SH	G407-E2637	G407-S382	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Körper ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad II	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung | Y=Körper	Badfüllung ×1; Körper ×1	Halte den Körper im Bad bei der angegebenen Füllung auf Grad II	NONE	CLEAN_BODY_PLUS_FILL	YES	BODY_AND_FILL_COMPOSE__AIIN_DOES_NOT_RECLASSIFY_Y
29	ACTION:G407-E2647@1:SH	G407-E2647	G407-S384	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung	Badfüllung ×1	Halte die Badfüllung	NONE	FILL_ONLY	NO	GDT589_PACKET_RETAINED
30	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Körper ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung | Y=Körper	Badfüllung ×1; Körper ×1	Halte den Körper im Bad bei der angegebenen Füllung	NONE	CLEAN_BODY_PLUS_FILL	YES	BODY_AND_FILL_COMPOSE__AIIN_DOES_NOT_RECLASSIFY_Y
35	ACTION:G407-E3182@1:SH	G407-E3182	G407-S495	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	Y+AIIN	Y*1+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung	Stationsansatz ×1; Badfüllung ×1	Körper ×1; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad II	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	Y=Körper | AIIN=Badfüllung	Körper ×1; Badfüllung ×1	Halte den Körper im Bad bei der angegebenen Füllung auf Grad II	NONE	CLEAN_BODY_PLUS_FILL	YES	BODY_AND_FILL_COMPOSE__AIIN_DOES_NOT_RECLASSIFY_Y
36	ACTION:G407-E3218@1:SH	G407-E3218	G407-S502	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung	Badfüllung ×1	Halte die Badfüllung auf Grad I	NONE	FILL_ONLY	NO	GDT589_PACKET_RETAINED
38	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	3	Y+AIIN+Y	Y*2+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung | Y=Stationsansatz	Stationsansatz ×2; Badfüllung ×1	Stationsansatz ×2; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	Y=Stationsansatz | AIIN=Badfüllung | Y=Stationsansatz	Stationsansatz ×2; Badfüllung ×1	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	L	BLOCKED_STATION_PLUS_FILL	NO	GDT589_PACKET_RETAINED
39	ACTION:G407-E3441@1:SH	G407-E3441	G407-S556	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung	Badfüllung ×1	Halte die Badfüllung auf Grad I	NONE	FILL_ONLY	NO	GDT589_PACKET_RETAINED
40	ACTION:G407-E3621@1:SH	G407-E3621	G407-S599	f83r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT	AIIN=Badfüllung	Badfüllung ×1	Halte die Badfüllung auf Grad I	NONE	FILL_ONLY	NO	GDT589_PACKET_RETAINED
