record	at	word	gloss	value_loci	fields	distinct_materials	E_partial_work	L_partial_work	T_partial_work	row_status
f21r	f21r.10:3	chy	verarbeite	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f21r	f21r.11:7	shey	fülle ein	f21r.12:7	1	chor	Q*U_E	1*Q*U_E	Q*U_E/U_M*(m(chor))	recorded
f32v	f32v.7:2	cphos	zerreibe	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f32v	f32v.7:3	she	lasse stehen	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f32v	f32v.7:8	shckhy	vermische	f32v.8:2,f32v.8:3,f32v.8:5	3	ctho,odan,otchol	Q*U_E	3*Q*U_E	Q*U_E/U_M*(m(ctho)+m(odan)+m(otchol))	recorded
f32v	f32v.8:7	otchy	entnimm	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f32v	f32v.9:1	qotchy	siebe	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f32v	f32v.9:3	skey	halte zurück	f32v.9:5,f32v.9:7,f32v.10:5	3	chocthy,chor,cthaiin	Q*U_E	3*Q*U_E	Q*U_E/U_M*(m(chocthy)+m(chor)+m(cthaiin))	recorded
f32v	f32v.10:6	cpho	zerstoße	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f32v	f32v.11:3	chy	verarbeite	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.1:3	chetchy	zerkleinere	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.1:6	shytchy	benetze	f29v.1:11	1	cthy	Q*U_E	1*Q*U_E	Q*U_E/U_M*(m(cthy))	recorded
f29v	f29v.2:6	chey	prüfe	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.3:4	shey	fülle ein	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.3:6	qotchy	siebe	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.3:9	she	lasse stehen	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
f29v	f29v.4:7	shot	erwärme	NONE	0	NONE	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	UNKNOWN_UNPRICED	recorded
