model	record	at	word	reading	row_status
M	f17r	f17r.4:1	tcho	⟦tcho⟧	recorded
M	f17r	f17r.4:2	shol	⟦shol⟧	recorded
M	f17r	f17r.4:3	qokol	⟦qokol⟧	recorded
M	f17r	f17r.4:4	qor	⟦qor⟧	recorded
M	f17r	f17r.4:5	olaiin	⟦olaiin⟧	recorded
M	f17r	f17r.4:6	opydg	⟦opydg⟧	recorded
M	f17r	f17r.4:7	som	⟦som⟧	recorded
M	f17r	f17r.4:8	ypchy	⟦ypchy⟧	recorded
M	f17r	f17r.4:9	ypaim	⟦ypaim⟧	recorded
M	f17r	f17r.5:1	ychekchy	⟦ychekchy⟧	recorded
M	f17r	f17r.5:2	cthy	Pflanzengut	recorded
M	f17r	f17r.5:3	chor	Blüten	recorded
M	f17r	f17r.5:4	shor	Samen	recorded
M	f17r	f17r.5:5	cphor	⟦cphor⟧	recorded
M	f17r	f17r.5:6	cphaldy	⟦cphaldy⟧	recorded
M	f17r	f17r.5:7	dair	⟦dair⟧	recorded
M	f17r	f17r.5:8	cthey	⟦cthey⟧	recorded
M	f17r	f17r.5:9	qody	⟦qody⟧	recorded
M	f17r	f17r.6:1	tsho	⟦tsho⟧	recorded
M	f17r	f17r.6:2	qof	⟦qof⟧	recorded
M	f17r	f17r.6:3	cho	Inneres	recorded
M	f17r	f17r.6:4	qokcheor	⟦qokcheor⟧	recorded
M	f17r	f17r.6:5	cheteg	⟦cheteg⟧	recorded
M	f21r	f21r.8:1	fcho	⟦fcho⟧	recorded
M	f21r	f21r.8:2	kshy	⟦kshy⟧	recorded
M	f21r	f21r.8:3	otor	⟦otor⟧	recorded
M	f21r	f21r.8:4	sheol	⟦sheol⟧	recorded
M	f21r	f21r.8:5	ocphal	⟦ocphal⟧	recorded
M	f21r	f21r.8:6	opsheas	⟦opsheas⟧	recorded
M	f21r	f21r.8:7	cthodaiin	⟦cthodaiin⟧	recorded
M	f21r	f21r.8:8	oty	⟦oty⟧	recorded
M	f21r	f21r.9:1	okaiin	Ansatz	recorded
M	f21r	f21r.9:2	sho	Flüssigkeit	recorded
M	f21r	f21r.9:3	tshaiin	⟦tshaiin⟧	recorded
M	f21r	f21r.9:4	chkaiin	⟦chkaiin⟧	recorded
M	f21r	f21r.9:5	sh	⟦sh⟧	recorded
M	f21r	f21r.9:6	cthey	⟦cthey⟧	recorded
M	f21r	f21r.9:7	cthody	⟦cthody⟧	recorded
M	f21r	f21r.9:8	cthy	Pflanzengut	recorded
M	f21r	f21r.9:9	s	je	recorded
M	f21r	f21r.10:1	totchy	⟦totchy⟧	recorded
M	f21r	f21r.10:2	keor	⟦keor⟧	recorded
M	f21r	f21r.10:3	chy	verarbeite	recorded
M	f21r	f21r.10:4	ky	⟦ky⟧	recorded
M	f21r	f21r.10:5	qotaiin	abgeteilte Portion	recorded
M	f21r	f21r.10:6	qotchol	⟦qotchol⟧	recorded
