visible_insert	visible_position	atom_insert	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	examples
al	INNER	NULL	NULL	2	34	6	0.067567568	0.500000000	okaiin>okalaiin | okchal>okalchal
al	LEFT	NULL	NULL	1	12	5	0.103448276	0.333333333	olor>alolor
ar	INNER	NULL	NULL	1	17	9	0.069767442	0.333333333	otain>otarain
ch	INNER	NULL	NULL	22	67	6	0.321428571	0.916666667	ky>kchy | qoty>qotchy | qoky>qokchy | qokol>qokchol | yty>ytchy | kol>kchol | dol>dchol | tol>tchol
ch	LEFT	NULL	NULL	29	88	5	0.325966851	0.935483871	y>chy | ol>chol | ar>char | ok>chok | olor>cholor | ckhy>chckhy | oky>choky | ckho>chckho
che	INNER	NULL	NULL	6	28	7	0.206349206	0.750000000	oky>okchey | oly>olchey | oty>otchey | ory>orchey | ly>lchey | qoly>qolchey
che	LEFT	NULL	NULL	5	38	6	0.134146341	0.714285714	y>chey | cthy>checthy | alor>chealor | aly>chealy | al>cheal
d	INNER	NULL	NULL	16	56	5	0.282051282	0.888888889	olain>oldain | cheoy>cheody | chealy>chealdy | chcphy>chcphdy | qokaly>qokaldy | sheal>shedal | laiin>ldaiin | opshey>opshedy
d	LEFT	NULL	NULL	12	47	5	0.252525253	0.857142857	aiin>daiin | ain>dain | al>dal | y>dy | oldy>doldy | alchdy>dalchdy | shedy>dshedy | aly>daly
d	RIGHT	NULL	NULL	1	12	3	0.111111111	0.333333333	ety>etyd
dy	RIGHT	NULL	NULL	1	52	4	0.027777778	0.333333333	sheeol>sheeoldy
e	INNER	NULL	NULL	19	117	14	0.157258065	0.904761905	chkain>chekain | chy>chey | okchy>okchey | chdy>chedy | ochdy>ochedy | chdal>chedal | chkaiin>chekaiin | chkar>chekar
ed	INNER	NULL	NULL	1	26	8	0.050000000	0.333333333	okal>okedal
ee	INNER	NULL	NULL	1	56	10	0.024590164	0.333333333	ykoly>ykeeoly
eo	INNER	NULL	NULL	1	18	6	0.071428571	0.333333333	chcphey>cheocphey
h	INNER	NULL	NULL	1	2	2	0.500000000	0.333333333	sy>shy
hc	INNER	NULL	NULL	5	26	3	0.200000000	0.714285714	ckhy>chckhy | ckho>chckho | cthal>chcthal | ckhol>chckhol | chky>chchky
hec	INNER	NULL	NULL	1	10	4	0.125000000	0.333333333	cthy>checthy
i	INNER	NULL	NULL	5	10	3	0.478260870	0.714285714	soin>soiin | dan>dain | oin>oiin | oiin>oiiin | oiiin>oiiiin
ii	INNER	NULL	NULL	2	3	2	0.625000000	0.500000000	oin>oiiin | oiin>oiiiin
iii	INNER	NULL	NULL	1	1	1	1.000000000	0.333333333	oin>oiiiin
is	RIGHT	NULL	NULL	1	1	1	1.000000000	0.333333333	oto>otois
j	INNER	NULL	NULL	1	1	1	1.000000000	0.333333333	ay>ajy
ka	INNER	NULL	NULL	1	4	4	0.250000000	0.333333333	checkhy>chekackhy
ke	LEFT	NULL	NULL	1	4	2	0.300000000	0.333333333	odar>keodar
kl	INNER	NULL	NULL	1	1	1	1.000000000	0.333333333	lchey>lklchey
la	INNER	NULL	NULL	1	12	4	0.107142857	0.333333333	okaiin>okalaiin
lk	LEFT	NULL	NULL	1	8	2	0.166666667	0.333333333	lchey>lklchey
n	RIGHT	NULL	NULL	1	3	3	0.333333333	0.333333333	saii>saiin
od	INNER	NULL	NULL	1	26	7	0.050847458	0.333333333	daiiny>daiinody
oe	INNER	NULL	NULL	1	6	3	0.200000000	0.333333333	yteey>yoeteey
ol	RIGHT	NULL	NULL	1	33	5	0.042253521	0.333333333	chkor>chkorol
or	RIGHT	NULL	NULL	1	28	4	0.050000000	0.333333333	okeol>okeolor
os	INNER	NULL	NULL	1	4	3	0.272727273	0.333333333	sor>sosor
q	LEFT	NULL	NULL	75	84	5	0.872832370	0.974025974	otor>qotor | okchy>qokchy | otchol>qotchol | okchol>qokchol | otchor>qotchor | oty>qoty | opchy>qopchy | oky>qoky
qo	LEFT	NULL	NULL	1	21	4	0.065217391	0.333333333	cphey>qocphey
ra	INNER	NULL	NULL	1	10	6	0.115384615	0.333333333	otain>otarain
s	LEFT	NULL	NULL	9	36	3	0.253333333	0.818181818	y>sy | ol>sol | olshedy>solshedy | olshey>solshey | olteedy>solteedy | olkeey>solkeey | olkaiin>solkaiin | olkey>solkey
sh	INNER	NULL	NULL	3	23	2	0.145833333	0.600000000	yty>ytshy | oky>okshy | chokor>chokshor
sh	LEFT	NULL	NULL	1	33	3	0.043478261	0.333333333	y>shy
so	INNER	NULL	NULL	1	1	1	1.000000000	0.333333333	sor>sosor
so	LEFT	NULL	NULL	1	5	3	0.230769231	0.333333333	sor>sosor
sy	RIGHT	NULL	NULL	1	4	2	0.300000000	0.333333333	shey>sheysy
t	LEFT	NULL	NULL	2	25	5	0.090909091	0.500000000	eol>teol | shey>tshey
te	LEFT	NULL	NULL	1	6	3	0.200000000	0.333333333	aly>tealy
y	LEFT	NULL	NULL	1	59	5	0.024390244	0.333333333	tey>ytey
yk	LEFT	NULL	NULL	1	20	4	0.068181818	0.333333333	sheol>yksheol
ys	INNER	NULL	NULL	1	1	1	1.000000000	0.333333333	shey>sheysy
yt	LEFT	NULL	NULL	1	20	4	0.068181818	0.333333333	oldy>ytoldy
