surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt521_rank	gdt522_rank	candidate_recipe	gdt521_score	analogy_bonus	gdt522_score	analogy_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	1	AIIN+CH+T+Y	5.733798402	0.000000000	5.733798402	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	2	IIN+CH+T+Y	7.289902821	0.000000000	7.289902821	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	3	AIIN+LOCAL_C+T+Y	8.617469433	0.000000000	8.617469433	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	9.220129716	0.000000000	9.220129716	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	5	A_ADDR+IIN+CH+T+Y	9.367548780	0.000000000	9.367548780	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	6	IIN+LOCAL_C+T+Y	9.768108744	0.000000000	9.768108744	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	10.220366781	0.000000000	10.220366781	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	8	8	A_ADDR+AIIN+CH+T+Y	10.497129704	0.000000000	10.497129704	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	11.750230939	0.000000000	11.750230939	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	19	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	12.001055398	0.000000000	12.001055398	NO_SUPPORTED_TRANSFORMATION;base=cthy
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	17	12	12	A_ADDR+IIN+LOCAL_C+T+Y	12.373721064	0.000000000	12.373721064	NO_SUPPORTED_TRANSFORMATION;base=cthy
chady	CH+A_ADDR+DY	NO	2	1	1	CH+DY	4.887151731	0.000000000	4.887151731	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	1	2	2	CH+A_ADDR+Y	5.746462204	0.000000000	5.746462204	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	YES	5	3	3	CH+A_ADDR+DY	6.072581093	0.000000000	6.072581093	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	3	4	4	CH+D_ADDR+Y	6.371973016	0.000000000	6.371973016	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	4	5	5	CH+Y	6.915865675	0.000000000	6.915865675	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	6	6	6	CH+A_ADDR+D_ADDR+Y	8.241013473	0.000000000	8.241013473	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	8	7	7	LOCAL_C+A_ADDR+DY	8.503607217	0.000000000	8.503607217	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	15	8	8	LOCAL_C+SH+A_ADDR+DY	9.495039855	0.000000000	9.495039855	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	10	9	9	LOCAL_C+A_ADDR+Y	10.010069792	0.000000000	10.010069792	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	7	10	10	LOCAL_C+SH+A_ADDR+Y	10.012743199	0.000000000	10.012743199	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	13	11	11	CH+SH+A_ADDR+Y	10.393657468	0.000000000	10.393657468	NO_SUPPORTED_TRANSFORMATION;base=chdy
chady	CH+A_ADDR+DY	NO	9	12	12	LOCAL_C+A_ADDR+D_ADDR+Y	10.476670452	0.000000000	10.476670452	NO_SUPPORTED_TRANSFORMATION;base=chdy
chap	CH+A_ADDR+P	NO	1	1	1	CH+P	3.642233122	0.000000000	3.642233122	NO_SUPPORTED_TRANSFORMATION;base=cha
chap	CH+A_ADDR+P	YES	2	2	2	CH+A_ADDR+P	4.614574143	0.550000000	4.394574143	cha+p=>P@RIGHT/RIGHT;n=2/2;p=1.000000;r=0.500000;b=0.550000
chap	CH+A_ADDR+P	NO	3	3	3	LOCAL_C+A_ADDR+P	7.174690382	0.000000000	7.174690382	NO_SUPPORTED_TRANSFORMATION;base=cha
chap	CH+A_ADDR+P	NO	4	4	4	LOCAL_C+SH+A_ADDR+P	7.828358453	0.000000000	7.828358453	NO_SUPPORTED_TRANSFORMATION;base=cha
chap	CH+A_ADDR+P	NO	5	5	5	CH+SH+A_ADDR+P	8.937122217	0.000000000	8.937122217	NO_SUPPORTED_TRANSFORMATION;base=cha
chekchy	CH+K+CH+Y	NO	1	1	1	CH+K+Y	4.646258486	0.000000000	4.646258486	NO_SUPPORTED_TRANSFORMATION;base=cheky
chekchy	CH+K+CH+Y	YES	5	2	2	CH+K+CH+Y	5.952739492	0.000000000	5.952739492	NO_SUPPORTED_TRANSFORMATION;base=cheky
chekchy	CH+K+CH+Y	NO	17	3	3	CH+K+LOCAL_C+Y	6.763719118	0.000000000	6.763719118	NO_SUPPORTED_TRANSFORMATION;base=cheky
chekchy	CH+K+CH+Y	NO	6	4	4	CH+E+K+CH+Y	8.078006063	0.000000000	8.078006063	NO_SUPPORTED_TRANSFORMATION;base=cheky
chekchy	CH+K+CH+Y	NO	4	5	5	CH+E+K+Y	8.131336890	0.000000000	8.131336890	NO_SUPPORTED_TRANSFORMATION;base=cheky
chekchy	CH+K+CH+Y	NO	8	6	6	CH+K+E+Y	8.585201542	-0.032064938	8.598027518	cheky+ch=>NULL@INNER/NULL;n=22/67;p=0.321429;r=0.916667;b=-0.032065
