visible_insert	visible_position	atom_insert	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	examples
a	INNER	A_ADDR	INNER	1	1	1	1.000000000	0.333333333	chs>chas
a	LEFT	A_ADDR	LEFT	6	6	1	1.000000000	0.750000000	taiin>ataiin | y>ay | teey>ateey | dal>adal | tchor>atchor | s>as
a	RIGHT	A_ADDR	RIGHT	3	3	1	1.000000000	0.600000000	ch>cha | s>sa | r>ra
ad	INNER	A_ADDR	INNER	1	2	2	0.500000000	0.333333333	oky>okady
ad	INNER	DA+D_ADDR	LEFT	1	2	2	0.500000000	0.333333333	daiin>dadaiin
ad	LEFT	A_ADDR	LEFT	1	1	1	1.000000000	0.333333333	al>adal
ad	RIGHT	A_ADDR+D_ADDR	RIGHT	1	1	1	1.000000000	0.333333333	che>chead
ady	RIGHT	A_ADDR+Y	RIGHT	1	1	1	1.000000000	0.333333333	ok>okady
ag	RIGHT	A_ADDR+G_LABEL	RIGHT	1	1	1	1.000000000	0.333333333	r>rag
ai	INNER	D_ADDR+A_ADDR+LOCAL_CHAR_I	LEFT	1	1	1	1.000000000	0.333333333	dy>daiy
aid	RIGHT	AIN	LEFT	1	1	1	1.000000000	0.333333333	d>daid
aii	RIGHT	AIIN	RIGHT	1	1	1	1.000000000	0.333333333	s>saii
aik	INNER	A_ADDR+IIN+K	INNER	1	1	1	1.000000000	0.333333333	okaly>okaikaly
ain	INNER	D_ADDR+AIN	LEFT	1	1	1	1.000000000	0.333333333	daldy>dainaldy
ain	RIGHT	AIN	RIGHT	20	20	1	1.000000000	0.909090909	yt>ytain | shod>shodain | chod>chodain | ok>okain | s>sain | or>orain | k>kain | shok>shokain
aip	INNER	A_ADDR+LOCAL_CHAR_I+P	INNER	1	1	1	1.000000000	0.333333333	ky>kaipy
air	INNER	AIR	INNER	1	2	2	0.500000000	0.333333333	sal>sairal
air	INNER	D_ADDR+AIR	LEFT	1	2	2	0.500000000	0.333333333	dchey>dairchey
air	RIGHT	AIR	RIGHT	5	6	2	0.785714286	0.714285714	k>kair | s>sair | ch>chair | d>dair | ok>okair
air	RIGHT	D_ADDR+AIR	RIGHT	1	6	2	0.214285714	0.333333333	qol>qolair
ais	INNER	AIN+S	INNER	1	1	1	1.000000000	0.333333333	ory>oraisy
aiy	RIGHT	A_ADDR+LOCAL_CHAR_I+Y	RIGHT	1	1	1	1.000000000	0.333333333	d>daiy
aj	LEFT	A_ADDR	LEFT	1	1	1	1.000000000	0.333333333	y>ajy
ak	INNER	A_ADDR+K	INNER	2	3	2	0.625000000	0.500000000	yky>ykaky | oty>otaky
ak	INNER	K+A_ADDR	INNER	1	3	2	0.375000000	0.333333333	yky>ykaky
aky	RIGHT	A_ADDR+K+Y	RIGHT	1	1	1	1.000000000	0.333333333	ot>otaky
al	INNER	NULL	NULL	2	34	6	0.067567568	0.500000000	okaiin>okalaiin | okchal>okalchal
al	INNER	AL	INNER	22	34	6	0.608108108	0.916666667	cphey>cphealy | ory>oraly | okeody>okeodaly | okar>okalar | oty>otaly | okal>okalal | choky>chokaly | oky>okaly
al	INNER	AL	LEFT	6	34	6	0.175675676	0.750000000	dchdy>dalchdy | dy>daly | dshedy>dalshedy | daiin>dalaiin | chey>chealy | dal>dalal
al	INNER	AL	RIGHT	2	34	6	0.067567568	0.500000000	okal>okalal | dal>dalal
al	INNER	A_ADDR+L	INNER	1	34	6	0.040540541	0.333333333	sshey>salshey
al	INNER	CH+AL	LEFT	1	34	6	0.040540541	0.333333333	chy>chaly
al	LEFT	NULL	NULL	1	12	5	0.103448276	0.333333333	olor>alolor
al	LEFT	AL	LEFT	7	12	5	0.517241379	0.777777778	aiin>alaiin | y>aly | o>alo | or>alor | ol>alol | ched>alched | kain>alkain
al	LEFT	AL+D_ADDR	LEFT	2	12	5	0.172413793	0.500000000	dy>aldy | daiin>aldaiin
al	LEFT	AL+S	LEFT	1	12	5	0.103448276	0.333333333	sy>alsy
al	LEFT	AL+SH	LEFT	1	12	5	0.103448276	0.333333333	shy>alshy
al	RIGHT	AL	INNER	1	28	3	0.050847458	0.333333333	okal>okalal
al	RIGHT	AL	LEFT	1	28	3	0.050847458	0.333333333	dal>dalal
al	RIGHT	AL	RIGHT	26	28	3	0.898305085	0.928571429	ch>chal | cth>cthal | ok>okal | k>kal | sar>saral | s>sal | okcho>okchoal | chok>chokal
ald	INNER	AL	INNER	1	8	5	0.142857143	0.333333333	qoky>qokaldy
ald	INNER	AL	LEFT	3	8	5	0.333333333	0.600000000	chey>chealdy | daiin>daldaiin | dal>daldal
ald	INNER	AL	RIGHT	1	8	5	0.142857143	0.333333333	dal>daldal
ald	INNER	AL+D_ADDR	INNER	2	8	5	0.238095238	0.500000000	qotar>qotaldar | saiin>saldaiin
ald	INNER	CH+AL	LEFT	1	8	5	0.142857143	0.333333333	chy>chaldy
ald	LEFT	AL+D_ADDR	LEFT	2	2	1	1.000000000	0.500000000	y>aldy | aiin>aldaiin
alf	LEFT	AL+LOCAL_CHAR_F	LEFT	1	1	1	1.000000000	0.333333333	shed>alfshed
alk	LEFT	AL+K	LEFT	1	1	1	1.000000000	0.333333333	ain>alkain
alo	INNER	AL+O	INNER	1	1	1	1.000000000	0.333333333	sheedy>sheealody
alo	LEFT	AL+O	LEFT	1	1	1	1.000000000	0.333333333	y>aloy
alo	RIGHT	AL+O	RIGHT	1	1	1	1.000000000	0.333333333	d>dalo
als	INNER	AL+S	INNER	1	3	3	0.333333333	0.333333333	sain>salsain
als	INNER	S+AL	LEFT	1	3	3	0.333333333	0.333333333	sain>salsain
als	INNER	S+A_ADDR+L	LEFT	1	3	3	0.333333333	0.333333333	shey>salshey
als	LEFT	AL+S	LEFT	1	1	1	1.000000000	0.333333333	y>alsy
als	RIGHT	AL+S	RIGHT	3	4	2	0.700000000	0.600000000	she>sheals | chos>chosals | ch>chals
als	RIGHT	S+AL	INNER	1	4	2	0.300000000	0.333333333	chos>chosals
aly	RIGHT	AL+Y	RIGHT	9	9	1	1.000000000	0.818181818	or>oraly | ot>otaly | chok>chokaly | ok>okaly | t>taly | qot>qotaly | ch>chaly | r>raly
am	LEFT	AM_ADDR	LEFT	1	1	1	1.000000000	0.333333333	y>amy
am	RIGHT	AM_ADDR	RIGHT	10	11	2	0.875000000	0.833333333	ok>okam | tal>talam | ot>otam | r>ram | otal>otalam | ch>cham | ol>olam | k>kam
am	RIGHT	A_ADDR+AM_ADDR	RIGHT	1	11	2	0.125000000	0.333333333	dair>dairam
an	RIGHT	AN	RIGHT	3	3	1	1.000000000	0.600000000	ok>okan | shod>shodan | qot>qotan
ar	INNER	NULL	NULL	1	17	9	0.069767442	0.333333333	otain>otarain
ar	INNER	AR	INNER	7	17	9	0.348837209	0.777777778	dod>darod | sal>saral | par>parar | okar>okarar | qolky>qolkary | dor>daror | qoty>qotary
ar	INNER	AR	LEFT	1	17	9	0.069767442	0.333333333	chy>chary
ar	INNER	AR	RIGHT	2	17	9	0.116279070	0.500000000	par>parar | okar>okarar
ar	INNER	AR+CH	INNER	1	17	9	0.069767442	0.333333333	opchy>oparchy
ar	INNER	DA+R	LEFT	1	17	9	0.069767442	0.333333333	dy>dary
ar	INNER	D_ADDR+AR	LEFT	2	17	9	0.116279070	0.500000000	daiin>daraiin | daly>daraly
ar	INNER	R+A_ADDR	INNER	1	17	9	0.069767442	0.333333333	dam>daram
ar	INNER	S+AR	LEFT	1	17	9	0.069767442	0.333333333	sol>sarol
ar	LEFT	AR	LEFT	4	4	1	1.000000000	0.666666667	sa>arsa | ol>arol | oly>aroly | aiin>araiin
ar	RIGHT	AR	INNER	2	29	2	0.083333333	0.500000000	par>parar | okar>okarar
ar	RIGHT	AR	RIGHT	27	29	2	0.916666667	0.931034483	sh>shar | cth>cthar | che>chear | d>dar | she>shear | ot>otar | s>sar | k>kar
arl	RIGHT	AR+L	RIGHT	1	1	1	1.000000000	0.333333333	octheol>octheolarl
ary	RIGHT	AR+Y	RIGHT	3	5	3	0.538461538	0.600000000	ctho>cthoary | shod>shodary | qot>qotary
ary	RIGHT	D_ADDR+AR+Y	RIGHT	1	5	3	0.230769231	0.333333333	lshed>lshedary
ary	RIGHT	P+AR	LEFT	1	5	3	0.230769231	0.333333333	ar>arary
as	INNER	A_ADDR+S	INNER	2	2	1	1.000000000	0.500000000	ry>rasy | ytal>ytasal
as	RIGHT	A_ADDR+S	RIGHT	1	2	2	0.500000000	0.333333333	ch>chas
as	RIGHT	Y	RIGHT	1	2	2	0.500000000	0.333333333	okee>okeeas
asy	RIGHT	A_ADDR+S+Y	RIGHT	1	1	1	1.000000000	0.333333333	r>rasy
at	LEFT	A_ADDR+T	LEFT	2	2	1	1.000000000	0.500000000	aiin>ataiin | chor>atchor
cfh	LEFT	CH+LOCAL_CHAR_F	LEFT	5	5	1	1.000000000	0.714285714	aiin>cfhaiin | oaiin>cfhoaiin | ol>cfhol | y>cfhy | oldy>cfholdy
