unit_id	section_axis	technical_model	strongest_technical_contradiction	strongest_iatromedical_contradiction_or_nonmedical_rival	technical_local_loss_count	medical_local_loss_count	weighted_cost_technical_vs_medical	adjudication	unresolved_contract
H1	HERBAL_MATERIAL	PLANT_STOCK_BATCH	Kein sichtbares Arbeitsgerät oder Produktziel weist auf Färben oder Materialprüfung.	Destillations-/Rohstoffnotiz; ANWENDEN? und MASS? entscheiden nicht zwischen Arznei und Werkstoff.	1	0	14:17	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
H2	HERBAL_MATERIAL	PLANT_STOCK_BATCH	Früh/spät, Wasser und Farbvergleich sind nicht aus Karten oder Bild sicher abzulesen.	Parallele Erntefraktionen oder Materialchargen; das doppelte ANSATZ? kann Dittographie/Kategorie sein.	0	2	17:16	TECHNICAL_INTERNAL_ONLY	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
H3	HERBAL_MATERIAL	PLANT_STOCK_BATCH	Nur KLAR?, MASS? und BEREIT? sind lizenziert; selbst die Produktklasse bleibt unbestimmt.	Gundermann oder anderes blau blühendes Kriechkraut; die drei langen Bildwurzeln widersprechen Viola.	2	1	24:22	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
H4	HERBAL_MATERIAL	PLANT_STOCK_BATCH	Nutzfunktion von Blattflotte und Presskuchen sowie Wasser, Wärme und Gefäß sind nicht sichtbar festgelegt.	Plantago passt zu Saft/Tuch/Wein oder Honig und warmer Auflage mindestens ebenso gut; technische Blattmaische bleibt möglich.	0	3	25:20	TECHNICAL_INTERNAL_ONLY	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
H5	HERBAL_MATERIAL	PLANT_STOCK_BATCH	Mucilage, Klebmasse und Prüfflächen sind unbebilderte Produktannahmen; ACTION_APPLY steht vor TARGET_ASSIGN.	Adiantum hat die historisch bessere pektorale Tradition; Drosera ist bildnäher, aber um 1420 schlecht gesichert.	2	2	33:32	TIE	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
B1	BIO_PROCESS	WATER_BATHHOUSE_APPARATUS	Figuren werden zu Bedienern oder Maßmarken herabgestuft; ein geschlossener hydraulischer Kreis ist nicht vollständig sichtbar.	43/66 Ereignisse sind EXEMPLAR_ONLY; kein lokaler Körperbesitzer ist gesichert.	6	2	132:129	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
B2	BIO_PROCESS	WATER_BATHHOUSE_APPARATUS	Die zahlreichen Figuren passen als Benutzer eines Bades besser als als bloße Bedien- oder Maßzeichen einer Anlage.	46/62 Ereignisse sind EXEMPLAR_ONLY; Bildnähe beweist weder Besitzer noch Frauenkrankheit.	5	2	135:132	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
B3	BIO_PROCESS	WATER_BATHHOUSE_APPARATUS	Menschenfiguren und wiederholte Anwendungen bleiben für einen rein unpersönlichen Wasserwerksplan überschüssig.	57/86 Ereignisse sind EXEMPLAR_ONLY; Auslass-Owner ohne Figuren widersprechen durchgehender Patientenprosa.	8	4	188:184	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
B4	BIO_PROCESS	WATER_BATHHOUSE_APPARATUS	Auflage, Waschung oder Bad erklären die figurennahe Anwendung natürlicher; der technische Zielowner bleibt still.	32/47 Ereignisse sind EXEMPLAR_ONLY; keine Karte bedeutet Wunde, Haut, Tuch oder Wein.	5	3	106:103	IATROMEDICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
B5	BIO_PROCESS	WATER_BATHHOUSE_APPARATUS	Nur vier von elf Ereignissen tragen lizenzierte Prompts; Wärmedauer und Übergabeinhalt bleiben lokale Exemplare.	7/11 Ereignisse sind EXEMPLAR_ONLY; der Record besitzt nur drei Statements.	1	1	22:23	TECHNICAL	FORMAL_LAYER_DOES_NOT_DECIDE_DOMAIN;BOTH_COMPLETE_CONTENTS_ARE_EXEMPLAR_EXPANSIONS
