unit_id	page	medical_visible_fit	medical_sequence_fit	medical_historical_fit	medical_layer_discipline	medical_book_coherence	medical_total	rival_visible_fit	rival_sequence_fit	rival_historical_fit	rival_layer_discipline	rival_book_coherence	rival_total	winner	decisive_reason
H1	f10r	3	3	3	4	4	17	3	3	3	4	2	15	MEDICAL	Wurzelarznei ist integrierter; Waschzweck und Textilien bleiben unsichtbar.
H2	f10r	3	3	3	4	4	17	3	4	3	4	3	17	TIE	Zwei Chargen passen gleich gut zu Salbe oder Pflanzenreiniger.
H3	f11r	4	4	4	4	4	20	4	4	4	4	3	19	MEDICAL	Veilchenwasser und Öl tragen beide Welten; Arznei integriert den Artikel etwas enger.
H4	f55v	3	4	3	4	4	18	2	4	3	4	3	16	MEDICAL	Waididentität und Färbebottich kosten mehr sichtbare Ergänzung als die ausgewählte äußere Kräuternutzung.
H5	f56r	2	3	2	4	4	15	2	4	3	4	3	16	RIVAL	Farbtuchfolge erklärt Auftragen, Abnehmen, Trocknen, Vorrat und Wiederlösen geschlossener als die riskante Doppelarznei.
B1	f81v	3	4	3	4	4	18	4	4	4	4	4	20	RIVAL	Wiederholte Stations-, Spül- und Übergabeoperationen sind primär Anlagenbetrieb.
B2	f82r	4	4	4	4	4	20	4	4	4	4	4	20	TIE	Therapeutisches Teilbad und gewöhnlicher Kundenbadgang sind bild- und prozessgleich stark.
B3	f83r	2	4	3	4	4	17	4	4	4	4	4	20	RIVAL	Langer Rücklauf mit figurfreien Auslassbesitzern verlangt im Wasserwerk weniger Körperergänzungen.
B4	f83r	3	4	4	4	4	19	3	4	3	4	4	18	MEDICAL	Warme Auflage hat den besseren zeitgenössischen Körpergebrauch, sofern der stille Bildowner akzeptiert wird.
B5	f83r	1	3	2	4	3	13	4	4	4	4	4	20	RIVAL	Kurzer Heiz- und Übergabezettel ist als Boilerstation vollständig, als Medizin fast inhaltsleer.
B6	f83r	1	3	2	4	3	13	4	4	4	4	4	20	RIVAL	Offener Kaltvorlauf passt zu technischem Bypass und nicht zu abgeschlossener Therapie.
A1	f67r2	2	3	4	4	4	17	2	3	4	4	3	16	MEDICAL	Iatromathematische 7/12-Kombination ist historisch spezifischer; beide bleiben topologisch unbewiesen.
A2	f68r1	2	3	4	4	3	16	2	3	4	4	3	16	TIE	Medizinische und allgemeine Mondstationsoperationen sind gleichermaßen externe Locuswerte.
A3	f69v	2	3	3	4	4	16	2	3	4	4	3	16	TIE	Allgemeine Arbeit ist historisch breit, Medizin integriert besser; keine Regel ist sichtbar verankert.
