assumption_id	unit_id	theory	category	unsupported_assumption	cost	not_a_card_meaning
H1-N01	H1	NONMEDICAL	IDENTITY	Wurzelkraut als Laugenstoff	1	YES
H1-N02	H1	NONMEDICAL	PROPERTY	reinigende Auszugsqualität	1	YES
H1-N03	H1	NONMEDICAL	MEDIUM	Holzasche und Regenwasser	1	YES
H1-N04	H1	NONMEDICAL	TARGET	Leinen und Holzwannen	1	YES
H1-N05	H1	NONMEDICAL	PURPOSE	Materiallagerung	1	YES
H1-I01	H1	IATROMEDICAL	IDENTITY	Teufelsabbiss/Skabiose	1	YES
H1-I02	H1	IATROMEDICAL	PROPERTY	medizinische Wirksamkeit	1	YES
H1-I03	H1	IATROMEDICAL	TARGET	Leibbeschwerde	1	YES
H1-I04	H1	IATROMEDICAL	PARAMETER	therapeutische Dosis	1	YES
H1-I05	H1	IATROMEDICAL	PURPOSE	innere Einnahme	1	YES
H2-N01	H2	NONMEDICAL	PROPERTY	Pflanzenfarbe	1	YES
H2-N02	H2	NONMEDICAL	MATERIAL	Alaun/Öl/Wachs	1	YES
H2-N03	H2	NONMEDICAL	TARGET	Bänder/Holz/Leder	1	YES
H2-N04	H2	NONMEDICAL	PURPOSE	zwei technische Produkte	1	YES
H2-I01	H2	IATROMEDICAL	IDENTITY	Teufelsabbiss	1	YES
H2-I02	H2	IATROMEDICAL	PROPERTY	medizinische Wirkung	1	YES
H2-I03	H2	IATROMEDICAL	TARGET	Geschwür/Schwellung	1	YES
H2-I04	H2	IATROMEDICAL	PURPOSE	äußere Salbe	1	YES
H3-N01	H3	NONMEDICAL	IDENTITY	Duftpflanze	1	YES
H3-N02	H3	NONMEDICAL	PROPERTY	Duftauszug	1	YES
H3-N03	H3	NONMEDICAL	TARGET	Wäsche/Kämme/Bänke	1	YES
H3-N04	H3	NONMEDICAL	PURPOSE	Badhauspflege	1	YES
H3-I01	H3	IATROMEDICAL	IDENTITY	Veilchen	1	YES
H3-I02	H3	IATROMEDICAL	PROPERTY	Gemüt-/Brustwirkung	1	YES
H3-I03	H3	IATROMEDICAL	PARAMETER	Trankdosis	1	YES
H3-I04	H3	IATROMEDICAL	TARGET	Augenumgebung	1	YES
H4-N01	H4	NONMEDICAL	IDENTITY	Breitblatt-Reiniger	1	YES
H4-N02	H4	NONMEDICAL	PROPERTY	reinigende Qualität	1	YES
H4-N03	H4	NONMEDICAL	TARGET	Tuch/Becken/Brett	1	YES
H4-N04	H4	NONMEDICAL	MATERIAL	Honigbinder	1	YES
H4-N05	H4	NONMEDICAL	PURPOSE	Holz-/Lederreparatur	1	YES
H4-I01	H4	IATROMEDICAL	IDENTITY	Allium/Wegerich	1	YES
H4-I02	H4	IATROMEDICAL	PROPERTY	Wundwirkung	1	YES
H4-I03	H4	IATROMEDICAL	TARGET	äußere Wunde	1	YES
H4-I04	H4	IATROMEDICAL	PURPOSE	warmer Umschlag	1	YES
H4-I05	H4	IATROMEDICAL	PARAMETER	medizinische Anwendung	1	YES
H5-N01	H5	NONMEDICAL	IDENTITY	Sonnentauartiges Klebkraut	1	YES
H5-N02	H5	NONMEDICAL	PROPERTY	technische Klebkraft	1	YES
H5-N03	H5	NONMEDICAL	TARGET	Leder/Stoff	1	YES
H5-N04	H5	NONMEDICAL	PURPOSE	Etikettenleim	1	YES
H5-N05	H5	NONMEDICAL	PURPOSE	Gefäßmarkierpaste	1	YES
H5-I01	H5	IATROMEDICAL	IDENTITY	Sonnentau	1	YES
H5-I02	H5	IATROMEDICAL	TARGET	Warze/Hühnerauge	1	YES
H5-I03	H5	IATROMEDICAL	PROPERTY	hautreizende Wirkung	1	YES
H5-I04	H5	IATROMEDICAL	TARGET	trockener Husten	1	YES
H5-I05	H5	IATROMEDICAL	PURPOSE	Brusttrank	1	YES
