unit_id	page	register	canonical_selected_ledger	selector_field	selector_value	serial_field	serial_start	serial_end	visible_group_count	field_or_locus_count	statement_count	binding_rule	semantic_contract
H1	f10r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	record_unit_id	H1	event_serial	1	14	14	2	2	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; replace only the tagged local source expansion with this V68 rival.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
H2	f10r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	record_unit_id	H2	event_serial	15	38	24	3	3	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; replace only the tagged local source expansion with this V68 rival.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
H3	f11r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	record_unit_id	H3	event_serial	39	55	17	4	4	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; replace only the tagged local source expansion with this V68 rival.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
H4	f55v	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	record_unit_id	H4	event_serial	56	73	18	4	4	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; replace only the tagged local source expansion with this V68 rival.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
H5	f56r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	record_unit_id	H5	event_serial	74	100	27	7	6	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; replace only the tagged local source expansion with this V68 rival.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B1	f81v	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B1	event_serial	101	166	66	24	21	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B2	f82r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B2	event_serial	167	228	62	26	22	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B3	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B3	event_serial	229	314	86	38	34	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B4	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B4	event_serial	315	361	47	20	16	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B5	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B5	event_serial	362	372	11	5	3	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
B6	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	record_unit_id	B6	event_serial	373	381	9	2	1	Reuse each selected event identity, order, formal prompt, V60 exact mnemonic or UNKNOWN, and V62/V63 status; bind the anonymous apparatus registers to the V68 bathhouse or waterwork exemplar only.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;LOCAL_RIVAL_EXPANSION_ONLY
A1	f67r2	ASTRO	experiments/yolo/sidequest_theory_candidates_v66/V66_R2_395_GROUP_ASTRO_INTERLINEAR.tsv	page	f67r2	group_serial	1	190	190	74	NA	Reuse each selected ZL3b surface, locus, source-event serial and page-local status; substitute only a complete external workshop-almanac exemplar. No Astro group imports a prose card value.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;ASTRO_LOCAL_EXEMPLAR_ONLY
A2	f68r1	ASTRO	experiments/yolo/sidequest_theory_candidates_v66/V66_R2_395_GROUP_ASTRO_INTERLINEAR.tsv	page	f68r1	group_serial	191	255	65	37	NA	Reuse each selected ZL3b surface, locus, source-event serial and page-local status; substitute only a complete external workshop-almanac exemplar. No Astro group imports a prose card value.	NO_NEW_CARD_MEANING;NO_SUBSTRING_SEMANTICS;ASTRO_LOCAL_EXEMPLAR_ONLY
