source_id	date_and_region	comparator	mechanism_supported	limitation	reference_url
S01	fifteenth-century Valencia	Joanot Valero dyer's manual as recovered and edited	Vernacular master-artisan Fachliteratur; dye recipes, stain removal, medical recipes, abbreviations, accounts and an older copied exemplar in one book.	The surviving evidence is a later microfilm of a lost manuscript and the mixed medical content prevents a purely nonmedical analogy.	https://scholarworks.iu.edu/journals/index.php/tmr/article/view/17771
S02	circa 1470 Austria or Germany	Beinecke MS 1129 recipe book for colors	A German whole-volume craft recipe book makes plant/color batches, measures and local procedures a real manuscript genre.	About fifty years later than 1420 and not a bathhouse book.	https://pre1600ms.beinecke.library.yale.edu/docs/pre1600.ms1129.htm
S03	beginning of fifteenth century England	Cambridge UL MS Ee.1.15 ink recipe presented by St Edmund Hall	Take, crush, pot, rainwater, stir and wait three days demonstrate ordinary concrete workshop recipe order near 1420.	Ink is only an analogy for plant/material batching, not a match to any unit.	https://www.seh.ox.ac.uk/blog/a-medieval-ink-recipe
S04	fifteenth century Bologna	Bologna Manuscript or Secrets of Colours	Late-medieval handbook for preparing paints establishes a practical recipe/exemplar environment.	Paint technology does not identify the five plant images.	https://www.hrz.hr/en/activities/publications/books-and-proceedings/secrets-of-colours-a-15th-century-handbook-on-the-preparation-of-paints/
S05	fifteenth or sixteenth century Arabic copy	British Library Or 5927 craft treatise via Qatar Digital Library	One technical collection includes soap, fruit waters, stain removal, cloth dyes, verdigris, rosewater and scent materials.	Date is broad and cultural route to this codex is unproved.	https://www.qdl.qa/en/archive/81055/vdc_100069614977.0x00002a
S06	fifteenth and sixteenth century Castile	CSIC study of perfume and cosmetic recipe books	About fifty recipes record ingredients, preparation techniques and applications, supporting scent-water and oil branches.	Medicine, body care and perfume overlap; this does not yield a clean nonmedical boundary.	https://estudiosmedievales.revistas.csic.es/index.php/estudiosmedievales/article/view/374
S07	fifteenth-century Rhineland	BnF Latin 9333 rosewater production image	Shows a near-period illustrated plant-to-water production scene labeled aqua rosata or rosenwaszer.	Rose rather than violet; the Tacuinum frame is health-related.	https://portail.biblissima.fr/fr/ark%3A/43093/ifdata9bd0c0a78cb9a80822bfcb6b9bb8fb1fdd5328dc
S08	medieval Denmark with German and Swedish comparisons	Kuml study of medieval bathhouses	Common sweat bath used heated stones, cold water on stones, birch switches and a cold rinse; staff could add haircutting, bleeding and wound care.	Bathhouse and medicine historically overlap, so the comparator supports both theories.	https://tidsskrift.dk/kuml/article/view/24661
S09	medieval European cities and monasteries	Roberta Magnusson, Water Technology in the Middle Ages	Sources, gradients, cisterns, branch pipes, conduit heads, tanks, drains, cleaning, repair and skilled work make the Bio operations technically real.	A general historical synthesis, not a direct match to these drawings.	https://books.google.com/books/about/Water_Technology_in_the_Middle_Ages.html?id=3JhG-zqV9eMC
S10	1434 Venice	Michael of Rhodes manuscript	A working mariner compiled vernacular mathematics, astronomy, astrology, navigation, shipbuilding and voyage records in one practical manuscript.	It supports technical-plus-Astro miscellany, but no herbal or 28-entry mapping.	https://brunelleschi.imss.fi.it/michaelofrhodes/manuscript.html
S11	circa 1400 central Germany	Staatsbibliothek Berlin concertina calendar Libr. pict. A 92	Portable calendar combines saints, labors of months, zodiac and daylight wheels for practical time visualization.	Twelve monthly labors do not explain either 28-part diagram.	https://blog.sbb.berlin/time-unfolded-a-late-medieval-concertina-calendar-in-the-staatsbibliothek-zu-berlin-libr-pict-a-92/
S12	1433 England	Morgan MS M.941 almanac and calendar	Folded calendar combines zodiac, thunder prognostications and occupations of months in a practical object.	Still includes a Vein Man and therefore cannot serve as a strictly nonmedical parallel.	https://www.themorgan.org/manuscript/145540
S13	1150-1200 Germany; still acquired and annotated in the fifteenth century	British Library Harley MS 3915	One technical codex combines colors, arts, water finding, ointments, alchemy, glaze, parchment and ink; fifteenth-century owners added recipes and Nicholas of Cusa bought it in 1444.	The core is much earlier and includes medical matter; it proves miscellany survival, not V68 authorship.	https://searcharchives.bl.uk/catalog/040-001615479
