unit_id	page	register	visible_group_count	recognized_control_count	inherited_control_layer	rival_unit_title	rival_owner	full_concrete_rival_source_text	historical_workshop_mechanism	strongest_medical_competitor	rival_best_explanation	rival_cannot_explain	local_verdict	confidence	semantic_contract
H1	f10r	HERBAL	14	4	ANWENDEN?|MASS?|BEREIT?|FORMAL_LINK	Seifenkrautwurzel für feine Wäsche und Badleinen	IMAGE_RIVAL:Saponaria officinalis als konkrete, unbewiesene Bildidentität	[IMAGE_RIVAL:Vom Seifenkraut.] [EXEMPLAR:Grabe den unteren Wurzelstock, wasche und schneide ihn klein; setze ihn mit weichem Quellwasser in einem Kessel an und fange den ersten starken Sud in einem glasierten Gefäß.] [CARD:ANWENDEN?] [REGISTER:ACTIVE=H1:I001] gebrauche diesen Sud [CARD:MASS?] nach örtlichem Maß zum Waschen feiner Wolle und der Badleinen; [EXEMPLAR:verwahre den Rest bedeckt]. Für frischen Gebrauch [EXEMPLAR:erwärme denselben ersten Sud nur gelinde], verknüpfe den aktiven Posten formal und halte ihn [CARD:BEREIT?] nach der Werkstattprobe bereit.	Wurzel und Blatt von Seifenkraut ergeben einen saponinhaltigen Waschsud; klösterliche und textile Waschpraxis liefert die Quellklasse, nicht die Kartenlesung.	Gebranntes Wurzelwasser in kleiner innerer Gabe gegen Leibstechen.	Erklärt Wurzel, Wasser, Maß, Verwahrung und zweite warme Nutzung ohne Leiden oder Körperteil; liefert Rohstoff für B1/B4.	Das ausgewählte Bild wurde nicht als Seifenkraut identifiziert; Kessel, Wolle, Leinen und Schaum sind nicht sichtbar oder kartengestützt.	MEDICAL_EDGE	0.43	EXACT_V60_VALUES_UNCHANGED;ALL_NEW_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
H2	f10r	HERBAL	24	10	BEREIT?|ANSATZ?|MASS?|VORIGES?|FORMAL_LINK	Zwei Seifenkrautfraktionen als weicher Waschansatz	IMAGE_RIVAL:oberirdische Teile derselben Saponaria-Arbeitspflanze	[IMAGE_RIVAL:Von derselben Seifenkrautpflanze.] Nimm [EXEMPLAR:Blütenspitzen und junge Blätter beim Aufgehen], [CARD:BEREIT?] nach dem örtlichen Erntezeichen; führe sie [CARD:ANSATZ?] als frischen Posten, zerstoße und presse den Saft durch Tuch. Fange die erste Fraktion auf, [EXEMPLAR:gib geklärte Holzaschenlauge hinzu], [CARD:MASS?] nach Werkstattmaß und erwärme gelinde. Nimm eine zweite Portion der Spitzen; führe sie als recordlokalen Posten weiter. [CARD:VORIGES?] hole nur den vorigen H2-Posten zurück, [CARD:MASS?] im gleichen Maß, und vereinige beide Fraktionen. Die sichtbare Folge [CARD:ANSATZ?] [CARD:ANSATZ?] bleibt zwei Kategorien- oder Chargenmarkierungen; [EXEMPLAR:rühre bei kleinem Feuer bis ein weicher Pflanzenreiniger entsteht, verwahre ihn bedeckt und nutze ihn für Kragen, Ärmel und Badtextilien].	Ein spätmittelalterlicher Waschzettel kann Pflanzenauszug, Aschenlauge, Tuchfiltration, zwei Chargen und warmes Eindicken verbinden; die Doppelkarte ist kein neues Wort.	Zwei Blütenfraktionen als medizinischer Salbenansatz für Geschwür oder Schwellung.	Erklärt die zwei Fraktionen und den doppelten ANSATZ? als Chargenführung und schließt unmittelbar an H1s Waschrohstoff an.	Seifenkrautsaft plus Lauge ist nicht dasselbe wie verseifte Fettseife; Textilien, Asche und Waschzweck fehlen im Bild, und derselbe Bildowner muss H1 und H2 tragen.	TIE	0.42	EXACT_V60_VALUES_UNCHANGED;ALL_NEW_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
H3	f11r	HERBAL	17	3	KLAR?|MASS?|BEREIT?	Veilchenwasser und Duftöl für Bad und Wäsche	IMAGE_RIVAL:Viola odorata als Duftstoff, nicht Arznei	[IMAGE_RIVAL:Vom Duftveilchen.] Sammle [EXEMPLAR:im ersten Frühjahr Blüten und junge Blätter], ziehe sie in reinem Wein oder weichem Wasser aus, wringe durch feines Tuch, lasse stehen und seihe nochmals [CARD:KLAR?] nach örtlicher Prüfung; kühle ab. Behalte einen Teil der Blüten zurück. Gib vom ersten klaren Auszug [CARD:MASS?] ein kleines Werkstattmaß [EXEMPLAR:in das letzte Spülwasser für Badleinen oder in das Wasser der warmen Stube]. Nimm die zurückbehaltenen Blüten, erwärme sie in Öl [CARD:BEREIT?] nach Geruchsprobe und [EXEMPLAR:verwahre das Duftöl für Haare, Tücher oder die Badstube].	Spätmittelalterliche Parfüm- und Körperpflege-Rezeptare führen Blütenwasser, Filtration, Destillation oder Ölmazeration; die konkrete Veilchennutzung bleibt Edition.	Klarer Veilchenwein als Trank und getrenntes äußeres Veilchenöl.	Die Abzweigung klarer Auszug versus warme Ölfraktion ist für Duftstoffherstellung ebenso natürlich und verlangt kein Leiden.	Die Bildwurzel widerspricht einer sicheren Viola-Identität; Badleinen, Duftprobe und kosmetischer Gebrauch sind exemplarisch, während Parfümerie historisch mit Körperpflege und Medizin überlappt.	MEDICAL_EDGE	0.47	EXACT_V60_VALUES_UNCHANGED;ALL_NEW_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
H4	f55v	HERBAL	18	6	MASS?|ANSATZ?|FORMAL_STANDARD|FORMAL_TARGET	Waidmaische für kleinen Blaufärbegang	IMAGE_RIVAL:Isatis tinctoria als riskante breite Färberpflanze	[IMAGE_RIVAL:Vom breiten Waid.] Setze den ersten Posten an; [CARD:MASS?] nimm ein örtliches Maß Blätter, [EXEMPLAR:zerstoße sie, gib abgestandene alkalische Flüssigkeit hinzu, verschließe und lasse die Maische kühl gären]. [CARD:MASS?] miss eine Portion ab, wringe durch Leinwand, lasse den Auszug absetzen und verwahre ihn. [EXEMPLAR:Benetze damit einen kleinen Wollprobestreifen einmal und prüfe die Farbe]. [CARD:MASS?] nimm eine Portion der zurückbehaltenen Blätter, stelle den formalen Zielslot auf den bezeichneten Bottich, erwärme gelinde, führe sie [CARD:ANSATZ?] als zweiten Ansatz, [EXEMPLAR:mische mit Kleie oder Aschenlauge und färbe die frische Probe].	Der Innsbrucker und der spätmittelalterliche Färberezept-Typ belegt Pflanzenbad, Lauge oder Urin, Maß, Wärme, Filtration, Wiederholungsbad und Probestück als reale Werkstattfolge.	Allium- oder Plantago-Auszug als Wundwäsche und warmer Blattumschlag.	Erklärt große Maische, Tuchfiltration, zwei Posten und Zielbottich; die Wasser-/Bottichökologie verbindet H4 mit Bio.	Die Zeichnung ist nicht als Waid gesichert; Blaufärben verlangt Reduktions- und Oxidationswissen, das die sichtbare Kurzschicht nicht bezeichnet; Wollprobe, Lauge und Bottich sind unsichtbar.	MEDICAL_EDGE	0.39	EXACT_V60_VALUES_UNCHANGED;ALL_NEW_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
H5	f56r	HERBAL	27	6	MASS?|ANWENDEN?|ZIEL?|ANTEIL?	Turnsole-Saft auf Farbtüchern und späterer Farbauszug	IMAGE_RIVAL:Chrozophora tinctoria als hochriskante Rohstoffidentität	[IMAGE_RIVAL:Vom Turnsole-Farbkraut.] Sammle [EXEMPLAR:das ganze oberirdische Kraut zu Blüte und Frucht] [CARD:MASS?] in kleiner örtlicher Menge. Zerstoße die saftigen Teile und [CARD:ANWENDEN?] trage den Saft kurz [CARD:ZIEL?] auf die bezeichneten Leinentüchlein auf; [EXEMPLAR:nimm sie ab, trockne im Schatten und wiederhole nur, wenn die Probe Farbe annimmt]. Nimm die übrigen blühenden Stiele, trockne, zerreibe grob und verwahre trocken. [EXEMPLAR:Ziehe aus einem gefärbten Tüchlein mit mildem Wein oder Gummiwasser einen schwachen Farbsaft und seihe durch Tuch; verdicke ihn gelinde und verwahre ihn für Buchmalerei]. [CARD:ANTEIL?] wähle je Gebrauch einen Anteil [CARD:MASS?] nach kleinem Werkstattmaß.	Fünfzehntjahrhundertliche Farbenbücher überliefern Pflanzenfarben und insbesondere die Gewinnung von Farblacken beziehungsweise Turnsole-Farbe für Maler; Farbtüchlein sind eine konkrete, aber nicht sichtbare Exemplarhypothese.	Sonnentau-Hautauflage und späterer süßer Brusttrank.	Kurzes Auftragen, Entfernen, Wiederholen, Schattentrocknung, Vorrat und späteres Lösen bilden einen geschlossenen Farbstoffprozess ohne Krankheit.	Chrozophora passt morphologisch schlecht zur ausgewählten Drosera-/Farn-Diskussion; kein Tüchlein, Pigmentnapf oder Malgerät ist sichtbar; Wein/Gummiwasser und Buchmalerei sind frei ergänzt.	RIVAL_EDGE	0.40	EXACT_V60_VALUES_UNCHANGED;ALL_NEW_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
B1	f81v	BIOLOGICAL	66	23	SPÜLEN?|ZIEL?|VORIGES?|MASS?|ANWENDEN?|TEMPERIEREN?|FORMAL_SET_LINK_TARGET	Badehaus-Grundversorgung mit Pflanzenreiniger	IMAGE:Becken, verbundene Läufe und Seitenfiguren; EXAMPLAR:städtischer Badehausbetrieb	[IMAGE:Becken und verbindende Läufe.] [CARD:SPÜLEN?] reinige den ersten Arbeitsort. [EXEMPLAR:Setze Seifenkraut- oder Aschenwaschflotte für Wannen und Leinen an], öffne den formalen Standardposten, führe die aktive Charge durch die lokalen Relations- und Linkslots, setze [CARD:ZIEL?] auf Sammelbecken oder Stube und [CARD:MASS?] die benötigten Anteile. [CARD:VORIGES?] nimmt nur den vorigen B1-Posten wieder auf. [EXEMPLAR:Lass Wasser und Reiniger stehen, prüfe Ablagerung und Wärme], [CARD:TEMPERIEREN?] den aktiven Posten und [CARD:ANWENDEN?] ihn zum Reinigen von Wanne oder Badleinen. [CARD:SPÜLEN?] Arbeitsorte nacheinander; [EXEMPLAR:fülle nach, lasse absetzen, kläre durch Tuch und übergib an die nächste Station].	Ein öffentliches Schwitzbad brauchte Feuer, Wasser, Kaltspülung, Wäsche und Personal; ein verzweigtes Wasserwerk brauchte Zuleitung, Behälter, Filter, Ablauf und Wartung.	Therapeutische Kräuter-Badeflotte mit äußerer Badewaschung.	Erklärt Apparatur, wiederholtes Spülen, Portionen, Übergaben und örtliche Ziele als Betriebsblatt; H1/H2 liefern einen passenden Reinigungsrohstoff.	Kein Feuer, Holzlager, Kessel oder Tuch ist sicher sichtbar; Figuren könnten Patienten sein; 43/66 Ereignisse bleiben exemplarabhängig.	RIVAL_EDGE	0.55	EXACT_V60_VALUES_UNCHANGED;ALL_BODY_OR_WORKSHOP_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
B2	f82r	BIOLOGICAL	62	16	TEMPERIEREN?|ANWENDEN?|KLAR?|MASS?|ABLASSEN?|ZIEL?|FORMAL_SET_TARGET	Gewöhnlicher Kundenbad- und Wannenwechsel	IMAGE:Figuren, getrennte Zonen, Becken und Zugänge; EXEMPLAR:Badehaus, nicht Heilanstalt	[IMAGE:Figuren, Becken und Zugänge.] Reinige Gefäß und Lauf; stelle den Auffangbehälter bereit. [EXEMPLAR:Gib einen abgemessenen heißen und einen kühlen Anteil in die Wanne und lasse den Badenden im temperierten Sitzbad Platz nehmen]. Führe die Charge über formale Zielslots zur zweiten Öffnung; [CARD:TEMPERIEREN?], filtere und halte denselben Standard über den f82r-Kantencarry. Ziehe ab, leite frisches Badwasser zum Ziel und [CARD:ANWENDEN?]. Fülle nach, halte warm, [CARD:TEMPERIEREN?], [CARD:ANWENDEN?] und prüfe [CARD:KLAR?]; gib [CARD:MASS?] aus derselben Charge zu. Prüfe erneut [CARD:KLAR?], temperiere und benetze. [CARD:ABLASSEN?] die verbrauchte Flüssigkeit, schließe den unteren Ablauf. Beginne den kühleren Spülgang, setze [CARD:ZIEL?], [CARD:MASS?], warmes Wasser und Nachlauf; [EXEMPLAR:reiche zuletzt ein warmes Tuch und mische die nächste Wanne zu gleichen Teilen].	Die gewöhnliche spätmittelalterliche Badstube verband Schwitz- oder Sitzbad, warmes Wasser, kalte Endspülung, Personal, Handtücher und gelegentliche Nebenleistungen; kein Krankheitszweck ist nötig.	Teilbad, örtliche therapeutische Waschung und warmer Nachgang.	Erklärt die Frauenfiguren als Kundinnen und die gesamte Füll-/Temperier-/Ablasssequenz ohne Krankheit, innere Anatomie oder Arzneigabe.	Ein so detailliertes privates Betriebsblatt ist nicht direkt belegt; keinerlei Kasse, Personalrolle, Ofen oder Kundenrubrik ist sichtbar, und Badpflege bleibt gesundheitlich konnotiert.	TIE	0.57	EXACT_V60_VALUES_UNCHANGED;ALL_BODY_OR_WORKSHOP_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
B3	f83r	BIOLOGICAL	86	29	MASS?|ABLASSEN?|ANWENDEN?|ANSATZ?|SPÜLEN?|ZIEL?|BEREIT?|TEMPERIEREN?|FORMAL_SET_LINK_TARGET	Zisternen-, Misch- und Rücklaufplan der Anlage	IMAGE:Becken, Auslässe und Leitungsgänge; EXEMPLAR:Wassermeister- oder Badhausnotiz	[IMAGE:Becken, Auslässe und Leitungsgänge.] [EXEMPLAR:Lass das Zulaufwasser im oberen Becken absetzen, teile eine Charge zu und führe sie an den Arbeitsort]. [CARD:MASS?] den Posten; [CARD:ABLASSEN?] die erste trübe Fraktion. Setze Standard und Ziel, fülle nach, mische und [CARD:TEMPERIEREN?]. [CARD:ANWENDEN?] bedeutet nur den aktiven Posten im gewählten Betrieb gebrauchen; führe [CARD:ANSATZ?] als neue Charge, [CARD:SPÜLEN?] den Seitenlauf und [CARD:ABLASSEN?] ins untere Sammelbecken. Setze mehrere Ziel- und Standardplätze, halte bis [CARD:BEREIT?], verteile, fange unten auf, kläre und leite zurück. Wiederhole Temperieren, Spülen, Gebrauchen, Messen und Bereitschaftsprüfung für die zweite Leitung; [EXEMPLAR:schließe mit gereinigtem Rücklauf und offenem Reservebecken].	Mittelalterliche städtische und monastische Wassersysteme arbeiteten mit Quellen, Gefälle, Zisternen, Verzweigungen, Holz- oder Bleirohren, Abflüssen, Reinigung und Reparatur.	Langer warmer Bade- und äußerer Lavagezyklus.	Die längste apparative Folge wird ohne ständig wechselnde Körperstellen als hydraulischer Zustandspfad lesbar; Auslass-Owner ohne Figuren werden positiv erklärt.	Die konkrete Richtung, Höhe, Durchflusslogik und Wasserqualität sind nicht beschriftet; einige Seitenfiguren bleiben funktionslos; 57/86 Ereignisse sind EXEMPLAR_ONLY.	RIVAL_EDGE	0.59	EXACT_V60_VALUES_UNCHANGED;ALL_BODY_OR_WORKSHOP_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
B4	f83r	BIOLOGICAL	47	15	TEMPERIEREN?|SPÜLEN?|ANTEIL?|ANWENDEN?|MASS?|ABLASSEN?|ANSATZ?|KLAR?|ZIEL?|FORMAL_LINK	Warmer Leinen-, Filter- und Wannenreinigungsgang	IMAGE:Apparaturformen; EXEMPLAR:Badehauswäsche	[EXEMPLAR:Tauche Filtertuch oder Badleinen in den vorbereiteten Pflanzenreiniger], [CARD:TEMPERIEREN?] den gewählten [CARD:ANTEIL?] und [CARD:ANWENDEN?] ihn am aktiven Waschplatz. Verknüpfe den Posten formal; [EXEMPLAR:reibe Kragen, Säume und Filter, halte das Tuch warm und spüle]. [CARD:MASS?] den Nachguss, [CARD:SPÜLEN?] Wanne und Lauf; [CARD:ABLASSEN?] die schmutzige Flüssigkeit. Führe [CARD:ANSATZ?] als Schlusscharge, prüfe [CARD:KLAR?], lasse nochmals ab, setze [CARD:ZIEL?] auf das Trocken- oder Übergabebecken und [EXEMPLAR:hänge die Tücher aus].	Badstuben mussten Leinen und Gefäße waschen; Aschenlauge, Seife oder Pflanzenreiniger, Wärme, Reiben, Spülen und Verdünnen bilden eine reale Textilreinigungsfolge.	Warme Haut- oder Wundwäsche mit Tuchauflage.	Erklärt Tuch, Filter, Wasser und Auslass ohne stummen Körperbesitzer und passt zum technischen B3-Rücklauf.	Kragen, Säume, Trockenplatz und Textilien sind nicht sichtbar; die medizinische warme Auflage ist historisch ebenso gewöhnlich und das Bild kann Körperkontakt stützen.	MEDICAL_EDGE	0.49	EXACT_V60_VALUES_UNCHANGED;ALL_BODY_OR_WORKSHOP_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
B5	f83r	BIOLOGICAL	11	4	ZIEL?|MASS?|FORMAL_LINK	Boiler- und Heißwasserübergabenachtrag	IMAGE:lokale Station; EXEMPLAR:Heizerzettel	[REGISTER:OWNER=B5:O01; keine Übernahme aus B4.] [EXEMPLAR:Ziehe den Rest aus dem kleinen Boiler ab, erhitze ihn einmal und halte ihn für die örtliche Frist]. [CARD:ZIEL?] setze die nächste Wanne oder Mischstation, verknüpfe den aktiven Posten, [CARD:MASS?] nach Werkstattvorgabe und [EXEMPLAR:reiche ihn dem nächsten Badknecht oder Behälter weiter].	Heizen, Halten und Weiterreichen sind minimale, reale Badehausoperationen; ein eigener kurzer Nachtrag ist für Schicht- oder Stationswechsel plausibel.	Zeitlich gehaltener medizinischer Wärme- und Übergabenachtrag.	Der technisch gewinnende V65-Nachtrag erhält erstmals einen konkreten selbständigen Besitzer, ohne Krankheit oder Arznei.	Boiler, Badknecht und Frist sind vollständig exemplarisch; nur drei Statements und sieben unbekannte Ereignisse tragen kaum Spezifität.	RIVAL_EDGE	0.58	EXACT_V60_VALUES_UNCHANGED;ALL_BODY_OR_WORKSHOP_NOUNS_IMAGE_OR_EXEMPLAR;NO_PHONETIC_MAPPING
