universal_group_serial	register	unit_id	page	source_serial	locus	field_or_address	statement_or_station	exact_card_or_local_group_id	formal_value	atomic_or_whole_card_mnemonic	source_order_slot	abbreviation_channel	register_state_before	register_update	register_state_after	selected_parse_status	terminal_status	renderer_instruction	rendered_surface	iatromedical_selected_local_expansion	nonmedical_rival_local_expansion	frozen_anchor_note	nonmedical_source_status	rival_unit_text_digest	rival_fragment_digest	mechanical_identity_token_from_v67	adversarial_roundtrip_status
1	HERBAL	H1	f10r	1	f10r.2	F001	H1-S001	65f320e75510b2f38182	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; START_SELECTED_STATEMENT	dchey	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	Vom abgebildeten Wurzelkraut. Grabe den unteren Wurzelstock	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	58caf015c6814ec02dc0	157449d5ac1fb3b78f97	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
2	HERBAL	H1	f10r	2	f10r.2	F001	H1-S001	dedc383b600397a301ee	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	cthoor	[GENRE:säubere ihn]	aus, klopfe Erde ab, wasche ihn zweimal	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	56b60459c0cfb7202105	50e0e660f58772358c61	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
3	HERBAL	H1	f10r	3	f10r.2	F001	H1-S001	4d4559019a961b834aa1	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	char	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	und schneide ihn in dünne Stücke. Lege	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	73c9663abf68aa523895	e6f68bda01de2fb817ec	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
4	HERBAL	H1	f10r	4	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chty	[GENRE:zerschneide ihn]	die Stücke in Regenwasser mit einer	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	8887d9e271e1dde7fecd	46cf5aa8044240f3c484	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
5	HERBAL	H1	f10r	5	f10r.2	F001	H1-S001	df1098831679a8ad1b39	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	os	[GENRE:gib ihn in den Brennhafen]	kleinen Portion Holzasche, erwärme den Topf gelinde	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	fdf895ab0d3f4bd2a9ee	3c38dce748548825baca	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
6	HERBAL	H1	f10r	6	f10r.2	F001	H1-S001	12efe866f335461823a6	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chair	[GENRE:füge Quellwasser hinzu]	und lasse den Ansatz über Nacht stehen.	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	8029a8ab819274efcf73	95188b2e3556739d3ad4	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
7	HERBAL	H1	f10r	7	f10r.2	F001	H1-S001	62ff059766b21c7de083	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	otytchol	[GENRE:fange den ersten Lauf im Glas auf]	Ziehe den ersten klaren Lauf durch Leinwand	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	9116b189415d61c75446	b59a2d6bf42248913785	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
8	HERBAL	H1	f10r	8	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	OPAQUE_PAYLOAD || NONE	ANWENDEN?	ACTION	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	APPLY(ACTIVE_ITEM/PREPARATION,TARGET/STATION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_EXACT	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	oky	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	ab, miss ihn nach dem örtlichen Werkstattmaß	FROZEN_V60_MNEMONIC=ANWENDEN?; LOCAL_OBJECTS_NOT_INCLUDED	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	74be114df28dbd2e4478	facdbae6c39049016edf	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
9	HERBAL	H1	f10r	9	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD || VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGNMENT	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_CONVERGENT_CHANNELS	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	daiin	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	und prüfe ihn an einem alten Leinenrest.	FROZEN_V60_MNEMONIC=MASS?; LOCAL_OBJECTS_NOT_INCLUDED	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	a53cd96f3ecb04bccc69	6467251f2b27e1b131df	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
10	HERBAL	H1	f10r	10	f10r.2	F001	H1-S001	a6939862e33ece5a0483	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	etyd	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	Verwende die milde Portion zum Scheuern hölzerner	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	286ca0e53f28beebe63d	bdf3430dbe24d77603c2	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
