contradiction_id	unit_id	fixed_fact_or_selected_constraint	rival_claim_under_pressure	failure_cost	severity	consequence
C01	H1	Selected image comparison favored a Dipsacaceae-like root plant, not Saponaria.	Seifenkraut root wash liquor.	New plant identity plus invisible cloth and wash owner.	HIGH	H1 remains locally medical-leading.
C02	H2	H1 and H2 share one pictured plant while V62 referents reset at H2.	Same Saponaria supplies a second two-fraction cleaning paste.	Chemically imprecise boundary between plant detergent and true lye/fat soap.	MEDIUM	Keep as plant cleanser, not proven soap manufacture.
C03	H3	Long pictured roots strain a secure Viola identity.	Violet scent water and oil.	Perfume, bath linen and smell test are all exemplar additions.	MEDIUM	Medical and scent readings remain close.
C04	H4	Image was compared with Allium or Plantago, not woad.	Woad fermentation and dye test.	New species, alkaline liquor, textile and vat.	HIGH	Rival loses H4 despite a coherent process.
C05	H5	Drosera or Adiantum were the selected image candidates.	Turnsole clothlet pigment manufacture.	New species and invisible clothlets, gum water and painter.	HIGH	Only process closure, not image identity, gives the rival edge.
C06	B1	No certain furnace, fuel store, laundry or conduit direction is visible.	Bathhouse supply and linen-cleaning plant.	Several workshop owners remain invisible; 43/66 events are exemplar-only.	HIGH	Rival edge is operational, not iconographic proof.
C07	B2	Figures are visibly integrated with pools and colored zones.	Ordinary customers rather than patients.	No commercial, staffing or payment marker distinguishes a bathhouse.	MEDIUM	B2 remains a genuine tie.
C08	B3	Hydraulic direction, height and water quality are not written.	Zisternen and return circuit.	Flow direction and every engineering noun are exemplar-supplied.	HIGH	Strong technical fit still lacks a readable legend.
C09	B4	Warm external cloth applications are genuine medical procedures.	Laundry and filter cleaning.	Textile owner is no more visible than body owner.	MEDIUM	Medical retains a local edge.
C10	B5	Only three statements and four recognized events exist.	Boiler handoff note.	Boiler, worker and shift time are unanchored.	MEDIUM	Technical victory is mainly from avoiding disease prose.
C11	B6	Both fields are open and 6/9 events are unparsed.	Cold bypass and filter note.	Filter medium, direction and endpoint cannot be recovered.	MEDIUM	Rival is parsimonious but extremely low-resolution.
C12	A1	No complete visible 7×12 matrix or identified operator exists.	General planetary work scheduler.	Work classes, weather and fire checks are entirely external.	HIGH	Medical content remains historically more specific.
C13	A2	Twenty-eight positions have no proved lunar names, start or direction.	General-work lunar mansion catalogue.	All 28 listed operations are editorial inventions.	CRITICAL	A2 cannot ground either rival or medical content.
C14	A3	An ordinary lunarium often uses 30 days; no f68↔f69 full-entry match exists.	Independent 28-work-rule cycle.	Cycle basis and every rule are external; no join allowed.	CRITICAL	A3 remains a local exemplar schedule only.
C15	GLOBAL	No visible cross-register pointer links a plant record, Bio station and Astro locus.	Plant supply → bathhouse operation → work almanac.	The integrated practical purpose is inferred from library ecology.	HIGH	Rival must be called a miscellany, not a concordance.
C16	GLOBAL	Fourteen common control cards occur only in prose; Astro imports none.	One workshop codebook governs all registers.	Astro requires a separate diagram codebook.	HIGH	The rival has two related books of practice, not one universal syntax.
C17	GLOBAL	Herbal drawings are expensive full-page owners.	Raw-material inventory for dyer, bather and perfumer.	No bale, textile, tool, merchant mark or color swatch identifies trade use.	HIGH	Illustrated materia medica remains the best Herbal genre prior.
C18	GLOBAL	The exact language and plaintext remain unknown.	Concrete German rival edition.	Every fluent noun beyond the fixed mnemonic layer depends on image, genre or exemplar.	CRITICAL	The score ranks source models only and is not decipherment evidence.
